model,K,spk,local_t,gi,method,block_seconds,fade_seconds,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
audioseal,5,chinese:SSB0016,0,4,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.0368,0.9971,29.09
audioseal,5,chinese:SSB0016,0,4,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5565,0.9987,32.70
audioseal,5,chinese:SSB0018,0,5,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5608,0.9996,33.78
audioseal,5,chinese:SSB0018,0,5,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.6089,0.9997,35.56
audioseal,5,chinese:SSB0018,0,5,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5343,0.9992,31.66
audioseal,5,chinese:SSB0018,0,5,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.6089,0.9997,35.56
audioseal,5,chinese:SSB0018,0,5,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5058,0.9995,32.92
audioseal,5,chinese:SSB0018,0,5,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.2489,0.9950,31.59
audioseal,5,chinese:SSB0018,0,5,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.2522,0.9958,31.57
audioseal,5,chinese:SSB0018,0,5,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8750,4.5672,0.9994,34.29
audioseal,5,chinese:SSB0033,0,6,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5876,0.9996,41.12
audioseal,5,chinese:SSB0033,0,6,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5518,0.9992,37.46
audioseal,5,chinese:SSB0033,0,6,rp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5915,0.9997,41.09
audioseal,5,chinese:SSB0033,0,6,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5915,0.9997,41.09
audioseal,5,chinese:SSB0033,0,6,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.6875,4.5641,0.9995,40.23
audioseal,5,chinese:SSB0033,0,6,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.4722,0.9993,37.33
audioseal,5,chinese:SSB0033,0,6,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.4671,0.9992,37.24
audioseal,5,chinese:SSB0033,0,6,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8125,4.5518,0.9992,37.46
audioseal,5,chinese:SSB0038,0,7,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5870,0.9990,34.90
audioseal,5,chinese:SSB0038,0,7,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.7500,4.5607,0.9988,32.66
