model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
voicemark,5,8,chinese:SSB0011,2,fwp,opus_64k,Opus 64 kbps,1,14.98815009,3.8650,0.9614,15.74
voicemark,5,9,chinese:SSB0012,0,mean,none,none,1,22.15622582,4.1257,0.9742,15.26
voicemark,5,9,chinese:SSB0012,0,fwp,none,none,1,41.46273217,3.7230,0.9560,13.19
voicemark,5,9,chinese:SSB0012,0,mean,mp3_128k,MP3 128 kbps,1,23.60773876,4.0111,0.9742,15.12
voicemark,5,9,chinese:SSB0012,0,fwp,mp3_128k,MP3 128 kbps,1,39.77499416,3.6115,0.9559,13.11
voicemark,5,9,chinese:SSB0012,0,mean,opus_64k,Opus 64 kbps,1,20.08098175,4.1214,0.9740,15.24
voicemark,5,9,chinese:SSB0012,0,fwp,opus_64k,Opus 64 kbps,1,40.68940345,3.7036,0.9557,13.16
voicemark,5,10,chinese:SSB0012,1,mean,none,none,1,4.92124199,4.0737,0.9626,15.73
voicemark,5,10,chinese:SSB0012,1,fwp,none,none,1,8.13206827,3.2435,0.9451,10.97
voicemark,5,10,chinese:SSB0012,1,mean,mp3_128k,MP3 128 kbps,1,7.82973843,3.8705,0.9626,15.26
voicemark,5,10,chinese:SSB0012,1,fwp,mp3_128k,MP3 128 kbps,1,9.04839896,3.0799,0.9451,10.81
voicemark,5,10,chinese:SSB0012,1,mean,opus_64k,Opus 64 kbps,1,4.89774118,4.0721,0.9622,15.59
voicemark,5,10,chinese:SSB0012,1,fwp,opus_64k,Opus 64 kbps,1,1.98503506,3.2371,0.9447,10.92
voicemark,5,11,chinese:SSB0012,2,mean,none,none,1,22.55391459,3.7597,0.9506,11.93
voicemark,5,11,chinese:SSB0012,2,fwp,none,none,1,27.65063159,3.8971,0.9586,14.76
voicemark,5,11,chinese:SSB0012,2,mean,mp3_128k,MP3 128 kbps,1,34.08664036,3.5895,0.9506,11.76
voicemark,5,11,chinese:SSB0012,2,fwp,mp3_128k,MP3 128 kbps,1,24.00390820,3.6961,0.9586,14.45
voicemark,5,11,chinese:SSB0012,2,mean,opus_64k,Opus 64 kbps,1,30.40610857,3.7508,0.9504,11.88
voicemark,5,11,chinese:SSB0012,2,fwp,opus_64k,Opus 64 kbps,1,25.23101124,3.8848,0.9581,14.65
voicemark,5,12,chinese:SSB0016,0,mean,none,none,1,30.73605706,3.9853,0.9534,14.96
voicemark,5,12,chinese:SSB0016,0,fwp,none,none,0,-2.79829027,3.9644,0.9650,16.66
voicemark,5,12,chinese:SSB0016,0,mean,mp3_128k,MP3 128 kbps,1,24.80794989,3.9399,0.9534,14.93
voicemark,5,12,chinese:SSB0016,0,fwp,mp3_128k,MP3 128 kbps,1,9.20636003,3.9232,0.9650,16.63
voicemark,5,12,chinese:SSB0016,0,mean,opus_64k,Opus 64 kbps,1,28.15622457,3.9807,0.9534,14.98
voicemark,5,12,chinese:SSB0016,0,fwp,opus_64k,Opus 64 kbps,0,-3.33589945,3.9568,0.9648,16.69
voicemark,5,13,chinese:SSB0016,1,mean,none,none,1,9.25797084,4.2388,0.9685,18.75
voicemark,5,13,chinese:SSB0016,1,fwp,none,none,1,19.08284259,3.9171,0.9499,16.45
voicemark,5,13,chinese:SSB0016,1,mean,mp3_128k,MP3 128 kbps,1,21.50627944,4.0765,0.9685,18.29
voicemark,5,13,chinese:SSB0016,1,fwp,mp3_128k,MP3 128 kbps,1,7.91635652,3.7948,0.9499,16.20
voicemark,5,13,chinese:SSB0016,1,mean,opus_64k,Opus 64 kbps,1,9.70049277,4.2322,0.9684,18.51
voicemark,5,13,chinese:SSB0016,1,fwp,opus_64k,Opus 64 kbps,1,16.97361914,3.9113,0.9497,16.31
voicemark,5,14,chinese:SSB0016,2,mean,none,none,1,21.86047861,4.1042,0.9519,14.61
voicemark,5,14,chinese:SSB0016,2,fwp,none,none,1,27.34300515,3.5394,0.9387,11.70
voicemark,5,14,chinese:SSB0016,2,mean,mp3_128k,MP3 128 kbps,1,11.16395645,4.0093,0.9519,14.49
voicemark,5,14,chinese:SSB0016,2,fwp,mp3_128k,MP3 128 kbps,1,27.21942713,3.4632,0.9387,11.64
voicemark,5,14,chinese:SSB0016,2,mean,opus_64k,Opus 64 kbps,1,19.71466585,4.1008,0.9519,14.54
voicemark,5,14,chinese:SSB0016,2,fwp,opus_64k,Opus 64 kbps,1,24.99131391,3.5330,0.9383,11.65
voicemark,5,15,chinese:SSB0018,0,mean,none,none,1,26.42222569,4.1458,0.9694,15.94
voicemark,5,15,chinese:SSB0018,0,fwp,none,none,1,19.51649067,3.8062,0.9570,13.20
voicemark,5,15,chinese:SSB0018,0,mean,mp3_128k,MP3 128 kbps,1,30.28955185,3.9742,0.9694,15.64
voicemark,5,15,chinese:SSB0018,0,fwp,mp3_128k,MP3 128 kbps,1,12.63247314,3.6630,0.9570,13.04
voicemark,5,15,chinese:SSB0018,0,mean,opus_64k,Opus 64 kbps,1,29.10491562,4.1436,0.9694,15.79
voicemark,5,15,chinese:SSB0018,0,fwp,opus_64k,Opus 64 kbps,1,16.92494979,3.8009,0.9569,13.11
voicemark,5,16,chinese:SSB0018,1,mean,none,none,1,30.81093972,4.0243,0.9762,16.17
voicemark,5,16,chinese:SSB0018,1,fwp,none,none,1,4.28925912,3.9888,0.9815,17.53
voicemark,5,16,chinese:SSB0018,1,mean,mp3_128k,MP3 128 kbps,1,24.22039965,3.8457,0.9762,15.89
voicemark,5,16,chinese:SSB0018,1,fwp,mp3_128k,MP3 128 kbps,0,-2.63621764,3.7776,0.9815,17.12
voicemark,5,16,chinese:SSB0018,1,mean,opus_64k,Opus 64 kbps,1,29.85808247,4.0155,0.9760,16.11
voicemark,5,16,chinese:SSB0018,1,fwp,opus_64k,Opus 64 kbps,0,-2.46918963,3.9773,0.9811,17.46
voicemark,5,17,chinese:SSB0018,2,mean,none,none,1,29.26243882,4.3261,0.9819,16.47
voicemark,5,17,chinese:SSB0018,2,fwp,none,none,1,36.16466594,4.0085,0.9678,13.63
voicemark,5,17,chinese:SSB0018,2,mean,mp3_128k,MP3 128 kbps,1,23.25051672,4.0605,0.9819,15.96
voicemark,5,17,chinese:SSB0018,2,fwp,mp3_128k,MP3 128 kbps,1,47.56987214,3.7923,0.9677,13.34
voicemark,5,17,chinese:SSB0018,2,mean,opus_64k,Opus 64 kbps,1,23.85444485,4.3256,0.9817,16.31
voicemark,5,17,chinese:SSB0018,2,fwp,opus_64k,Opus 64 kbps,1,46.43323362,4.0017,0.9674,13.53
voicemark,5,18,chinese:SSB0033,0,mean,none,none,1,19.17641437,4.3017,0.9805,21.05
voicemark,5,18,chinese:SSB0033,0,fwp,none,none,1,16.58913410,3.9886,0.9686,18.05
voicemark,5,18,chinese:SSB0033,0,mean,mp3_128k,MP3 128 kbps,1,21.80766620,4.0529,0.9805,20.27
voicemark,5,18,chinese:SSB0033,0,fwp,mp3_128k,MP3 128 kbps,1,16.61617696,3.7788,0.9686,17.73
voicemark,5,18,chinese:SSB0033,0,mean,opus_64k,Opus 64 kbps,1,15.73313965,4.2994,0.9804,20.34
voicemark,5,18,chinese:SSB0033,0,fwp,opus_64k,Opus 64 kbps,1,15.47220820,3.9886,0.9683,17.70
voicemark,5,19,chinese:SSB0033,1,mean,none,none,1,28.13035908,4.4545,0.9816,20.07
voicemark,5,19,chinese:SSB0033,1,fwp,none,none,1,41.47096578,4.2889,0.9696,17.71
voicemark,5,19,chinese:SSB0033,1,mean,mp3_128k,MP3 128 kbps,1,28.97822204,4.3755,0.9816,20.07
voicemark,5,19,chinese:SSB0033,1,fwp,mp3_128k,MP3 128 kbps,1,37.70811393,4.2266,0.9696,17.77
voicemark,5,19,chinese:SSB0033,1,mean,opus_64k,Opus 64 kbps,1,27.49280907,4.4512,0.9814,19.67
voicemark,5,19,chinese:SSB0033,1,fwp,opus_64k,Opus 64 kbps,1,40.63542670,4.2784,0.9692,17.52
voicemark,5,20,chinese:SSB0033,2,mean,none,none,1,29.83409392,4.3833,0.9851,20.64
voicemark,5,20,chinese:SSB0033,2,fwp,none,none,1,15.35638801,3.9900,0.9651,17.09
voicemark,5,20,chinese:SSB0033,2,mean,mp3_128k,MP3 128 kbps,1,35.38926020,4.2104,0.9851,20.28
voicemark,5,20,chinese:SSB0033,2,fwp,mp3_128k,MP3 128 kbps,1,17.51863524,3.8590,0.9651,16.95
voicemark,5,20,chinese:SSB0033,2,mean,opus_64k,Opus 64 kbps,1,30.53257177,4.3757,0.9850,20.23
voicemark,5,20,chinese:SSB0033,2,fwp,opus_64k,Opus 64 kbps,1,15.21670285,3.9738,0.9649,16.87
voicemark,5,21,chinese:SSB0038,0,mean,none,none,1,16.58902880,4.3284,0.9727,16.47
voicemark,5,21,chinese:SSB0038,0,fwp,none,none,1,16.75229344,4.2289,0.9829,17.77
voicemark,5,21,chinese:SSB0038,0,mean,mp3_128k,MP3 128 kbps,1,30.04427365,4.2205,0.9727,16.31
voicemark,5,21,chinese:SSB0038,0,fwp,mp3_128k,MP3 128 kbps,1,13.64745219,4.0999,0.9829,17.50
voicemark,5,21,chinese:SSB0038,0,mean,opus_64k,Opus 64 kbps,1,26.30231005,4.3238,0.9727,16.37
voicemark,5,21,chinese:SSB0038,0,fwp,opus_64k,Opus 64 kbps,1,15.46683997,4.2189,0.9827,17.56
voicemark,5,22,chinese:SSB0038,1,mean,none,none,1,29.39321681,4.1710,0.9621,15.38
voicemark,5,22,chinese:SSB0038,1,fwp,none,none,1,16.26316923,4.2713,0.9726,17.18
voicemark,5,22,chinese:SSB0038,1,mean,mp3_128k,MP3 128 kbps,1,14.54750334,4.0368,0.9621,15.21
voicemark,5,22,chinese:SSB0038,1,fwp,mp3_128k,MP3 128 kbps,1,1.93997744,4.1140,0.9726,16.94
voicemark,5,22,chinese:SSB0038,1,mean,opus_64k,Opus 64 kbps,1,27.72625605,4.1710,0.9620,15.34
voicemark,5,22,chinese:SSB0038,1,fwp,opus_64k,Opus 64 kbps,1,4.98264592,4.2593,0.9723,17.12
voicemark,5,23,chinese:SSB0038,2,mean,none,none,1,17.38377552,3.8585,0.9581,17.46
voicemark,5,23,chinese:SSB0038,2,fwp,none,none,1,6.71568365,3.2807,0.9427,13.83
voicemark,5,23,chinese:SSB0038,2,mean,mp3_128k,MP3 128 kbps,1,11.54809984,3.6296,0.9581,16.83
voicemark,5,23,chinese:SSB0038,2,fwp,mp3_128k,MP3 128 kbps,1,11.88581800,3.1017,0.9427,13.55
voicemark,5,23,chinese:SSB0038,2,mean,opus_64k,Opus 64 kbps,1,18.98203304,3.8571,0.9580,17.28
voicemark,5,23,chinese:SSB0038,2,fwp,opus_64k,Opus 64 kbps,1,2.44782459,3.2707,0.9424,13.72
voicemark,5,24,chinese:SSB0043,0,mean,none,none,1,18.61883809,4.3543,0.9711,17.19
voicemark,5,24,chinese:SSB0043,0,fwp,none,none,1,20.19652766,4.0090,0.9427,14.94
voicemark,5,24,chinese:SSB0043,0,mean,mp3_128k,MP3 128 kbps,1,24.53349147,4.2711,0.9711,17.15
voicemark,5,24,chinese:SSB0043,0,fwp,mp3_128k,MP3 128 kbps,1,24.36251049,3.9530,0.9427,14.92
voicemark,5,24,chinese:SSB0043,0,mean,opus_64k,Opus 64 kbps,1,21.49875649,4.3534,0.9710,17.14
voicemark,5,24,chinese:SSB0043,0,fwp,opus_64k,Opus 64 kbps,1,21.14294072,3.9985,0.9424,14.91
voicemark,5,25,chinese:SSB0043,1,mean,none,none,1,29.44061922,4.2872,0.9659,18.09
voicemark,5,25,chinese:SSB0043,1,fwp,none,none,1,24.42041154,3.9014,0.9486,15.10
voicemark,5,25,chinese:SSB0043,1,mean,mp3_128k,MP3 128 kbps,1,20.72420389,4.1844,0.9659,17.97
voicemark,5,25,chinese:SSB0043,1,fwp,mp3_128k,MP3 128 kbps,1,38.14890391,3.8232,0.9486,15.05
voicemark,5,25,chinese:SSB0043,1,mean,opus_64k,Opus 64 kbps,1,27.61770627,4.2866,0.9657,18.16
voicemark,5,25,chinese:SSB0043,1,fwp,opus_64k,Opus 64 kbps,1,30.14288799,3.9020,0.9481,15.18
voicemark,5,26,chinese:SSB0043,2,mean,none,none,1,18.51578338,3.9380,0.9567,13.27
voicemark,5,26,chinese:SSB0043,2,fwp,none,none,1,44.13882600,4.1622,0.9751,15.90
voicemark,5,26,chinese:SSB0043,2,mean,mp3_128k,MP3 128 kbps,1,36.46067043,3.8297,0.9567,13.19
voicemark,5,26,chinese:SSB0043,2,fwp,mp3_128k,MP3 128 kbps,1,39.92804676,4.0165,0.9751,15.76
voicemark,5,26,chinese:SSB0043,2,mean,opus_64k,Opus 64 kbps,1,25.57103613,3.9308,0.9565,13.30
voicemark,5,26,chinese:SSB0043,2,fwp,opus_64k,Opus 64 kbps,1,41.42760167,4.1429,0.9746,15.86
voicemark,5,27,chinese:SSB0057,0,mean,none,none,1,22.38134536,3.8303,0.9649,14.83
voicemark,5,27,chinese:SSB0057,0,fwp,none,none,1,3.42626751,3.3294,0.9498,11.68
voicemark,5,27,chinese:SSB0057,0,mean,mp3_128k,MP3 128 kbps,1,29.48065836,3.6184,0.9649,14.32
voicemark,5,27,chinese:SSB0057,0,fwp,mp3_128k,MP3 128 kbps,1,4.94626051,3.1767,0.9498,11.50
voicemark,5,27,chinese:SSB0057,0,mean,opus_64k,Opus 64 kbps,1,25.39376199,3.8230,0.9647,14.62
voicemark,5,27,chinese:SSB0057,0,fwp,opus_64k,Opus 64 kbps,1,4.75663954,3.3176,0.9495,11.59
voicemark,5,28,chinese:SSB0057,1,mean,none,none,1,34.70993833,4.1257,0.9732,15.41
voicemark,5,28,chinese:SSB0057,1,fwp,none,none,1,10.95043689,3.8595,0.9568,12.79
voicemark,5,28,chinese:SSB0057,1,mean,mp3_128k,MP3 128 kbps,1,21.93981478,3.9291,0.9732,14.79
voicemark,5,28,chinese:SSB0057,1,fwp,mp3_128k,MP3 128 kbps,1,23.46307120,3.6717,0.9568,12.47
voicemark,5,28,chinese:SSB0057,1,mean,opus_64k,Opus 64 kbps,1,30.45129965,4.1283,0.9730,15.22
voicemark,5,28,chinese:SSB0057,1,fwp,opus_64k,Opus 64 kbps,1,16.18935079,3.8418,0.9567,12.72
voicemark,5,29,chinese:SSB0057,2,mean,none,none,1,18.50011731,4.0185,0.9664,16.37
voicemark,5,29,chinese:SSB0057,2,fwp,none,none,1,4.89328108,3.9054,0.9623,15.58
voicemark,5,29,chinese:SSB0057,2,mean,mp3_128k,MP3 128 kbps,1,16.72670180,3.7373,0.9664,15.47
voicemark,5,29,chinese:SSB0057,2,fwp,mp3_128k,MP3 128 kbps,1,7.01692412,3.6521,0.9623,14.83
voicemark,5,29,chinese:SSB0057,2,mean,opus_64k,Opus 64 kbps,1,16.60776575,4.0129,0.9662,16.04
voicemark,5,29,chinese:SSB0057,2,fwp,opus_64k,Opus 64 kbps,1,5.29160094,3.8606,0.9620,15.31
voicemark,5,30,chinese:SSB0073,0,mean,none,none,1,4.39009360,3.3477,0.9513,12.01
