model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
audioseal,5,7,chinese:SSB0011,1,mean,opus_64k,Opus 64 kbps,1,1.30767679,4.5082,0.9983,30.01
audioseal,5,7,chinese:SSB0011,1,fwp,opus_64k,Opus 64 kbps,1,4.91468716,4.5343,0.9987,30.47
audioseal,5,8,chinese:SSB0011,2,mean,none,none,1,4.09184456,4.5559,0.9989,33.40
audioseal,5,8,chinese:SSB0011,2,fwp,none,none,1,3.57714748,4.5755,0.9991,34.46
audioseal,5,8,chinese:SSB0011,2,mean,mp3_128k,MP3 128 kbps,1,3.92488098,4.4157,0.9989,29.44
audioseal,5,8,chinese:SSB0011,2,fwp,mp3_128k,MP3 128 kbps,1,3.57638550,4.4253,0.9991,29.82
audioseal,5,8,chinese:SSB0011,2,mean,opus_64k,Opus 64 kbps,1,4.08321142,4.5353,0.9986,30.75
audioseal,5,8,chinese:SSB0011,2,fwp,opus_64k,Opus 64 kbps,1,3.61652470,4.5417,0.9988,31.04
audioseal,5,9,chinese:SSB0012,0,mean,none,none,1,2.53263092,4.6052,0.9995,35.68
audioseal,5,9,chinese:SSB0012,0,fwp,none,none,1,4.33449984,4.6075,0.9997,34.70
audioseal,5,9,chinese:SSB0012,0,mean,mp3_128k,MP3 128 kbps,1,2.56152916,4.4621,0.9995,30.09
audioseal,5,9,chinese:SSB0012,0,fwp,mp3_128k,MP3 128 kbps,1,4.31004047,4.4655,0.9996,29.79
audioseal,5,9,chinese:SSB0012,0,mean,opus_64k,Opus 64 kbps,1,2.51392460,4.5748,0.9991,31.33
audioseal,5,9,chinese:SSB0012,0,fwp,opus_64k,Opus 64 kbps,1,4.33043575,4.5713,0.9992,30.55
audioseal,5,10,chinese:SSB0012,1,mean,none,none,1,2.25572538,4.5900,0.9995,34.98
audioseal,5,10,chinese:SSB0012,1,fwp,none,none,1,5.49484015,4.5963,0.9995,34.40
audioseal,5,10,chinese:SSB0012,1,mean,mp3_128k,MP3 128 kbps,1,2.26812649,4.4593,0.9995,29.87
audioseal,5,10,chinese:SSB0012,1,fwp,mp3_128k,MP3 128 kbps,1,5.48999739,4.4648,0.9995,29.68
audioseal,5,10,chinese:SSB0012,1,mean,opus_64k,Opus 64 kbps,1,2.24258471,4.5635,0.9991,31.23
audioseal,5,10,chinese:SSB0012,1,fwp,opus_64k,Opus 64 kbps,1,5.34577990,4.5653,0.9990,30.59
audioseal,5,11,chinese:SSB0012,2,mean,none,none,1,2.01900005,4.5804,0.9993,32.81
audioseal,5,11,chinese:SSB0012,2,fwp,none,none,1,5.01179123,4.6002,0.9996,35.04
audioseal,5,11,chinese:SSB0012,2,mean,mp3_128k,MP3 128 kbps,1,1.99336243,4.4518,0.9993,29.09
audioseal,5,11,chinese:SSB0012,2,fwp,mp3_128k,MP3 128 kbps,1,5.06377220,4.4606,0.9996,29.89
audioseal,5,11,chinese:SSB0012,2,mean,opus_64k,Opus 64 kbps,1,1.99963427,4.5613,0.9988,30.11
audioseal,5,11,chinese:SSB0012,2,fwp,opus_64k,Opus 64 kbps,1,5.05102062,4.5707,0.9991,30.89
audioseal,5,12,chinese:SSB0016,0,mean,none,none,1,3.01973152,4.5392,0.9984,31.77
audioseal,5,12,chinese:SSB0016,0,fwp,none,none,1,3.65260887,4.5565,0.9987,32.70
audioseal,5,12,chinese:SSB0016,0,mean,mp3_128k,MP3 128 kbps,1,2.99716473,4.4509,0.9984,29.61
audioseal,5,12,chinese:SSB0016,0,fwp,mp3_128k,MP3 128 kbps,1,3.63834667,4.4611,0.9987,30.15
audioseal,5,12,chinese:SSB0016,0,mean,opus_64k,Opus 64 kbps,1,2.88616085,4.5262,0.9982,29.33
audioseal,5,12,chinese:SSB0016,0,fwp,opus_64k,Opus 64 kbps,1,3.56852245,4.5337,0.9984,29.44
audioseal,5,13,chinese:SSB0016,1,mean,none,none,1,2.46919250,4.5081,0.9984,31.50
audioseal,5,13,chinese:SSB0016,1,fwp,none,none,1,5.22734356,4.5322,0.9987,31.90
audioseal,5,13,chinese:SSB0016,1,mean,mp3_128k,MP3 128 kbps,1,2.35926151,4.4289,0.9984,29.44
audioseal,5,13,chinese:SSB0016,1,fwp,mp3_128k,MP3 128 kbps,1,5.22374344,4.4475,0.9987,29.68
audioseal,5,13,chinese:SSB0016,1,mean,opus_64k,Opus 64 kbps,1,2.45352840,4.5001,0.9982,29.25
audioseal,5,13,chinese:SSB0016,1,fwp,opus_64k,Opus 64 kbps,1,5.16803646,4.5196,0.9984,29.18
audioseal,5,14,chinese:SSB0016,2,mean,none,none,1,1.09548759,4.5358,0.9978,32.32
audioseal,5,14,chinese:SSB0016,2,fwp,none,none,1,3.24830627,4.4886,0.9966,29.87
audioseal,5,14,chinese:SSB0016,2,mean,mp3_128k,MP3 128 kbps,1,1.09341431,4.4531,0.9978,29.93
audioseal,5,14,chinese:SSB0016,2,fwp,mp3_128k,MP3 128 kbps,1,3.19984770,4.4139,0.9966,28.35
audioseal,5,14,chinese:SSB0016,2,mean,opus_64k,Opus 64 kbps,1,1.13773727,4.5232,0.9976,29.73
audioseal,5,14,chinese:SSB0016,2,fwp,opus_64k,Opus 64 kbps,1,3.22459984,4.4764,0.9963,28.00
audioseal,5,15,chinese:SSB0018,0,mean,none,none,1,2.95987177,4.5608,0.9996,33.78
audioseal,5,15,chinese:SSB0018,0,fwp,none,none,1,1.47423553,4.6089,0.9997,35.56
audioseal,5,15,chinese:SSB0018,0,mean,mp3_128k,MP3 128 kbps,1,2.98742723,4.4294,0.9996,28.55
audioseal,5,15,chinese:SSB0018,0,fwp,mp3_128k,MP3 128 kbps,1,1.38948154,4.4467,0.9997,29.01
audioseal,5,15,chinese:SSB0018,0,mean,opus_64k,Opus 64 kbps,1,2.90896082,4.5335,0.9992,30.84
audioseal,5,15,chinese:SSB0018,0,fwp,opus_64k,Opus 64 kbps,1,1.44963264,4.5557,0.9992,31.38
audioseal,5,16,chinese:SSB0018,1,mean,none,none,1,4.19312525,4.5789,0.9996,35.00
audioseal,5,16,chinese:SSB0018,1,fwp,none,none,1,4.41782808,4.5464,0.9992,32.57
audioseal,5,16,chinese:SSB0018,1,mean,mp3_128k,MP3 128 kbps,1,4.13516235,4.4358,0.9996,28.88
audioseal,5,16,chinese:SSB0018,1,fwp,mp3_128k,MP3 128 kbps,1,4.40367413,4.4078,0.9992,28.14
audioseal,5,16,chinese:SSB0018,1,mean,opus_64k,Opus 64 kbps,1,4.14950752,4.5466,0.9992,31.43
audioseal,5,16,chinese:SSB0018,1,fwp,opus_64k,Opus 64 kbps,1,4.30932856,4.5172,0.9988,30.05
audioseal,5,17,chinese:SSB0018,2,mean,none,none,1,2.53603077,4.5737,0.9996,35.40
audioseal,5,17,chinese:SSB0018,2,fwp,none,none,1,3.71020031,4.5486,0.9992,32.47
audioseal,5,17,chinese:SSB0018,2,mean,mp3_128k,MP3 128 kbps,1,2.41327763,4.4342,0.9996,28.98
audioseal,5,17,chinese:SSB0018,2,fwp,mp3_128k,MP3 128 kbps,1,3.66893244,4.4134,0.9992,28.11
audioseal,5,17,chinese:SSB0018,2,mean,opus_64k,Opus 64 kbps,1,2.21074200,4.5395,0.9992,31.64
audioseal,5,17,chinese:SSB0018,2,fwp,opus_64k,Opus 64 kbps,1,3.51786613,4.5189,0.9987,29.98
audioseal,5,18,chinese:SSB0033,0,mean,none,none,1,3.70847130,4.5876,0.9996,41.12
audioseal,5,18,chinese:SSB0033,0,fwp,none,none,1,3.34376907,4.5518,0.9992,37.46
audioseal,5,18,chinese:SSB0033,0,mean,mp3_128k,MP3 128 kbps,1,3.66109705,4.4044,0.9996,31.46
audioseal,5,18,chinese:SSB0033,0,fwp,mp3_128k,MP3 128 kbps,1,3.31223869,4.3791,0.9992,30.87
audioseal,5,18,chinese:SSB0033,0,mean,opus_64k,Opus 64 kbps,1,3.70154428,4.5729,0.9994,29.09
audioseal,5,18,chinese:SSB0033,0,fwp,opus_64k,Opus 64 kbps,1,3.47438717,4.5338,0.9990,28.57
audioseal,5,19,chinese:SSB0033,1,mean,none,none,1,1.92729950,4.5947,0.9997,42.31
audioseal,5,19,chinese:SSB0033,1,fwp,none,none,1,2.27223063,4.5813,0.9995,39.90
audioseal,5,19,chinese:SSB0033,1,mean,mp3_128k,MP3 128 kbps,1,1.79857016,4.4057,0.9997,31.58
audioseal,5,19,chinese:SSB0033,1,fwp,mp3_128k,MP3 128 kbps,1,2.25205421,4.3979,0.9995,31.31
audioseal,5,19,chinese:SSB0033,1,mean,opus_64k,Opus 64 kbps,1,1.88613272,4.5816,0.9995,29.20
audioseal,5,19,chinese:SSB0033,1,fwp,opus_64k,Opus 64 kbps,1,2.28372955,4.5687,0.9992,28.89
audioseal,5,20,chinese:SSB0033,2,mean,none,none,1,3.49771595,4.5920,0.9997,41.49
audioseal,5,20,chinese:SSB0033,2,fwp,none,none,1,2.16217661,4.5449,0.9992,37.72
audioseal,5,20,chinese:SSB0033,2,mean,mp3_128k,MP3 128 kbps,1,3.51840353,4.4031,0.9997,31.50
audioseal,5,20,chinese:SSB0033,2,fwp,mp3_128k,MP3 128 kbps,1,2.21645069,4.3728,0.9992,30.93
audioseal,5,20,chinese:SSB0033,2,mean,opus_64k,Opus 64 kbps,1,3.51056671,4.5776,0.9994,29.20
audioseal,5,20,chinese:SSB0033,2,fwp,opus_64k,Opus 64 kbps,1,2.31620312,4.5310,0.9989,28.70
audioseal,5,21,chinese:SSB0038,0,mean,none,none,1,3.59189796,4.5870,0.9990,34.90
audioseal,5,21,chinese:SSB0038,0,fwp,none,none,1,4.32367277,4.5607,0.9988,32.66
audioseal,5,21,chinese:SSB0038,0,mean,mp3_128k,MP3 128 kbps,1,3.57276297,4.3469,0.9990,24.14
audioseal,5,21,chinese:SSB0038,0,fwp,mp3_128k,MP3 128 kbps,1,4.43407917,4.3366,0.9988,23.90
audioseal,5,21,chinese:SSB0038,0,mean,opus_64k,Opus 64 kbps,1,3.56314468,4.5296,0.9987,28.77
audioseal,5,21,chinese:SSB0038,0,fwp,opus_64k,Opus 64 kbps,1,4.12333155,4.5110,0.9985,27.93
audioseal,5,22,chinese:SSB0038,1,mean,none,none,1,4.47571087,4.5708,0.9991,32.46
audioseal,5,22,chinese:SSB0038,1,fwp,none,none,1,3.88145113,4.5756,0.9993,34.43
audioseal,5,22,chinese:SSB0038,1,mean,mp3_128k,MP3 128 kbps,1,4.12504673,4.3334,0.9991,23.87
audioseal,5,22,chinese:SSB0038,1,fwp,mp3_128k,MP3 128 kbps,1,3.93319750,4.3370,0.9993,24.10
audioseal,5,22,chinese:SSB0038,1,mean,opus_64k,Opus 64 kbps,1,4.69942617,4.5179,0.9988,27.97
audioseal,5,22,chinese:SSB0038,1,fwp,opus_64k,Opus 64 kbps,1,3.77703190,4.5189,0.9989,28.32
audioseal,5,23,chinese:SSB0038,2,mean,none,none,1,2.06529760,4.5850,0.9989,33.35
audioseal,5,23,chinese:SSB0038,2,fwp,none,none,1,3.24202919,4.5986,0.9993,35.25
audioseal,5,23,chinese:SSB0038,2,mean,mp3_128k,MP3 128 kbps,1,2.12318993,4.3427,0.9989,23.99
audioseal,5,23,chinese:SSB0038,2,fwp,mp3_128k,MP3 128 kbps,1,3.12679195,4.3490,0.9993,24.17
audioseal,5,23,chinese:SSB0038,2,mean,opus_64k,Opus 64 kbps,1,2.05985928,4.5309,0.9986,28.22
audioseal,5,23,chinese:SSB0038,2,fwp,opus_64k,Opus 64 kbps,1,3.18615723,4.5271,0.9989,28.51
audioseal,5,24,chinese:SSB0043,0,mean,none,none,1,1.27954674,4.5346,0.9988,32.73
audioseal,5,24,chinese:SSB0043,0,fwp,none,none,1,4.00372171,4.4855,0.9980,30.21
audioseal,5,24,chinese:SSB0043,0,mean,mp3_128k,MP3 128 kbps,1,1.31883240,4.4718,0.9988,31.93
audioseal,5,24,chinese:SSB0043,0,fwp,mp3_128k,MP3 128 kbps,1,3.98667336,4.4358,0.9979,29.75
audioseal,5,24,chinese:SSB0043,0,mean,opus_64k,Opus 64 kbps,1,1.26286983,4.5185,0.9984,31.04
audioseal,5,24,chinese:SSB0043,0,fwp,opus_64k,Opus 64 kbps,1,4.00677299,4.4748,0.9976,29.03
audioseal,5,25,chinese:SSB0043,1,mean,none,none,1,0.82266760,4.5748,0.9994,36.10
audioseal,5,25,chinese:SSB0043,1,fwp,none,none,1,3.28933620,4.5595,0.9987,33.39
audioseal,5,25,chinese:SSB0043,1,mean,mp3_128k,MP3 128 kbps,1,0.78754330,4.5001,0.9994,34.53
audioseal,5,25,chinese:SSB0043,1,fwp,mp3_128k,MP3 128 kbps,1,3.29881287,4.4867,0.9986,32.47
audioseal,5,25,chinese:SSB0043,1,mean,opus_64k,Opus 64 kbps,1,0.86487436,4.5511,0.9990,32.99
audioseal,5,25,chinese:SSB0043,1,fwp,opus_64k,Opus 64 kbps,1,3.35617065,4.5384,0.9982,31.19
audioseal,5,26,chinese:SSB0043,2,mean,none,none,1,1.09818649,4.5537,0.9986,33.75
audioseal,5,26,chinese:SSB0043,2,fwp,none,none,1,1.93860817,4.5688,0.9987,34.53
audioseal,5,26,chinese:SSB0043,2,mean,mp3_128k,MP3 128 kbps,1,1.17032528,4.4899,0.9986,32.76
audioseal,5,26,chinese:SSB0043,2,fwp,mp3_128k,MP3 128 kbps,1,1.93597031,4.5002,0.9987,33.37
audioseal,5,26,chinese:SSB0043,2,mean,opus_64k,Opus 64 kbps,1,1.35892391,4.5358,0.9982,31.74
audioseal,5,26,chinese:SSB0043,2,fwp,opus_64k,Opus 64 kbps,1,2.02829266,4.5061,0.9974,30.29
audioseal,5,27,chinese:SSB0057,0,mean,none,none,1,2.68425655,4.5816,0.9989,36.92
audioseal,5,27,chinese:SSB0057,0,fwp,none,none,1,4.73641586,4.6150,0.9994,38.61
audioseal,5,27,chinese:SSB0057,0,mean,mp3_128k,MP3 128 kbps,1,2.68186474,4.4197,0.9989,24.33
audioseal,5,27,chinese:SSB0057,0,fwp,mp3_128k,MP3 128 kbps,1,4.72550488,4.4344,0.9993,24.41
audioseal,5,27,chinese:SSB0057,0,mean,opus_64k,Opus 64 kbps,1,2.69986677,4.5392,0.9984,28.42
audioseal,5,27,chinese:SSB0057,0,fwp,opus_64k,Opus 64 kbps,1,4.66377020,4.5536,0.9988,28.34
audioseal,5,28,chinese:SSB0057,1,mean,none,none,1,1.34337044,4.6185,0.9995,40.85
audioseal,5,28,chinese:SSB0057,1,fwp,none,none,1,4.78648663,4.5752,0.9987,36.18
audioseal,5,28,chinese:SSB0057,1,mean,mp3_128k,MP3 128 kbps,1,1.33199501,4.4336,0.9995,24.47
audioseal,5,28,chinese:SSB0057,1,fwp,mp3_128k,MP3 128 kbps,1,4.81921482,4.4135,0.9986,24.28
audioseal,5,28,chinese:SSB0057,1,mean,opus_64k,Opus 64 kbps,1,1.34474611,4.5560,0.9990,28.87
audioseal,5,28,chinese:SSB0057,1,fwp,opus_64k,Opus 64 kbps,1,4.51153564,4.5302,0.9980,28.21
audioseal,5,29,chinese:SSB0057,2,mean,none,none,1,3.86112881,4.5989,0.9991,39.31
audioseal,5,29,chinese:SSB0057,2,fwp,none,none,1,3.05378151,4.5529,0.9983,35.15
audioseal,5,29,chinese:SSB0057,2,mean,mp3_128k,MP3 128 kbps,1,3.81241608,4.4208,0.9991,24.44
audioseal,5,29,chinese:SSB0057,2,fwp,mp3_128k,MP3 128 kbps,1,2.96078873,4.3908,0.9983,24.21
audioseal,5,29,chinese:SSB0057,2,mean,opus_64k,Opus 64 kbps,1,3.86684608,4.5623,0.9986,28.76
audioseal,5,29,chinese:SSB0057,2,fwp,opus_64k,Opus 64 kbps,1,1.52788830,4.5382,0.9976,28.20
audioseal,5,30,chinese:SSB0073,0,mean,none,none,1,2.58369827,4.6004,0.9998,31.75
audioseal,5,30,chinese:SSB0073,0,fwp,none,none,1,2.09080267,4.6032,0.9998,33.57
audioseal,5,30,chinese:SSB0073,0,mean,mp3_128k,MP3 128 kbps,1,2.60026360,4.5085,0.9998,30.23
audioseal,5,30,chinese:SSB0073,0,fwp,mp3_128k,MP3 128 kbps,1,2.04161215,4.5089,0.9998,31.42
audioseal,5,30,chinese:SSB0073,0,mean,opus_64k,Opus 64 kbps,1,2.38397026,4.5897,0.9996,28.79
audioseal,5,30,chinese:SSB0073,0,fwp,opus_64k,Opus 64 kbps,1,2.09077358,4.5886,0.9995,29.13
audioseal,5,31,chinese:SSB0073,1,mean,none,none,1,2.90853119,4.5863,0.9996,31.81
audioseal,5,31,chinese:SSB0073,1,fwp,none,none,1,0.83440685,4.5570,0.9993,29.23
audioseal,5,31,chinese:SSB0073,1,mean,mp3_128k,MP3 128 kbps,1,2.85246420,4.4998,0.9996,30.27
audioseal,5,31,chinese:SSB0073,1,fwp,mp3_128k,MP3 128 kbps,1,0.82851410,4.4827,0.9993,28.31
audioseal,5,31,chinese:SSB0073,1,mean,opus_64k,Opus 64 kbps,1,2.91196871,4.5809,0.9994,28.86
audioseal,5,31,chinese:SSB0073,1,fwp,opus_64k,Opus 64 kbps,1,0.89041662,4.5471,0.9990,27.05
audioseal,5,32,chinese:SSB0073,2,mean,none,none,1,2.19311333,4.6037,0.9998,33.45
audioseal,5,32,chinese:SSB0073,2,fwp,none,none,1,4.07480335,4.6094,0.9998,33.55
audioseal,5,32,chinese:SSB0073,2,mean,mp3_128k,MP3 128 kbps,1,2.07782030,4.5078,0.9998,31.36
audioseal,5,32,chinese:SSB0073,2,fwp,mp3_128k,MP3 128 kbps,1,3.34504461,4.5101,0.9998,31.42
audioseal,5,32,chinese:SSB0073,2,mean,opus_64k,Opus 64 kbps,1,2.56307888,4.5972,0.9996,29.63
audioseal,5,32,chinese:SSB0073,2,fwp,opus_64k,Opus 64 kbps,1,1.74949551,4.5986,0.9995,29.11
audioseal,5,33,chinese:SSB0080,0,mean,none,none,1,2.26952171,4.5648,0.9985,30.80
audioseal,5,33,chinese:SSB0080,0,fwp,none,none,1,2.45735407,4.5844,0.9991,31.95
audioseal,5,33,chinese:SSB0080,0,mean,mp3_128k,MP3 128 kbps,1,2.28781462,4.4308,0.9984,27.50
audioseal,5,33,chinese:SSB0080,0,fwp,mp3_128k,MP3 128 kbps,1,2.42665911,4.4418,0.9991,27.99
audioseal,5,33,chinese:SSB0080,0,mean,opus_64k,Opus 64 kbps,1,2.23852777,4.5570,0.9981,27.66
audioseal,5,33,chinese:SSB0080,0,fwp,opus_64k,Opus 64 kbps,1,2.48724556,4.5642,0.9986,27.84
audioseal,5,34,chinese:SSB0080,1,mean,none,none,1,4.66869831,4.5637,0.9982,29.22
audioseal,5,34,chinese:SSB0080,1,fwp,none,none,1,3.58506489,4.5884,0.9987,30.40
audioseal,5,34,chinese:SSB0080,1,mean,mp3_128k,MP3 128 kbps,1,4.53751183,4.4331,0.9982,26.68
audioseal,5,34,chinese:SSB0080,1,fwp,mp3_128k,MP3 128 kbps,1,3.64931774,4.4405,0.9987,27.30
audioseal,5,34,chinese:SSB0080,1,mean,opus_64k,Opus 64 kbps,1,4.48898649,4.5495,0.9978,26.83
audioseal,5,34,chinese:SSB0080,1,fwp,opus_64k,Opus 64 kbps,1,3.12093830,4.5680,0.9981,27.23
audioseal,5,35,chinese:SSB0080,2,mean,none,none,1,2.45803595,4.5885,0.9991,32.11
audioseal,5,35,chinese:SSB0080,2,fwp,none,none,1,2.57554150,4.5759,0.9987,30.63
audioseal,5,35,chinese:SSB0080,2,mean,mp3_128k,MP3 128 kbps,1,2.50888014,4.4406,0.9990,28.06
audioseal,5,35,chinese:SSB0080,2,fwp,mp3_128k,MP3 128 kbps,1,2.38213921,4.4392,0.9987,27.41
audioseal,5,35,chinese:SSB0080,2,mean,opus_64k,Opus 64 kbps,1,2.32007885,4.5635,0.9987,28.19
audioseal,5,35,chinese:SSB0080,2,fwp,opus_64k,Opus 64 kbps,1,2.76847839,4.5517,0.9982,27.23
audioseal,5,36,chinese:SSB0112,0,mean,none,none,1,2.23601437,4.5683,0.9992,29.38
audioseal,5,36,chinese:SSB0112,0,fwp,none,none,1,4.15591717,4.5375,0.9985,26.50
