model,K,spk,local_t,gi,restart,start_id,objective,weights
voicemark,5,chinese:SSB0009,0,1,2,2,0.0004554114,0.08073308;0.19010137;0.29054148;0.06408211;0.37454195
voicemark,5,chinese:SSB0009,0,1,2,3,0.0004554114,0.08079089;0.19004827;0.29056451;0.06403522;0.37456110
voicemark,5,chinese:SSB0009,0,1,2,4,0.0004554114,0.08073307;0.19010138;0.29054148;0.06408211;0.37454196
voicemark,5,chinese:SSB0009,0,1,2,5,0.0004554114,0.08073307;0.19010138;0.29054148;0.06408211;0.37454196
voicemark,5,chinese:SSB0009,0,1,2,6,0.0004554114,0.08079089;0.19004827;0.29056451;0.06403522;0.37456110
voicemark,5,chinese:SSB0009,0,1,3,0,0.0004554114,0.08073309;0.19010137;0.29054147;0.06408211;0.37454196
voicemark,5,chinese:SSB0009,0,1,3,1,0.0004554114,0.08073307;0.19010138;0.29054148;0.06408211;0.37454196
voicemark,5,chinese:SSB0009,0,1,3,2,0.0004554114,0.08073307;0.19010138;0.29054148;0.06408211;0.37454196
voicemark,5,chinese:SSB0009,0,1,3,3,0.0004554114,0.08073307;0.19010138;0.29054148;0.06408211;0.37454196
voicemark,5,chinese:SSB0009,0,1,3,4,0.0004554114,0.08073307;0.19010138;0.29054148;0.06408211;0.37454196
voicemark,5,chinese:SSB0009,0,1,3,5,0.0004554114,0.08073307;0.19010138;0.29054148;0.06408211;0.37454196
voicemark,5,chinese:SSB0009,0,1,3,6,0.0004554114,0.08073308;0.19010137;0.29054148;0.06408211;0.37454196
voicemark,5,chinese:SSB0011,0,2,0,0,0.0000509606,0.24362924;0.23013774;0.14973656;0.21150270;0.16499376
voicemark,5,chinese:SSB0011,0,2,0,1,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199804;0.16442896
voicemark,5,chinese:SSB0011,0,2,0,2,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199803;0.16442897
voicemark,5,chinese:SSB0011,0,2,0,3,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199804;0.16442896
voicemark,5,chinese:SSB0011,0,2,0,4,0.0000509606,0.24354641;0.22997624;0.15005035;0.21199803;0.16442897
voicemark,5,chinese:SSB0011,0,2,0,5,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199804;0.16442896
voicemark,5,chinese:SSB0011,0,2,0,6,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199803;0.16442897
voicemark,5,chinese:SSB0011,0,2,1,0,0.0000509606,0.24362924;0.23013774;0.14973656;0.21150270;0.16499376
voicemark,5,chinese:SSB0011,0,2,1,1,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199804;0.16442896
voicemark,5,chinese:SSB0011,0,2,1,2,0.0000509606,0.24354642;0.22997623;0.15005036;0.21199804;0.16442895
voicemark,5,chinese:SSB0011,0,2,1,3,0.0000509606,0.24354642;0.22997623;0.15005036;0.21199804;0.16442895
voicemark,5,chinese:SSB0011,0,2,1,4,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199804;0.16442896
voicemark,5,chinese:SSB0011,0,2,1,5,0.0000509606,0.24354642;0.22997623;0.15005036;0.21199804;0.16442895
voicemark,5,chinese:SSB0011,0,2,1,6,0.0000509606,0.24354643;0.22997624;0.15005035;0.21199804;0.16442894
voicemark,5,chinese:SSB0011,0,2,2,0,0.0000509606,0.24362924;0.23013774;0.14973656;0.21150270;0.16499376
voicemark,5,chinese:SSB0011,0,2,2,1,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199804;0.16442896
voicemark,5,chinese:SSB0011,0,2,2,2,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199804;0.16442896
voicemark,5,chinese:SSB0011,0,2,2,3,0.0000509606,0.24354642;0.22997623;0.15005035;0.21199804;0.16442896
voicemark,5,chinese:SSB0011,0,2,2,4,0.0000509606,0.24354643;0.22997623;0.15005034;0.21199803;0.16442896
