model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,3,ecc1,16,11,2048,chinese:SSB0038,0,21,mean,1,1,1,10,0.9091,4.5585,0.9999,43.51
wavmark,3,ecc1,16,11,2048,chinese:SSB0038,0,21,fwp,1,1,1,9,0.8182,4.5860,0.9999,44.94
wavmark,3,ecc1,16,11,2048,chinese:SSB0038,1,22,mean,1,1,1,8,0.7273,4.5405,0.9999,44.85
wavmark,3,ecc1,16,11,2048,chinese:SSB0038,1,22,fwp,1,1,1,8,0.7273,4.5417,0.9999,45.55
wavmark,3,ecc1,16,11,2048,chinese:SSB0038,2,23,mean,1,1,1,10,0.9091,4.5536,0.9999,43.71
wavmark,3,ecc1,16,11,2048,chinese:SSB0038,2,23,fwp,1,1,1,7,0.6364,4.4735,0.9997,40.18
wavmark,3,ecc1,16,11,2048,chinese:SSB0043,0,24,mean,1,1,1,9,0.8182,4.4291,0.9985,41.36
wavmark,3,ecc1,16,11,2048,chinese:SSB0043,0,24,fwp,1,1,1,8,0.7273,4.4458,0.9988,42.72
wavmark,3,ecc1,16,11,2048,chinese:SSB0043,1,25,mean,1,1,1,9,0.8182,4.4887,0.9988,42.63
wavmark,3,ecc1,16,11,2048,chinese:SSB0043,1,25,fwp,1,1,1,8,0.7273,4.5214,0.9992,43.76
wavmark,3,ecc1,16,11,2048,chinese:SSB0043,2,26,mean,1,1,1,10,0.9091,4.5092,0.9988,42.63
wavmark,3,ecc1,16,11,2048,chinese:SSB0043,2,26,fwp,1,1,1,8,0.7273,4.3469,0.9973,39.11
wavmark,3,ecc1,16,11,2048,chinese:SSB0057,0,27,mean,1,1,1,8,0.7273,4.5208,0.9956,44.38
wavmark,3,ecc1,16,11,2048,chinese:SSB0057,0,27,fwp,1,1,1,8,0.7273,4.5225,0.9958,44.32
wavmark,3,ecc1,16,11,2048,chinese:SSB0057,1,28,mean,1,1,1,9,0.8182,4.5450,0.9970,44.74
wavmark,3,ecc1,16,11,2048,chinese:SSB0057,1,28,fwp,1,1,1,8,0.7273,4.4597,0.9933,41.22
wavmark,3,ecc1,16,11,2048,chinese:SSB0057,2,29,mean,1,1,1,8,0.7273,4.5139,0.9953,44.43
wavmark,3,ecc1,16,11,2048,chinese:SSB0057,2,29,fwp,1,1,1,8,0.7273,4.4095,0.9909,40.90
wavmark,3,ecc1,16,11,2048,chinese:SSB0073,0,30,mean,1,1,1,9,0.8182,4.5190,0.9999,45.27
wavmark,3,ecc1,16,11,2048,chinese:SSB0073,0,30,fwp,1,1,1,10,0.9091,4.4346,0.9997,41.75
wavmark,3,ecc1,16,11,2048,chinese:SSB0073,1,31,mean,1,1,1,7,0.6364,4.4841,0.9998,44.26
wavmark,3,ecc1,16,11,2048,chinese:SSB0073,1,31,fwp,1,0,0,8,0.7273,4.3702,0.9996,40.74
