model,K,spk,local_t,eps,r0,ASR
wavmark,3,chinese:SSB0038,0,0.05,0.3,1
wavmark,3,chinese:SSB0043,0,0.0,0.05,1
wavmark,3,chinese:SSB0043,0,0.0,0.1,1
wavmark,3,chinese:SSB0043,0,0.0,0.3,1
wavmark,3,chinese:SSB0043,0,0.001,0.05,1
wavmark,3,chinese:SSB0043,0,0.001,0.1,1
wavmark,3,chinese:SSB0043,0,0.001,0.3,1
wavmark,3,chinese:SSB0043,0,0.01,0.05,1
wavmark,3,chinese:SSB0043,0,0.01,0.1,1
wavmark,3,chinese:SSB0043,0,0.01,0.3,1
wavmark,3,chinese:SSB0043,0,0.05,0.05,1
wavmark,3,chinese:SSB0043,0,0.05,0.1,1
wavmark,3,chinese:SSB0043,0,0.05,0.3,1
wavmark,3,chinese:SSB0057,0,0.0,0.05,1
wavmark,3,chinese:SSB0057,0,0.0,0.1,1
wavmark,3,chinese:SSB0057,0,0.0,0.3,1
wavmark,3,chinese:SSB0057,0,0.001,0.05,1
wavmark,3,chinese:SSB0057,0,0.001,0.1,1
wavmark,3,chinese:SSB0057,0,0.001,0.3,1
wavmark,3,chinese:SSB0057,0,0.01,0.05,1
wavmark,3,chinese:SSB0057,0,0.01,0.1,1
wavmark,3,chinese:SSB0057,0,0.01,0.3,1
wavmark,3,chinese:SSB0057,0,0.05,0.05,1
wavmark,3,chinese:SSB0057,0,0.05,0.1,1
wavmark,3,chinese:SSB0057,0,0.05,0.3,1
wavmark,3,chinese:SSB0073,0,0.0,0.05,1
wavmark,3,chinese:SSB0073,0,0.0,0.1,1
wavmark,3,chinese:SSB0073,0,0.0,0.3,1
wavmark,3,chinese:SSB0073,0,0.001,0.05,1
wavmark,3,chinese:SSB0073,0,0.001,0.1,1
wavmark,3,chinese:SSB0073,0,0.001,0.3,1
wavmark,3,chinese:SSB0073,0,0.01,0.05,1
wavmark,3,chinese:SSB0073,0,0.01,0.1,1
wavmark,3,chinese:SSB0073,0,0.01,0.3,1
wavmark,3,chinese:SSB0073,0,0.05,0.05,1
wavmark,3,chinese:SSB0073,0,0.05,0.1,1
wavmark,3,chinese:SSB0073,0,0.05,0.3,1
wavmark,3,chinese:SSB0080,0,0.0,0.05,1
wavmark,3,chinese:SSB0080,0,0.0,0.1,1
wavmark,3,chinese:SSB0080,0,0.0,0.3,1
wavmark,3,chinese:SSB0080,0,0.001,0.05,1
wavmark,3,chinese:SSB0080,0,0.001,0.1,1
wavmark,3,chinese:SSB0080,0,0.001,0.3,1
wavmark,3,chinese:SSB0080,0,0.01,0.05,1
wavmark,3,chinese:SSB0080,0,0.01,0.1,1
wavmark,3,chinese:SSB0080,0,0.01,0.3,1
wavmark,3,chinese:SSB0080,0,0.05,0.05,1
wavmark,3,chinese:SSB0080,0,0.05,0.1,1
wavmark,3,chinese:SSB0080,0,0.05,0.3,1
wavmark,3,chinese:SSB0112,0,0.0,0.05,1
wavmark,3,chinese:SSB0112,0,0.0,0.1,1
wavmark,3,chinese:SSB0112,0,0.0,0.3,1
wavmark,3,chinese:SSB0112,0,0.001,0.05,1
wavmark,3,chinese:SSB0112,0,0.001,0.1,1
wavmark,3,chinese:SSB0112,0,0.001,0.3,1
wavmark,3,chinese:SSB0112,0,0.01,0.05,1
wavmark,3,chinese:SSB0112,0,0.01,0.1,1
wavmark,3,chinese:SSB0112,0,0.01,0.3,1
wavmark,3,chinese:SSB0112,0,0.05,0.05,1
wavmark,3,chinese:SSB0112,0,0.05,0.1,1
wavmark,3,chinese:SSB0112,0,0.05,0.3,1
wavmark,3,chinese:SSB0122,0,0.0,0.05,1
wavmark,3,chinese:SSB0122,0,0.0,0.1,1
wavmark,3,chinese:SSB0122,0,0.0,0.3,1
wavmark,3,chinese:SSB0122,0,0.001,0.05,1
wavmark,3,chinese:SSB0122,0,0.001,0.1,1
wavmark,3,chinese:SSB0122,0,0.001,0.3,1
wavmark,3,chinese:SSB0122,0,0.01,0.05,1
wavmark,3,chinese:SSB0122,0,0.01,0.1,1
wavmark,3,chinese:SSB0122,0,0.01,0.3,1
wavmark,3,chinese:SSB0122,0,0.05,0.05,1
wavmark,3,chinese:SSB0122,0,0.05,0.1,1
wavmark,3,chinese:SSB0122,0,0.05,0.3,1
wavmark,3,chinese:SSB0133,0,0.0,0.05,1
wavmark,3,chinese:SSB0133,0,0.0,0.1,1
wavmark,3,chinese:SSB0133,0,0.0,0.3,1
wavmark,3,chinese:SSB0133,0,0.001,0.05,1
wavmark,3,chinese:SSB0133,0,0.001,0.1,1
wavmark,3,chinese:SSB0133,0,0.001,0.3,1
wavmark,3,chinese:SSB0133,0,0.01,0.05,1
wavmark,3,chinese:SSB0133,0,0.01,0.1,1
wavmark,3,chinese:SSB0133,0,0.01,0.3,1
wavmark,3,chinese:SSB0133,0,0.05,0.05,1
wavmark,3,chinese:SSB0133,0,0.05,0.1,1
wavmark,3,chinese:SSB0133,0,0.05,0.3,1
wavmark,3,chinese:SSB0139,0,0.0,0.05,1
wavmark,3,chinese:SSB0139,0,0.0,0.1,1
wavmark,3,chinese:SSB0139,0,0.0,0.3,1
wavmark,3,chinese:SSB0139,0,0.001,0.05,1
wavmark,3,chinese:SSB0139,0,0.001,0.1,1
wavmark,3,chinese:SSB0139,0,0.001,0.3,1
wavmark,3,chinese:SSB0139,0,0.01,0.05,1
wavmark,3,chinese:SSB0139,0,0.01,0.1,1
wavmark,3,chinese:SSB0139,0,0.01,0.3,1
wavmark,3,chinese:SSB0139,0,0.05,0.05,1
wavmark,3,chinese:SSB0139,0,0.05,0.1,1
wavmark,3,chinese:SSB0139,0,0.05,0.3,1
wavmark,3,chinese:SSB0145,0,0.0,0.05,1
wavmark,3,chinese:SSB0145,0,0.0,0.1,1
wavmark,3,chinese:SSB0145,0,0.0,0.3,1
wavmark,3,chinese:SSB0145,0,0.001,0.05,1
wavmark,3,chinese:SSB0145,0,0.001,0.1,1
wavmark,3,chinese:SSB0145,0,0.001,0.3,1
wavmark,3,chinese:SSB0145,0,0.01,0.05,1
wavmark,3,chinese:SSB0145,0,0.01,0.1,1
wavmark,3,chinese:SSB0145,0,0.01,0.3,1
wavmark,3,chinese:SSB0145,0,0.05,0.05,1
wavmark,3,chinese:SSB0145,0,0.05,0.1,1
wavmark,3,chinese:SSB0145,0,0.05,0.3,1
wavmark,3,chinese:SSB0149,0,0.0,0.05,1
wavmark,3,chinese:SSB0149,0,0.0,0.1,1
wavmark,3,chinese:SSB0149,0,0.0,0.3,1
wavmark,3,chinese:SSB0149,0,0.001,0.05,1
wavmark,3,chinese:SSB0149,0,0.001,0.1,1
wavmark,3,chinese:SSB0149,0,0.001,0.3,1
wavmark,3,chinese:SSB0149,0,0.01,0.05,1
wavmark,3,chinese:SSB0149,0,0.01,0.1,1
wavmark,3,chinese:SSB0149,0,0.01,0.3,1
wavmark,3,chinese:SSB0149,0,0.05,0.05,1
wavmark,3,chinese:SSB0149,0,0.05,0.1,1
wavmark,3,chinese:SSB0149,0,0.05,0.3,1
wavmark,3,chinese:SSB0193,0,0.0,0.05,1
wavmark,3,chinese:SSB0193,0,0.0,0.1,1
wavmark,3,chinese:SSB0193,0,0.0,0.3,1
wavmark,3,chinese:SSB0193,0,0.001,0.05,1
wavmark,3,chinese:SSB0193,0,0.001,0.1,1
wavmark,3,chinese:SSB0193,0,0.001,0.3,1
wavmark,3,chinese:SSB0193,0,0.01,0.05,1
wavmark,3,chinese:SSB0193,0,0.01,0.1,1
wavmark,3,chinese:SSB0193,0,0.01,0.3,1
wavmark,3,chinese:SSB0193,0,0.05,0.05,1
wavmark,3,chinese:SSB0193,0,0.05,0.1,1
wavmark,3,chinese:SSB0193,0,0.05,0.3,1
wavmark,3,chinese:SSB0197,0,0.0,0.05,1
wavmark,3,chinese:SSB0197,0,0.0,0.1,1
wavmark,3,chinese:SSB0197,0,0.0,0.3,1
wavmark,3,chinese:SSB0197,0,0.001,0.05,1
wavmark,3,chinese:SSB0197,0,0.001,0.1,1
wavmark,3,chinese:SSB0197,0,0.001,0.3,1
wavmark,3,chinese:SSB0197,0,0.01,0.05,1
wavmark,3,chinese:SSB0197,0,0.01,0.1,1
wavmark,3,chinese:SSB0197,0,0.01,0.3,1
wavmark,3,chinese:SSB0197,0,0.05,0.05,1
wavmark,3,chinese:SSB0197,0,0.05,0.1,1
wavmark,3,chinese:SSB0197,0,0.05,0.3,1
wavmark,3,chinese:SSB0200,0,0.0,0.05,1
wavmark,3,chinese:SSB0200,0,0.0,0.1,1
wavmark,3,chinese:SSB0200,0,0.0,0.3,1
wavmark,3,chinese:SSB0200,0,0.001,0.05,1
wavmark,3,chinese:SSB0200,0,0.001,0.1,1
wavmark,3,chinese:SSB0200,0,0.001,0.3,1
wavmark,3,chinese:SSB0200,0,0.01,0.05,1
wavmark,3,chinese:SSB0200,0,0.01,0.1,1
wavmark,3,chinese:SSB0200,0,0.01,0.3,1
wavmark,3,chinese:SSB0200,0,0.05,0.05,1
wavmark,3,chinese:SSB0200,0,0.05,0.1,1
wavmark,3,chinese:SSB0200,0,0.05,0.3,1
wavmark,3,chinese:SSB0241,0,0.0,0.05,1
wavmark,3,chinese:SSB0241,0,0.0,0.1,1
wavmark,3,chinese:SSB0241,0,0.0,0.3,1
wavmark,3,chinese:SSB0241,0,0.001,0.05,1
wavmark,3,chinese:SSB0241,0,0.001,0.1,1
wavmark,3,chinese:SSB0241,0,0.001,0.3,1
wavmark,3,chinese:SSB0241,0,0.01,0.05,1
wavmark,3,chinese:SSB0241,0,0.01,0.1,1
wavmark,3,chinese:SSB0241,0,0.01,0.3,1
wavmark,3,chinese:SSB0241,0,0.05,0.05,1
wavmark,3,chinese:SSB0241,0,0.05,0.1,1
wavmark,3,chinese:SSB0241,0,0.05,0.3,1
wavmark,3,chinese:SSB0246,0,0.0,0.05,1
wavmark,3,chinese:SSB0246,0,0.0,0.1,1
wavmark,3,chinese:SSB0246,0,0.0,0.3,1
wavmark,3,chinese:SSB0246,0,0.001,0.05,1
wavmark,3,chinese:SSB0246,0,0.001,0.1,1
wavmark,3,chinese:SSB0246,0,0.001,0.3,1
wavmark,3,chinese:SSB0246,0,0.01,0.05,1
wavmark,3,chinese:SSB0246,0,0.01,0.1,1
wavmark,3,chinese:SSB0246,0,0.01,0.3,1
wavmark,3,chinese:SSB0246,0,0.05,0.05,1
wavmark,3,chinese:SSB0246,0,0.05,0.1,1
wavmark,3,chinese:SSB0246,0,0.05,0.3,1
wavmark,3,chinese:SSB0261,0,0.0,0.05,1
wavmark,3,chinese:SSB0261,0,0.0,0.1,1
wavmark,3,chinese:SSB0261,0,0.0,0.3,1
wavmark,3,chinese:SSB0261,0,0.001,0.05,1
wavmark,3,chinese:SSB0261,0,0.001,0.1,1
wavmark,3,chinese:SSB0261,0,0.001,0.3,1
wavmark,3,chinese:SSB0261,0,0.01,0.05,1
wavmark,3,chinese:SSB0261,0,0.01,0.1,1
wavmark,3,chinese:SSB0261,0,0.01,0.3,1
wavmark,3,chinese:SSB0261,0,0.05,0.05,1
wavmark,3,chinese:SSB0261,0,0.05,0.1,1
wavmark,3,chinese:SSB0261,0,0.05,0.3,1
wavmark,3,chinese:SSB0267,0,0.0,0.05,1
wavmark,3,chinese:SSB0267,0,0.0,0.1,1
wavmark,3,chinese:SSB0267,0,0.0,0.3,1
wavmark,3,chinese:SSB0267,0,0.001,0.05,1
wavmark,3,chinese:SSB0267,0,0.001,0.1,1
wavmark,3,chinese:SSB0267,0,0.001,0.3,1
wavmark,3,chinese:SSB0267,0,0.01,0.05,1
wavmark,3,chinese:SSB0267,0,0.01,0.1,1
wavmark,3,chinese:SSB0267,0,0.01,0.3,1
wavmark,3,chinese:SSB0267,0,0.05,0.05,1
wavmark,3,chinese:SSB0267,0,0.05,0.1,1
wavmark,3,chinese:SSB0267,0,0.05,0.3,1
wavmark,3,chinese:SSB0273,0,0.0,0.05,1
wavmark,3,chinese:SSB0273,0,0.0,0.1,1
wavmark,3,chinese:SSB0273,0,0.0,0.3,1
wavmark,3,chinese:SSB0273,0,0.001,0.05,1
wavmark,3,chinese:SSB0273,0,0.001,0.1,1
wavmark,3,chinese:SSB0273,0,0.001,0.3,1
wavmark,3,chinese:SSB0273,0,0.01,0.05,1
wavmark,3,chinese:SSB0273,0,0.01,0.1,1
wavmark,3,chinese:SSB0273,0,0.01,0.3,1
wavmark,3,chinese:SSB0273,0,0.05,0.05,1
wavmark,3,chinese:SSB0273,0,0.05,0.1,1
wavmark,3,chinese:SSB0273,0,0.05,0.3,1
wavmark,3,chinese:SSB0287,0,0.0,0.05,1
wavmark,3,chinese:SSB0287,0,0.0,0.1,1
