model,K,spk,local_t,gi,method,block_seconds,fade_seconds,num_blocks,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
timbrewm,5,chinese:SSB0016,0,4,median,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.1112,0.9869,23.66
timbrewm,5,chinese:SSB0016,0,4,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,3.9527,0.9868,22.07
timbrewm,5,chinese:SSB0016,0,4,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,3.9514,0.9869,22.11
timbrewm,5,chinese:SSB0016,0,4,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.3726,0.9936,25.46
timbrewm,5,chinese:SSB0018,0,5,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.5425,0.9969,33.68
timbrewm,5,chinese:SSB0018,0,5,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5063,0.9973,35.00
timbrewm,5,chinese:SSB0018,0,5,rp,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.3903,0.9934,30.80
timbrewm,5,chinese:SSB0018,0,5,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.3671,0.9934,30.23
timbrewm,5,chinese:SSB0018,0,5,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.4328,0.9968,33.27
timbrewm,5,chinese:SSB0018,0,5,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3285,0.9955,30.97
timbrewm,5,chinese:SSB0018,0,5,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3246,0.9956,30.96
timbrewm,5,chinese:SSB0018,0,5,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4760,0.9959,33.81
timbrewm,5,chinese:SSB0033,0,6,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.5256,0.9982,36.00
timbrewm,5,chinese:SSB0033,0,6,fwp,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.5156,0.9984,36.94
timbrewm,5,chinese:SSB0033,0,6,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.8000,4.5987,0.9989,39.01
timbrewm,5,chinese:SSB0033,0,6,eep,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.3664,0.9957,32.94
timbrewm,5,chinese:SSB0033,0,6,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.4966,0.9981,35.69
timbrewm,5,chinese:SSB0033,0,6,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4538,0.9975,33.20
timbrewm,5,chinese:SSB0033,0,6,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4590,0.9976,33.20
timbrewm,5,chinese:SSB0033,0,6,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4883,0.9979,35.82
timbrewm,5,chinese:SSB0038,0,7,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.6068,0.9969,32.76
timbrewm,5,chinese:SSB0038,0,7,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5848,0.9961,31.76
timbrewm,5,chinese:SSB0038,0,7,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.6000,4.5965,0.9980,34.03
timbrewm,5,chinese:SSB0038,0,7,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5848,0.9961,31.76
timbrewm,5,chinese:SSB0038,0,7,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5326,0.9966,32.12
timbrewm,5,chinese:SSB0038,0,7,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.4284,0.9956,29.68
timbrewm,5,chinese:SSB0038,0,7,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.4288,0.9960,29.73
timbrewm,5,chinese:SSB0038,0,7,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.7000,4.5868,0.9962,31.92
timbrewm,5,chinese:SSB0043,0,8,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4844,0.9958,30.52
timbrewm,5,chinese:SSB0043,0,8,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.1921,0.9920,27.27
timbrewm,5,chinese:SSB0043,0,8,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.0094,0.9893,26.05
timbrewm,5,chinese:SSB0043,0,8,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.0094,0.9893,26.05
