model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
wmcodec,5,chinese:SSB0009,0,3,payload_farthest,1,,-22.6029,-20.8519,4.3305,0.9887,16.05,0.5047,-0.6776,0.1355,0.1355
wmcodec,5,chinese:SSB0009,1,4,single_copy,1,,-4.9796,-4.7727,4.6439,1.0000,145.32,0.5662,-0.8475,-8.1394,-8.1394
wmcodec,5,chinese:SSB0009,1,4,mean,1,,-19.6248,-19.1606,4.2742,0.9856,13.96,0.5662,-0.8475,-8.1394,-8.1394
wmcodec,5,chinese:SSB0009,1,4,rp,1,,-41.9739,-41.3308,4.0722,0.9795,11.51,0.5662,-0.8475,-8.1394,-8.1394
wmcodec,5,chinese:SSB0009,1,4,random_dirichlet,1,,-26.3256,-25.8353,4.3212,0.9871,14.63,0.5662,-0.8475,-8.1394,-8.1394
wmcodec,5,chinese:SSB0009,1,4,eep,1,,-41.9739,-41.3308,4.0722,0.9795,11.51,0.5662,-0.8475,-8.1394,-8.1394
wmcodec,5,chinese:SSB0009,1,4,fwp,1,,-32.8945,-32.7725,4.3464,0.9894,15.54,0.5662,-0.8475,-8.1394,-8.1394
wmcodec,5,chinese:SSB0009,1,4,dm,1,,-19.7219,-18.3920,4.2715,0.9855,13.97,0.5662,-0.8475,-8.1394,-8.1394
wmcodec,5,chinese:SSB0009,1,4,tct,1,,-8.7861,-8.1394,4.3712,0.9883,15.07,0.5662,-0.8475,-8.1394,-8.1394
wmcodec,5,chinese:SSB0009,1,4,payload_farthest,1,,-32.8945,-32.7725,4.3464,0.9894,15.54,0.5662,-0.8475,-8.1394,-8.1394
wmcodec,5,chinese:SSB0009,2,5,single_copy,1,,-2.2903,-2.1805,4.6439,1.0000,145.36,0.2760,-0.7097,-26.1173,-26.1168
wmcodec,5,chinese:SSB0009,2,5,mean,1,,-14.9384,-14.6814,4.2395,0.9852,13.25,0.2760,-0.7097,-26.1173,-26.1168
wmcodec,5,chinese:SSB0009,2,5,rp,1,,-7.6590,-7.4464,3.9171,0.9782,10.18,0.2760,-0.7097,-26.1173,-26.1168
wmcodec,5,chinese:SSB0009,2,5,random_dirichlet,1,,-14.1408,-13.6275,4.1091,0.9827,11.94,0.2760,-0.7097,-26.1173,-26.1168
wmcodec,5,chinese:SSB0009,2,5,eep,1,,-19.5266,-19.4003,3.9257,0.9789,10.23,0.2760,-0.7097,-26.1173,-26.1168
wmcodec,5,chinese:SSB0009,2,5,fwp,1,,-32.1896,-32.1326,4.3697,0.9884,14.99,0.2760,-0.7097,-26.1173,-26.1168
wmcodec,5,chinese:SSB0009,2,5,dm,1,,-22.7107,-22.6852,4.2857,0.9864,13.91,0.2760,-0.7097,-26.1173,-26.1168
wmcodec,5,chinese:SSB0009,2,5,tct,1,,-26.3539,-26.1173,4.3180,0.9878,14.77,0.2760,-0.7097,-26.1173,-26.1168
wmcodec,5,chinese:SSB0009,2,5,payload_farthest,1,,-35.1605,-35.1238,4.3443,0.9892,16.05,0.2760,-0.7097,-26.1173,-26.1168
wmcodec,5,chinese:SSB0011,0,6,single_copy,0,,-0.0017,6.8129,4.6439,1.0000,140.51,0.0249,-0.5707,-7.7341,-7.7341
wmcodec,5,chinese:SSB0011,0,6,mean,1,,-17.4887,-16.9960,4.3203,0.9849,16.60,0.0249,-0.5707,-7.7341,-7.7341
wmcodec,5,chinese:SSB0011,0,6,rp,1,,-12.7872,-11.6344,4.0129,0.9761,13.85,0.0249,-0.5707,-7.7341,-7.7341
wmcodec,5,chinese:SSB0011,0,6,random_dirichlet,1,,-22.6875,-21.6021,4.0505,0.9776,14.23,0.0249,-0.5707,-7.7341,-7.7341
wmcodec,5,chinese:SSB0011,0,6,eep,1,,-9.5104,-9.2186,4.4038,0.9886,18.79,0.0249,-0.5707,-7.7341,-7.7341
wmcodec,5,chinese:SSB0011,0,6,fwp,1,,-11.4013,-10.8632,4.3599,0.9884,18.64,0.0249,-0.5707,-7.7341,-7.7341
wmcodec,5,chinese:SSB0011,0,6,dm,1,,-20.0528,-19.8954,4.3480,0.9859,17.02,0.0249,-0.5707,-7.7341,-7.7341
wmcodec,5,chinese:SSB0011,0,6,tct,1,,-10.0813,-7.7341,4.0158,0.9766,14.08,0.0249,-0.5707,-7.7341,-7.7341
wmcodec,5,chinese:SSB0011,0,6,payload_farthest,1,,-12.7958,-12.3975,4.4470,0.9902,18.95,0.0249,-0.5707,-7.7341,-7.7341
wmcodec,5,chinese:SSB0011,1,7,single_copy,1,,-8.7195,-8.7191,4.6439,1.0000,140.78,0.5001,-0.0672,-11.9873,-11.9870
wmcodec,5,chinese:SSB0011,1,7,mean,1,,-32.4136,-32.1730,4.1217,0.9823,16.57,0.5001,-0.0672,-11.9873,-11.9870
wmcodec,5,chinese:SSB0011,1,7,rp,1,,-21.0988,-20.8147,3.8681,0.9760,13.89,0.5001,-0.0672,-11.9873,-11.9870
wmcodec,5,chinese:SSB0011,1,7,random_dirichlet,1,,-34.4933,-34.2967,4.0118,0.9782,14.75,0.5001,-0.0672,-11.9873,-11.9870
