model,K,spk,local_t,gi,method,block_seconds,fade_seconds,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
timbrewm,5,chinese:SSB0005,0,0,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8000,4.5486,0.9972,34.38
timbrewm,5,chinese:SSB0005,0,0,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8000,4.5820,0.9966,35.62
timbrewm,5,chinese:SSB0005,0,0,rp,2.0,0.02,blockwise_max_pair_mse,0,0,0,1.0000,4.4390,0.9924,31.32
timbrewm,5,chinese:SSB0005,0,0,eep,2.0,0.02,blockwise_max_pair_mse,0,0,0,1.0000,4.4390,0.9924,31.32
timbrewm,5,chinese:SSB0005,0,0,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8000,4.4319,0.9970,33.98
timbrewm,5,chinese:SSB0005,0,0,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8000,4.3797,0.9958,31.67
timbrewm,5,chinese:SSB0005,0,0,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,0,0.8000,4.3683,0.9957,31.63
timbrewm,5,chinese:SSB0005,0,0,block_fwp50_smooth,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8000,4.5256,0.9944,32.92
timbrewm,5,chinese:SSB0009,0,1,mean,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.9000,4.5564,0.9979,29.21
timbrewm,5,chinese:SSB0009,0,1,fwp,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8000,4.6028,0.9985,31.01
timbrewm,5,chinese:SSB0009,0,1,rp,2.0,0.02,blockwise_max_pair_mse,1,1,0,0.9000,4.4079,0.9970,26.91
timbrewm,5,chinese:SSB0009,0,1,eep,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.8000,4.6028,0.9985,31.01
timbrewm,5,chinese:SSB0009,0,1,median,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.9000,4.5129,0.9975,28.57
timbrewm,5,chinese:SSB0009,0,1,minimum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.9000,4.4667,0.9974,27.06
timbrewm,5,chinese:SSB0009,0,1,maximum,2.0,0.02,blockwise_max_pair_mse,1,1,1,0.9000,4.4864,0.9975,27.09
