model,K,trial_id,condition,identity,nbits,min_bit_confidence,weakest_bit,source_path,target_rank,confidence_kind
wmcodec,8,152,uniform_collusion,1925,16,0.4884619117,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/103/english_103_03.wav,,native decoder bit marginal
wmcodec,8,153,benign_copy,12993,16,0.9373818114,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1034/english_1034_01.wav,,native decoder bit marginal
wmcodec,8,153,successful_mrc,19444,16,0.9930671453,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1034/english_1034_01.wav,2,native decoder bit marginal
wmcodec,8,153,uniform_collusion,12123,16,0.6445415020,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1034/english_1034_01.wav,,native decoder bit marginal
wmcodec,8,154,benign_copy,56292,16,0.9999438789,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1034/english_1034_02.wav,,native decoder bit marginal
wmcodec,8,154,successful_mrc,9432,16,0.8130922168,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1034/english_1034_02.wav,4,native decoder bit marginal
wmcodec,8,154,uniform_collusion,35802,16,0.8399180174,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1034/english_1034_02.wav,,native decoder bit marginal
wmcodec,8,155,benign_copy,21682,16,0.9993253271,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1034/english_1034_03.wav,,native decoder bit marginal
wmcodec,8,155,uniform_collusion,20156,16,0.5255889297,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1034/english_1034_03.wav,,native decoder bit marginal
wmcodec,8,156,benign_copy,44513,16,0.9861404793,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1040/english_1040_01.wav,,native decoder bit marginal
wmcodec,8,156,uniform_collusion,2034,16,0.4612086415,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1040/english_1040_01.wav,,native decoder bit marginal
wmcodec,8,157,benign_copy,19291,16,0.9996039293,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1040/english_1040_02.wav,,native decoder bit marginal
wmcodec,8,157,uniform_collusion,35594,16,0.5947384238,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1040/english_1040_02.wav,,native decoder bit marginal
wmcodec,8,158,benign_copy,43282,16,0.9756228402,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1040/english_1040_03.wav,,native decoder bit marginal
wmcodec,8,158,uniform_collusion,49235,16,0.7548972368,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1040/english_1040_03.wav,,native decoder bit marginal
wmcodec,8,159,benign_copy,63941,16,0.9984956470,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1069/english_1069_01.wav,,native decoder bit marginal
wmcodec,8,159,uniform_collusion,49513,16,0.8635495603,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1069/english_1069_01.wav,,native decoder bit marginal
wmcodec,8,160,benign_copy,63572,16,0.9987849597,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1069/english_1069_02.wav,,native decoder bit marginal
wmcodec,8,160,uniform_collusion,47213,16,0.5880699754,15,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1069/english_1069_02.wav,,native decoder bit marginal
wmcodec,8,161,benign_copy,61112,16,0.9979287982,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1069/english_1069_03.wav,,native decoder bit marginal
wmcodec,8,161,uniform_collusion,34920,16,0.8675697744,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1069/english_1069_03.wav,,native decoder bit marginal
wmcodec,8,162,benign_copy,5816,16,0.9841147661,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1081/english_1081_01.wav,,native decoder bit marginal
wmcodec,8,162,uniform_collusion,13664,16,0.8983777761,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1081/english_1081_01.wav,,native decoder bit marginal
wmcodec,8,163,benign_copy,18338,16,0.9369330406,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1081/english_1081_02.wav,,native decoder bit marginal
wmcodec,8,163,successful_mrc,18306,16,0.8483289629,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1081/english_1081_02.wav,8,native decoder bit marginal
wmcodec,8,163,uniform_collusion,41814,16,0.5482777357,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1081/english_1081_02.wav,,native decoder bit marginal
wmcodec,8,164,benign_copy,12712,16,0.9975032210,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1081/english_1081_03.wav,,native decoder bit marginal
wmcodec,8,164,uniform_collusion,3691,16,0.5054224730,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1081/english_1081_03.wav,,native decoder bit marginal
wmcodec,8,165,benign_copy,7323,16,0.9962545754,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1088/english_1088_01.wav,,native decoder bit marginal
wmcodec,8,165,uniform_collusion,40046,16,0.9609941170,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1088/english_1088_01.wav,,native decoder bit marginal
wmcodec,8,166,benign_copy,31578,16,0.9518077374,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1088/english_1088_02.wav,,native decoder bit marginal
wmcodec,8,166,uniform_collusion,29374,16,0.5165450871,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1088/english_1088_02.wav,,native decoder bit marginal
wmcodec,8,167,benign_copy,952,16,0.9967438579,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1088/english_1088_03.wav,,native decoder bit marginal
wmcodec,8,167,uniform_collusion,14326,16,0.8265721798,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1088/english_1088_03.wav,,native decoder bit marginal
wmcodec,8,168,benign_copy,42785,16,0.8677009195,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1098/english_1098_01.wav,,native decoder bit marginal
wmcodec,8,168,uniform_collusion,56857,16,0.8251338005,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1098/english_1098_01.wav,,native decoder bit marginal
wmcodec,8,169,benign_copy,27386,16,0.9994777441,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1098/english_1098_02.wav,,native decoder bit marginal
wmcodec,8,169,uniform_collusion,28167,16,0.6302241683,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1098/english_1098_02.wav,,native decoder bit marginal
wmcodec,8,170,benign_copy,20506,16,0.9825165868,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1098/english_1098_03.wav,,native decoder bit marginal
wmcodec,8,170,uniform_collusion,14186,16,0.9216858149,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1098/english_1098_03.wav,,native decoder bit marginal
wmcodec,8,171,benign_copy,16484,16,0.9980985621,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1116/english_1116_01.wav,,native decoder bit marginal
wmcodec,8,171,uniform_collusion,20326,16,0.6682455540,6,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1116/english_1116_01.wav,,native decoder bit marginal
wmcodec,8,172,benign_copy,4088,16,0.9766213894,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1116/english_1116_02.wav,,native decoder bit marginal
wmcodec,8,172,uniform_collusion,32164,16,0.4682832062,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/english/1116/english_1116_02.wav,,native decoder bit marginal
