model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
voicemark,8,216,single,53668,16,0.9996992350,5,dataset/collusion_300/english/1578/english_1578_01.wav,,native decoder bit marginal
voicemark,8,216,average,39716,16,0.5574072599,4,dataset/collusion_300/english/1578/english_1578_01.wav,,native decoder bit marginal
voicemark,8,217,single,41431,16,0.9985432284,9,dataset/collusion_300/english/1578/english_1578_02.wav,,native decoder bit marginal
voicemark,8,217,average,62547,16,0.4617027640,7,dataset/collusion_300/english/1578/english_1578_02.wav,,native decoder bit marginal
voicemark,8,218,single,32530,16,0.9997911602,2,dataset/collusion_300/english/1578/english_1578_03.wav,,native decoder bit marginal
voicemark,8,218,average,29514,16,0.8762900829,8,dataset/collusion_300/english/1578/english_1578_03.wav,,native decoder bit marginal
voicemark,8,219,single,11762,16,0.9994444111,9,dataset/collusion_300/english/1594/english_1594_01.wav,,native decoder bit marginal
voicemark,8,219,average,65008,16,0.6143161058,3,dataset/collusion_300/english/1594/english_1594_01.wav,,native decoder bit marginal
voicemark,8,220,single,55000,16,0.9973214865,4,dataset/collusion_300/english/1594/english_1594_02.wav,,native decoder bit marginal
voicemark,8,220,average,56114,16,0.9285081550,3,dataset/collusion_300/english/1594/english_1594_02.wav,,native decoder bit marginal
voicemark,8,221,single,56290,16,0.9999224544,5,dataset/collusion_300/english/1594/english_1594_03.wav,,native decoder bit marginal
voicemark,8,221,average,52903,16,0.9419606850,12,dataset/collusion_300/english/1594/english_1594_03.wav,,native decoder bit marginal
voicemark,8,222,single,58498,16,0.8901078627,2,dataset/collusion_300/english/1624/english_1624_01.wav,,native decoder bit marginal
voicemark,8,222,average,56183,16,0.8606024384,12,dataset/collusion_300/english/1624/english_1624_01.wav,,native decoder bit marginal
voicemark,8,223,single,38978,16,0.9996410747,0,dataset/collusion_300/english/1624/english_1624_02.wav,,native decoder bit marginal
voicemark,8,223,average,55113,16,0.3378047943,11,dataset/collusion_300/english/1624/english_1624_02.wav,,native decoder bit marginal
