model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
wmcodec,8,49,average,45149,16,0.7358146906,6,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_02.wav,,native decoder bit marginal
wmcodec,8,50,single,63432,16,0.9977297783,3,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,,native decoder bit marginal
wmcodec,8,50,average,25433,16,0.7385360599,14,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,,native decoder bit marginal
wmcodec,8,51,single,59128,16,0.9965378046,3,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,,native decoder bit marginal
wmcodec,8,51,average,60402,16,0.7568493485,15,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,,native decoder bit marginal
wmcodec,8,52,single,16811,16,0.9996362925,7,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,,native decoder bit marginal
wmcodec,8,52,average,4198,16,0.5634885430,12,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,,native decoder bit marginal
wmcodec,8,53,single,21345,16,0.8267794997,4,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,,native decoder bit marginal
wmcodec,8,53,average,20295,16,0.3642385900,11,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,,native decoder bit marginal
wmcodec,8,54,single,40849,16,0.9822430592,3,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,,native decoder bit marginal
wmcodec,8,54,average,31580,16,0.8142857552,11,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,,native decoder bit marginal
wmcodec,8,55,single,2548,16,0.9992217422,5,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_02.wav,,native decoder bit marginal
wmcodec,8,55,average,25706,16,0.7108719349,3,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_02.wav,,native decoder bit marginal
wmcodec,8,56,single,35505,16,0.9915594049,3,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_03.wav,,native decoder bit marginal
wmcodec,8,56,average,52278,16,0.7260046601,0,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_03.wav,,native decoder bit marginal
wmcodec,8,57,single,13514,16,0.9170825481,1,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_01.wav,,native decoder bit marginal
wmcodec,8,57,average,57445,16,0.5053390265,4,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_01.wav,,native decoder bit marginal
wmcodec,8,58,single,5825,16,0.8943616897,5,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_02.wav,,native decoder bit marginal
wmcodec,8,58,average,238,16,0.5785105228,14,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_02.wav,,native decoder bit marginal
wmcodec,8,59,single,16101,16,0.9980231014,15,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_03.wav,,native decoder bit marginal
wmcodec,8,59,average,52946,16,0.5932351351,14,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_03.wav,,native decoder bit marginal
wmcodec,8,60,single,21848,16,0.9990898371,3,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_01.wav,,native decoder bit marginal
wmcodec,8,60,average,57504,16,0.6256281734,11,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_01.wav,,native decoder bit marginal
wmcodec,8,61,single,21403,16,0.9691225141,5,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,,native decoder bit marginal
wmcodec,8,61,targeted,9042,16,0.8035260737,11,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,8,native decoder bit marginal
wmcodec,8,61,average,14071,16,0.7678307295,7,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_02.wav,,native decoder bit marginal
wmcodec,8,62,single,46074,16,0.9986901283,3,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_03.wav,,native decoder bit marginal
wmcodec,8,62,average,30141,16,0.7910458446,14,dataset/collusion_300/chinese/SSB0200/chinese_SSB0200_03.wav,,native decoder bit marginal
wmcodec,8,63,single,52000,16,0.7039531767,0,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_01.wav,,native decoder bit marginal
wmcodec,8,63,average,945,16,0.6046006680,5,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_01.wav,,native decoder bit marginal
wmcodec,8,64,single,7380,16,0.9997462630,4,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_02.wav,,native decoder bit marginal
wmcodec,8,64,average,31152,16,0.6560860574,2,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_02.wav,,native decoder bit marginal
wmcodec,8,65,single,41995,16,0.9963818849,4,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,,native decoder bit marginal
wmcodec,8,65,targeted,51008,16,0.4996910095,0,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,1,native decoder bit marginal
wmcodec,8,65,average,7856,16,0.3929763734,12,dataset/collusion_300/chinese/SSB0241/chinese_SSB0241_03.wav,,native decoder bit marginal
wmcodec,8,66,single,4737,16,0.8220839500,3,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_01.wav,,native decoder bit marginal
wmcodec,8,66,average,40585,16,0.5485738516,11,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_01.wav,,native decoder bit marginal
wmcodec,8,67,single,45010,16,0.6826585233,2,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_02.wav,,native decoder bit marginal
wmcodec,8,67,average,44533,16,0.5767027140,5,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_02.wav,,native decoder bit marginal
wmcodec,8,68,single,6312,16,0.9996830808,1,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_03.wav,,native decoder bit marginal
wmcodec,8,68,average,32875,16,0.6073960066,2,dataset/collusion_300/chinese/SSB0246/chinese_SSB0246_03.wav,,native decoder bit marginal
wmcodec,8,69,single,31650,16,0.9974471983,2,dataset/collusion_300/chinese/SSB0261/chinese_SSB0261_01.wav,,native decoder bit marginal
