model,K,trial_id,condition,identity,nbits,min_bit_confidence,weakest_bit,source_path,target_rank,confidence_kind
wavmark,8,8,uniform_collusion,16381,16,0.5882352941,6,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,,valid-window vote fraction (proxy)
wavmark,8,9,benign_copy,10488,16,1.0000000000,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,valid-window vote fraction
wavmark,8,9,successful_mrc,8209,16,0.5744680851,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,3,valid-window vote fraction
wavmark,8,9,uniform_collusion,15799,16,0.5531914894,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,valid-window vote fraction (proxy)
wavmark,8,10,benign_copy,8513,16,0.9333333333,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,valid-window vote fraction
wavmark,8,10,successful_mrc,48584,16,0.7777777778,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,6,valid-window vote fraction
wavmark,8,10,uniform_collusion,44375,16,0.7021276596,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,valid-window vote fraction (proxy)
wavmark,8,11,benign_copy,62743,16,0.9777777778,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,valid-window vote fraction
wavmark,8,11,successful_mrc,17595,16,0.8125000000,14,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,1,valid-window vote fraction
wavmark,8,11,uniform_collusion,21878,16,0.5111111111,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,valid-window vote fraction (proxy)
wavmark,8,12,benign_copy,27012,16,0.9361702128,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,valid-window vote fraction
wavmark,8,12,successful_mrc,26928,16,0.6923076923,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,1,valid-window vote fraction
