model,K,trial_id,condition,identity,nbits,min_bit_confidence,weakest_bit,source_path,target_rank,confidence_kind
audioseal,8,9,benign_copy,10488,16,0.7132679820,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,native decoder bit marginal
audioseal,8,9,successful_mrc,8209,16,0.5132347941,12,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,3,native decoder bit marginal
audioseal,8,9,uniform_collusion,15397,16,0.5052321255,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,native decoder bit marginal
audioseal,8,10,benign_copy,8513,16,0.7159760296,11,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,native decoder bit marginal
audioseal,8,10,successful_mrc,62408,16,0.5231866837,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,1,native decoder bit marginal
audioseal,8,10,uniform_collusion,3170,16,0.5786437988,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,native decoder bit marginal
audioseal,8,11,benign_copy,62743,16,0.7389886379,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,native decoder bit marginal
audioseal,8,11,successful_mrc,37939,16,0.5468533635,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,5,native decoder bit marginal
audioseal,8,11,uniform_collusion,21858,16,0.5728361309,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,native decoder bit marginal
audioseal,8,12,benign_copy,27012,16,0.7250258327,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,native decoder bit marginal
audioseal,8,12,successful_mrc,26928,16,0.5881242156,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,1,native decoder bit marginal
audioseal,8,12,uniform_collusion,4256,16,0.5306659639,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,native decoder bit marginal
audioseal,8,13,benign_copy,20619,16,0.7139798105,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,native decoder bit marginal
audioseal,8,13,successful_mrc,21473,16,0.5193486214,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,2,native decoder bit marginal
audioseal,8,13,uniform_collusion,22688,16,0.5213313997,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,native decoder bit marginal
audioseal,8,14,benign_copy,8664,16,0.7289192080,6,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,native decoder bit marginal
audioseal,8,14,successful_mrc,7064,16,0.6513018012,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,1,native decoder bit marginal
audioseal,8,14,uniform_collusion,4342,16,0.5068914890,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,native decoder bit marginal
audioseal,8,15,benign_copy,53720,16,0.7471311688,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,native decoder bit marginal
audioseal,8,15,successful_mrc,57061,16,0.6268472672,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,1,native decoder bit marginal
audioseal,8,15,uniform_collusion,23654,16,0.5586389303,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,native decoder bit marginal
audioseal,8,16,benign_copy,59653,16,0.7061069906,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,native decoder bit marginal
audioseal,8,16,successful_mrc,64987,16,0.5172227025,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,1,native decoder bit marginal
audioseal,8,16,uniform_collusion,63966,16,0.5752699077,10,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,native decoder bit marginal
audioseal,8,17,benign_copy,25640,16,0.7227490544,13,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,native decoder bit marginal
audioseal,8,17,successful_mrc,47546,16,0.6785808802,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,1,native decoder bit marginal
