model,k,trial_id,condition,decoded_payload,bit_count,minimum_confidence,weakest_bit_index,source_path,target_rank,confidence_source
timbrewm,8,12,average,4,10,0.5088954568,9,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,native decoder bit marginal
timbrewm,8,13,single,806,10,0.6663474739,3,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,native decoder bit marginal
timbrewm,8,13,targeted,866,10,0.5717626810,9,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,1,native decoder bit marginal
timbrewm,8,13,average,353,10,0.5140963793,9,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,native decoder bit marginal
timbrewm,8,14,single,706,10,0.6744537354,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,native decoder bit marginal
timbrewm,8,14,targeted,710,10,0.5554376841,2,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,1,native decoder bit marginal
timbrewm,8,14,average,765,10,0.5027884841,4,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,native decoder bit marginal
timbrewm,8,15,single,107,10,0.6916701794,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,native decoder bit marginal
timbrewm,8,15,targeted,507,10,0.5447280407,1,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,1,native decoder bit marginal
timbrewm,8,15,average,488,10,0.5149727762,9,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,native decoder bit marginal
timbrewm,8,16,single,932,10,0.6767643988,3,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,native decoder bit marginal
timbrewm,8,16,targeted,1011,10,0.5616984367,4,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,1,native decoder bit marginal
timbrewm,8,16,average,973,10,0.5037817359,2,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,native decoder bit marginal
timbrewm,8,17,single,841,10,0.7090090215,7,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,native decoder bit marginal
timbrewm,8,17,targeted,864,10,0.5540786982,9,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,1,native decoder bit marginal
timbrewm,8,17,average,750,10,0.5020300746,8,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,native decoder bit marginal
timbrewm,8,18,single,566,10,0.6806553304,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,,native decoder bit marginal
timbrewm,8,18,targeted,430,10,0.5630081892,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,1,native decoder bit marginal
timbrewm,8,18,average,296,10,0.5001145303,7,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,,native decoder bit marginal
timbrewm,8,19,single,841,10,0.7052446008,9,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,,native decoder bit marginal
timbrewm,8,19,targeted,857,10,0.5362967849,7,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,1,native decoder bit marginal
timbrewm,8,19,average,921,10,0.5022130609,6,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,,native decoder bit marginal
timbrewm,8,20,single,946,10,0.6732070446,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,native decoder bit marginal
timbrewm,8,20,targeted,935,10,0.5671830773,9,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,1,native decoder bit marginal
timbrewm,8,20,average,429,10,0.5106618702,9,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,native decoder bit marginal
timbrewm,8,21,single,847,10,0.6986047029,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,native decoder bit marginal
timbrewm,8,21,targeted,845,10,0.5707486868,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,1,native decoder bit marginal
timbrewm,8,21,average,323,10,0.5044736862,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,native decoder bit marginal
timbrewm,8,22,single,264,10,0.7033625841,7,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,native decoder bit marginal
timbrewm,8,22,targeted,265,10,0.5642018914,0,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,1,native decoder bit marginal
timbrewm,8,22,average,314,10,0.5046488643,5,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,native decoder bit marginal
timbrewm,8,23,single,808,10,0.6968956590,9,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,native decoder bit marginal
timbrewm,8,23,targeted,958,10,0.5383954644,5,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,1,native decoder bit marginal
timbrewm,8,23,average,955,10,0.5000010729,4,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,native decoder bit marginal
timbrewm,8,24,single,502,10,0.6861140132,4,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,native decoder bit marginal
timbrewm,8,24,targeted,498,10,0.5755608678,0,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,1,native decoder bit marginal
timbrewm,8,24,average,245,10,0.5030454993,8,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,native decoder bit marginal
timbrewm,8,25,single,180,10,0.6920036077,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,native decoder bit marginal
timbrewm,8,25,targeted,902,10,0.5534502864,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,1,native decoder bit marginal
timbrewm,8,25,average,914,10,0.5154735744,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,native decoder bit marginal
timbrewm,8,26,single,620,10,0.6913531721,7,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,native decoder bit marginal
timbrewm,8,26,targeted,370,10,0.5473513305,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,1,native decoder bit marginal
timbrewm,8,26,average,872,10,0.5144392252,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,native decoder bit marginal
timbrewm,8,27,single,178,10,0.6777090430,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,,native decoder bit marginal
timbrewm,8,27,targeted,939,10,0.5900085568,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,1,native decoder bit marginal
timbrewm,8,27,average,431,10,0.5024873614,7,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,,native decoder bit marginal
timbrewm,8,28,single,268,10,0.7088202536,7,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,,native decoder bit marginal
timbrewm,8,28,targeted,169,10,0.5781695843,4,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,1,native decoder bit marginal
timbrewm,8,28,average,398,10,0.5218966603,4,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,,native decoder bit marginal
timbrewm,8,29,single,73,10,0.7045907080,8,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,,native decoder bit marginal
timbrewm,8,29,targeted,769,10,0.5852330625,3,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,1,native decoder bit marginal
timbrewm,8,29,average,788,10,0.5041936040,5,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,,native decoder bit marginal
timbrewm,8,30,single,443,10,0.6945350170,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,,native decoder bit marginal
timbrewm,8,30,targeted,415,10,0.5845214128,4,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,1,native decoder bit marginal
timbrewm,8,30,average,444,10,0.5185095072,0,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,,native decoder bit marginal
timbrewm,8,31,single,672,10,0.6840117872,3,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,,native decoder bit marginal
timbrewm,8,31,targeted,756,10,0.5611662865,9,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,1,native decoder bit marginal
timbrewm,8,31,average,728,10,0.5090629458,5,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,,native decoder bit marginal
timbrewm,8,32,single,941,10,0.7048916221,0,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,,native decoder bit marginal
timbrewm,8,32,targeted,679,10,0.5139437914,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,1,native decoder bit marginal
timbrewm,8,32,average,676,10,0.5430537760,3,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,,native decoder bit marginal
timbrewm,8,33,single,226,10,0.6705589294,1,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,,native decoder bit marginal
timbrewm,8,33,targeted,706,10,0.5582278669,8,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,1,native decoder bit marginal
timbrewm,8,33,average,456,10,0.5083450973,9,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,,native decoder bit marginal
timbrewm,8,34,single,947,10,0.6813098192,1,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,,native decoder bit marginal
timbrewm,8,34,targeted,946,10,0.5805743337,4,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,1,native decoder bit marginal
timbrewm,8,34,average,921,10,0.5187397003,3,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,,native decoder bit marginal
timbrewm,8,35,single,15,10,0.6899682283,2,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,,native decoder bit marginal
timbrewm,8,35,targeted,267,10,0.5148507953,0,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,1,native decoder bit marginal
timbrewm,8,35,average,399,10,0.5096968412,7,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,,native decoder bit marginal
timbrewm,8,36,single,153,10,0.7013750970,8,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,,native decoder bit marginal
timbrewm,8,36,targeted,644,10,0.5165696144,8,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,1,native decoder bit marginal
timbrewm,8,36,average,505,10,0.5019211471,9,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,,native decoder bit marginal
timbrewm,8,37,single,584,10,0.6888569891,7,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,,native decoder bit marginal
timbrewm,8,37,targeted,1,10,0.5642034411,3,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,1,native decoder bit marginal
timbrewm,8,37,average,0,10,0.5216204226,1,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,,native decoder bit marginal
timbrewm,8,38,single,514,10,0.6616012752,3,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,,native decoder bit marginal
timbrewm,8,38,targeted,951,10,0.5322288275,3,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,1,native decoder bit marginal
timbrewm,8,38,average,699,10,0.5001080930,8,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,,native decoder bit marginal
timbrewm,8,39,single,161,10,0.6760812104,3,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,,native decoder bit marginal
timbrewm,8,39,targeted,591,10,0.5076824725,8,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,1,native decoder bit marginal
timbrewm,8,39,average,328,10,0.5019065738,8,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,,native decoder bit marginal
timbrewm,8,40,single,219,10,0.6966317296,1,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,,native decoder bit marginal
timbrewm,8,40,targeted,13,10,0.5653286576,0,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,1,native decoder bit marginal
timbrewm,8,40,average,157,10,0.5014672875,2,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,,native decoder bit marginal
timbrewm,8,41,single,4,10,0.6660656035,3,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,,native decoder bit marginal
timbrewm,8,41,targeted,411,10,0.5132358074,4,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,1,native decoder bit marginal
timbrewm,8,41,average,394,10,0.5083403289,2,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,,native decoder bit marginal
timbrewm,8,42,single,262,10,0.6703226566,1,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_01.wav,,native decoder bit marginal
timbrewm,8,42,targeted,291,10,0.5547483563,1,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_01.wav,1,native decoder bit marginal
timbrewm,8,42,average,416,10,0.5045999885,7,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_01.wav,,native decoder bit marginal
timbrewm,8,43,single,319,10,0.6830419302,4,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_02.wav,,native decoder bit marginal
timbrewm,8,43,targeted,907,10,0.5697380900,9,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_02.wav,1,native decoder bit marginal
timbrewm,8,43,average,363,10,0.5116063654,9,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_02.wav,,native decoder bit marginal
timbrewm,8,44,single,715,10,0.6951569915,1,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_03.wav,,native decoder bit marginal
timbrewm,8,44,targeted,199,10,0.5509611368,3,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_03.wav,1,native decoder bit marginal
timbrewm,8,44,average,230,10,0.5045996308,5,dataset/collusion_300/chinese/SSB0133/chinese_SSB0133_03.wav,,native decoder bit marginal
