model,K,trial_id,condition,identity,nbits,min_bit_confidence,weakest_bit,source_path,target_rank,confidence_kind
timbrewm,8,9,benign_copy,885,10,0.6587054431,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,native decoder bit marginal
timbrewm,8,9,successful_mrc,232,10,0.5646580160,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,1,native decoder bit marginal
timbrewm,8,9,uniform_collusion,239,10,0.5088088214,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,,native decoder bit marginal
timbrewm,8,10,benign_copy,700,10,0.6938391924,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,native decoder bit marginal
timbrewm,8,10,successful_mrc,692,10,0.5175350606,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,1,native decoder bit marginal
timbrewm,8,10,uniform_collusion,676,10,0.5229836106,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,,native decoder bit marginal
timbrewm,8,11,benign_copy,928,10,0.6880620420,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,native decoder bit marginal
timbrewm,8,11,successful_mrc,325,10,0.5785652697,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,1,native decoder bit marginal
timbrewm,8,11,uniform_collusion,340,10,0.5110973716,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,,native decoder bit marginal
timbrewm,8,12,benign_copy,523,10,0.6850993037,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,native decoder bit marginal
timbrewm,8,12,successful_mrc,166,10,0.5712226629,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,1,native decoder bit marginal
timbrewm,8,12,uniform_collusion,4,10,0.5088954568,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,,native decoder bit marginal
timbrewm,8,13,benign_copy,806,10,0.6663474739,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,native decoder bit marginal
timbrewm,8,13,successful_mrc,866,10,0.5717626810,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,1,native decoder bit marginal
timbrewm,8,13,uniform_collusion,353,10,0.5140963793,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,,native decoder bit marginal
timbrewm,8,14,benign_copy,706,10,0.6744537354,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,native decoder bit marginal
timbrewm,8,14,successful_mrc,710,10,0.5554376841,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,1,native decoder bit marginal
timbrewm,8,14,uniform_collusion,765,10,0.5027884841,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,,native decoder bit marginal
timbrewm,8,15,benign_copy,107,10,0.6916701794,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,native decoder bit marginal
timbrewm,8,15,successful_mrc,507,10,0.5447280407,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,1,native decoder bit marginal
timbrewm,8,15,uniform_collusion,488,10,0.5149727762,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,,native decoder bit marginal
timbrewm,8,16,benign_copy,932,10,0.6767643988,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,native decoder bit marginal
timbrewm,8,16,successful_mrc,1011,10,0.5616984367,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,1,native decoder bit marginal
timbrewm,8,16,uniform_collusion,973,10,0.5037817359,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,,native decoder bit marginal
timbrewm,8,17,benign_copy,841,10,0.7090090215,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,native decoder bit marginal
timbrewm,8,17,successful_mrc,864,10,0.5540786982,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,1,native decoder bit marginal
timbrewm,8,17,uniform_collusion,750,10,0.5020300746,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,,native decoder bit marginal
timbrewm,8,18,benign_copy,566,10,0.6806553304,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,,native decoder bit marginal
timbrewm,8,18,successful_mrc,430,10,0.5630081892,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,1,native decoder bit marginal
timbrewm,8,18,uniform_collusion,296,10,0.5001145303,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,,native decoder bit marginal
timbrewm,8,19,benign_copy,841,10,0.7052446008,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,,native decoder bit marginal
timbrewm,8,19,successful_mrc,857,10,0.5362967849,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,1,native decoder bit marginal
timbrewm,8,19,uniform_collusion,921,10,0.5022130609,6,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,,native decoder bit marginal
timbrewm,8,20,benign_copy,946,10,0.6732070446,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,native decoder bit marginal
timbrewm,8,20,successful_mrc,935,10,0.5671830773,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,1,native decoder bit marginal
timbrewm,8,20,uniform_collusion,429,10,0.5106618702,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,,native decoder bit marginal
timbrewm,8,21,benign_copy,847,10,0.6986047029,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,native decoder bit marginal
timbrewm,8,21,successful_mrc,845,10,0.5707486868,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,1,native decoder bit marginal
timbrewm,8,21,uniform_collusion,323,10,0.5044736862,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,,native decoder bit marginal
timbrewm,8,22,benign_copy,264,10,0.7033625841,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,native decoder bit marginal
timbrewm,8,22,successful_mrc,265,10,0.5642018914,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,1,native decoder bit marginal
timbrewm,8,22,uniform_collusion,314,10,0.5046488643,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,,native decoder bit marginal
timbrewm,8,23,benign_copy,808,10,0.6968956590,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,native decoder bit marginal
timbrewm,8,23,successful_mrc,958,10,0.5383954644,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,1,native decoder bit marginal
timbrewm,8,23,uniform_collusion,955,10,0.5000010729,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,,native decoder bit marginal
timbrewm,8,24,benign_copy,502,10,0.6861140132,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,native decoder bit marginal
timbrewm,8,24,successful_mrc,498,10,0.5755608678,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,1,native decoder bit marginal
timbrewm,8,24,uniform_collusion,245,10,0.5030454993,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,,native decoder bit marginal
timbrewm,8,25,benign_copy,180,10,0.6920036077,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,native decoder bit marginal
timbrewm,8,25,successful_mrc,902,10,0.5534502864,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,1,native decoder bit marginal
timbrewm,8,25,uniform_collusion,914,10,0.5154735744,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,,native decoder bit marginal
timbrewm,8,26,benign_copy,620,10,0.6913531721,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,native decoder bit marginal
timbrewm,8,26,successful_mrc,370,10,0.5473513305,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,1,native decoder bit marginal
timbrewm,8,26,uniform_collusion,872,10,0.5144392252,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,,native decoder bit marginal
timbrewm,8,27,benign_copy,178,10,0.6777090430,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,,native decoder bit marginal
timbrewm,8,27,successful_mrc,939,10,0.5900085568,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,1,native decoder bit marginal
timbrewm,8,27,uniform_collusion,431,10,0.5024873614,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,,native decoder bit marginal
timbrewm,8,28,benign_copy,268,10,0.7088202536,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,,native decoder bit marginal
timbrewm,8,28,successful_mrc,169,10,0.5781695843,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,1,native decoder bit marginal
timbrewm,8,28,uniform_collusion,398,10,0.5218966603,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,,native decoder bit marginal
timbrewm,8,29,benign_copy,73,10,0.7045907080,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,,native decoder bit marginal
timbrewm,8,29,successful_mrc,769,10,0.5852330625,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,1,native decoder bit marginal
timbrewm,8,29,uniform_collusion,788,10,0.5041936040,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,,native decoder bit marginal
timbrewm,8,30,benign_copy,443,10,0.6945350170,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,,native decoder bit marginal
timbrewm,8,30,successful_mrc,415,10,0.5845214128,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,1,native decoder bit marginal
timbrewm,8,30,uniform_collusion,444,10,0.5185095072,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,,native decoder bit marginal
timbrewm,8,31,benign_copy,672,10,0.6840117872,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,,native decoder bit marginal
timbrewm,8,31,successful_mrc,756,10,0.5611662865,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,1,native decoder bit marginal
timbrewm,8,31,uniform_collusion,728,10,0.5090629458,5,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,,native decoder bit marginal
timbrewm,8,32,benign_copy,941,10,0.7048916221,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,,native decoder bit marginal
timbrewm,8,32,successful_mrc,679,10,0.5139437914,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,1,native decoder bit marginal
timbrewm,8,32,uniform_collusion,676,10,0.5430537760,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,,native decoder bit marginal
timbrewm,8,33,benign_copy,226,10,0.6705589294,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,,native decoder bit marginal
timbrewm,8,33,successful_mrc,706,10,0.5582278669,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,1,native decoder bit marginal
timbrewm,8,33,uniform_collusion,456,10,0.5083450973,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,,native decoder bit marginal
timbrewm,8,34,benign_copy,947,10,0.6813098192,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,,native decoder bit marginal
timbrewm,8,34,successful_mrc,946,10,0.5805743337,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,1,native decoder bit marginal
timbrewm,8,34,uniform_collusion,921,10,0.5187397003,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,,native decoder bit marginal
timbrewm,8,35,benign_copy,15,10,0.6899682283,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,,native decoder bit marginal
timbrewm,8,35,successful_mrc,267,10,0.5148507953,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,1,native decoder bit marginal
timbrewm,8,35,uniform_collusion,399,10,0.5096968412,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,,native decoder bit marginal
timbrewm,8,36,benign_copy,153,10,0.7013750970,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,,native decoder bit marginal
timbrewm,8,36,successful_mrc,644,10,0.5165696144,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,1,native decoder bit marginal
timbrewm,8,36,uniform_collusion,505,10,0.5019211471,9,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,,native decoder bit marginal
timbrewm,8,37,benign_copy,584,10,0.6888569891,7,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,,native decoder bit marginal
timbrewm,8,37,successful_mrc,1,10,0.5642034411,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,1,native decoder bit marginal
timbrewm,8,37,uniform_collusion,0,10,0.5216204226,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,,native decoder bit marginal
timbrewm,8,38,benign_copy,514,10,0.6616012752,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,,native decoder bit marginal
timbrewm,8,38,successful_mrc,951,10,0.5322288275,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,1,native decoder bit marginal
timbrewm,8,38,uniform_collusion,699,10,0.5001080930,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,,native decoder bit marginal
timbrewm,8,39,benign_copy,161,10,0.6760812104,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,,native decoder bit marginal
timbrewm,8,39,successful_mrc,591,10,0.5076824725,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,1,native decoder bit marginal
timbrewm,8,39,uniform_collusion,328,10,0.5019065738,8,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,,native decoder bit marginal
timbrewm,8,40,benign_copy,219,10,0.6966317296,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,,native decoder bit marginal
timbrewm,8,40,successful_mrc,13,10,0.5653286576,0,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,1,native decoder bit marginal
timbrewm,8,40,uniform_collusion,157,10,0.5014672875,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,,native decoder bit marginal
timbrewm,8,41,benign_copy,4,10,0.6660656035,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,,native decoder bit marginal
timbrewm,8,41,successful_mrc,411,10,0.5132358074,4,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,1,native decoder bit marginal
timbrewm,8,41,uniform_collusion,394,10,0.5083403289,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_03.wav,,native decoder bit marginal
