model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
voicemark,3,16384,3,chinese:SSB0009,0,mean,"[1248, 38624, 42608]",2272,0,-15.046088294184301,-0.7723342935205437,14.273754000663757,40,1,1,1
voicemark,3,65536,3,chinese:SSB0009,0,mean,"[1248, 38624, 42608]",2272,0,-15.046088294184301,-0.7723342935205437,14.273754000663757,120,1,1,1
voicemark,3,256,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",1248,1,-6.993132511528529,-20.197549373038783,-13.204416861510254,1,0,0,0
voicemark,3,1024,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",1248,1,-6.993132511528529,-14.550143162035965,-7.557010650507436,1,0,0,0
voicemark,3,4096,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",1248,1,-6.993132511528529,-10.807046929749049,-3.81391441822052,1,0,0,0
voicemark,3,16384,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",3040,0,-6.993132511528529,-1.5913464225850475,5.4017860889434814,7,1,1,1
voicemark,3,65536,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",3808,0,-6.993132511528529,-0.5700509049020184,6.423081606626511,13,1,1,1
voicemark,3,256,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",50101,1,-11.756631170021137,-17.910396529681748,-6.153765359660611,1,0,0,0
voicemark,3,1024,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",50101,1,-11.756631170021137,-16.27446855022572,-4.517837380204583,1,0,0,0
voicemark,3,4096,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",13173,0,-11.756631170021137,-3.695215655810898,8.061415514210239,5,1,1,0
voicemark,3,16384,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",55157,0,-11.756631170021137,-8.068670763022965,3.6879604069981724,19,1,1,1
voicemark,3,65536,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",51061,0,-11.756631170021137,-1.1170720889640506,10.639559081057087,66,1,1,1
voicemark,3,256,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",25589,0,-20.67589792641229,-13.488997615873814,7.186900310538476,2,1,0,0
voicemark,3,1024,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",14163,0,-20.67589792641229,-13.400073260389036,7.275824666023254,10,1,1,1
voicemark,3,4096,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",42995,0,-20.67589792641229,-2.204351879976457,18.471546046435833,45,1,1,1
voicemark,3,16384,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",26613,0,-20.67589792641229,-1.3073754388315137,19.368522487580776,174,1,1,1
voicemark,3,65536,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",26613,0,-20.67589792641229,-1.3073754388315137,19.368522487580776,698,1,1,1
voicemark,3,256,5,chinese:SSB0009,2,mean,"[31053, 38586, 42068]",31053,1,-14.645906678140818,-26.105345845224292,-11.459439167083474,1,0,0,0
voicemark,3,1024,5,chinese:SSB0009,2,mean,"[31053, 38586, 42068]",31044,0,-14.645906678140818,-14.445111564100444,0.20079511404037476,2,1,0,0
voicemark,3,4096,5,chinese:SSB0009,2,mean,"[31053, 38586, 42068]",31053,1,-14.645906678140818,-15.659389844856378,-1.0134831667155595,1,0,0,0
voicemark,3,16384,5,chinese:SSB0009,2,mean,"[31053, 38586, 42068]",40269,0,-14.645906678140818,-8.837843179727315,5.808063498413503,6,1,1,1
voicemark,3,65536,5,chinese:SSB0009,2,mean,"[31053, 38586, 42068]",32068,0,-14.645906678140818,-0.6280779156322751,14.017828762508543,33,1,1,1
voicemark,3,256,5,chinese:SSB0009,2,fwp,"[31053, 38586, 42068]",31053,1,-12.758981418563053,-20.51972650992684,-7.760745091363788,1,0,0,0
voicemark,3,1024,5,chinese:SSB0009,2,fwp,"[31053, 38586, 42068]",31053,1,-12.758981418563053,-14.42270296253264,-1.6637215439695865,1,0,0,0
voicemark,3,4096,5,chinese:SSB0009,2,fwp,"[31053, 38586, 42068]",32125,0,-12.758981418563053,-6.194997446378693,6.56398397218436,4,1,1,0
voicemark,3,16384,5,chinese:SSB0009,2,fwp,"[31053, 38586, 42068]",40269,0,-12.758981418563053,-4.069621957605705,8.689359460957348,5,1,1,0
