model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
audioseal,2,65536,3,chinese:SSB0009,0,mean,"[41136, 58416]",57392,0,-5.674380302429199,-4.752879619598389,0.9215006828308105,5,1,1,0
audioseal,2,256,3,chinese:SSB0009,0,fwp,"[41136, 58416]",58416,1,-5.674380302429199,-8.103951454162598,-2.4295711517333984,1,0,0,0
audioseal,2,1024,3,chinese:SSB0009,0,fwp,"[41136, 58416]",58416,1,-5.674380302429199,-6.477168560028076,-0.802788257598877,1,0,0,0
audioseal,2,4096,3,chinese:SSB0009,0,fwp,"[41136, 58416]",58416,1,-5.674380302429199,-5.835058689117432,-0.16067838668823242,1,0,0,0
audioseal,2,16384,3,chinese:SSB0009,0,fwp,"[41136, 58416]",61488,0,-5.674380302429199,-5.628739356994629,0.04564094543457031,2,1,0,0
audioseal,2,65536,3,chinese:SSB0009,0,fwp,"[41136, 58416]",57392,0,-5.674380302429199,-4.752879619598389,0.9215006828308105,5,1,1,0
audioseal,2,256,4,chinese:SSB0009,1,mean,"[50792, 63537]",63537,1,-5.579117298126221,-7.009661674499512,-1.430544376373291,1,0,0,0
audioseal,2,1024,4,chinese:SSB0009,1,mean,"[50792, 63537]",63537,1,-5.579117298126221,-6.010256767272949,-0.4311394691467285,1,0,0,0
audioseal,2,4096,4,chinese:SSB0009,1,mean,"[50792, 63537]",63537,1,-5.579117298126221,-6.47469425201416,-0.8955769538879395,1,0,0,0
audioseal,2,16384,4,chinese:SSB0009,1,mean,"[50792, 63537]",63537,1,-5.579117298126221,-6.183976173400879,-0.6048588752746582,1,0,0,0
audioseal,2,65536,4,chinese:SSB0009,1,mean,"[50792, 63537]",63545,0,-5.579117298126221,-5.547972679138184,0.03114461898803711,2,1,0,0
audioseal,2,256,4,chinese:SSB0009,1,fwp,"[50792, 63537]",63537,1,-5.579117298126221,-7.009661674499512,-1.430544376373291,1,0,0,0
audioseal,2,1024,4,chinese:SSB0009,1,fwp,"[50792, 63537]",63537,1,-5.579117298126221,-6.010256767272949,-0.4311394691467285,1,0,0,0
audioseal,2,4096,4,chinese:SSB0009,1,fwp,"[50792, 63537]",63537,1,-5.579117298126221,-6.47469425201416,-0.8955769538879395,1,0,0,0
audioseal,2,16384,4,chinese:SSB0009,1,fwp,"[50792, 63537]",63537,1,-5.579117298126221,-6.183976173400879,-0.6048588752746582,1,0,0,0
audioseal,2,65536,4,chinese:SSB0009,1,fwp,"[50792, 63537]",63545,0,-5.579117298126221,-5.547972679138184,0.03114461898803711,2,1,0,0
audioseal,2,256,5,chinese:SSB0009,2,mean,"[37200, 51471]",37200,1,-7.413864612579346,-8.125349044799805,-0.711484432220459,1,0,0,0
audioseal,2,1024,5,chinese:SSB0009,2,mean,"[37200, 51471]",37186,0,-7.413864612579346,-7.250837326049805,0.16302728652954102,2,1,0,0
audioseal,2,4096,5,chinese:SSB0009,2,mean,"[37200, 51471]",49474,0,-7.413864612579346,-6.314503192901611,1.0993614196777344,7,1,1,1
audioseal,2,16384,5,chinese:SSB0009,2,mean,"[37200, 51471]",55618,0,-7.413864612579346,-6.3112077713012695,1.1026568412780762,32,1,1,1
audioseal,2,65536,5,chinese:SSB0009,2,mean,"[37200, 51471]",53568,0,-7.413864612579346,-5.907181739807129,1.5066828727722168,108,1,1,1
audioseal,2,256,5,chinese:SSB0009,2,fwp,"[37200, 51471]",37200,1,-7.413864612579346,-8.125349044799805,-0.711484432220459,1,0,0,0
audioseal,2,1024,5,chinese:SSB0009,2,fwp,"[37200, 51471]",37186,0,-7.413864612579346,-7.250837326049805,0.16302728652954102,2,1,0,0
audioseal,2,4096,5,chinese:SSB0009,2,fwp,"[37200, 51471]",49474,0,-7.413864612579346,-6.314503192901611,1.0993614196777344,7,1,1,1
audioseal,2,16384,5,chinese:SSB0009,2,fwp,"[37200, 51471]",55618,0,-7.413864612579346,-6.3112077713012695,1.1026568412780762,32,1,1,1
audioseal,2,65536,5,chinese:SSB0009,2,fwp,"[37200, 51471]",53568,0,-7.413864612579346,-5.907181739807129,1.5066828727722168,108,1,1,1
audioseal,2,256,6,chinese:SSB0011,0,mean,"[29367, 46138]",46138,1,-8.275266647338867,-9.45706558227539,-1.1817989349365234,1,0,0,0
audioseal,2,1024,6,chinese:SSB0011,0,mean,"[29367, 46138]",28786,0,-8.275266647338867,-6.669137954711914,1.6061286926269531,8,1,1,1
audioseal,2,4096,6,chinese:SSB0011,0,mean,"[29367, 46138]",29754,0,-8.275266647338867,-6.3431396484375,1.9321269989013672,33,1,1,1
audioseal,2,16384,6,chinese:SSB0011,0,mean,"[29367, 46138]",62514,0,-8.275266647338867,-6.1033124923706055,2.1719541549682617,139,1,1,1
audioseal,2,65536,6,chinese:SSB0011,0,mean,"[29367, 46138]",28722,0,-8.275266647338867,-5.369527816772461,2.9057388305664062,560,1,1,1
audioseal,2,256,6,chinese:SSB0011,0,fwp,"[29367, 46138]",46138,1,-8.275266647338867,-9.45706558227539,-1.1817989349365234,1,0,0,0
audioseal,2,1024,6,chinese:SSB0011,0,fwp,"[29367, 46138]",28786,0,-8.275266647338867,-6.669137954711914,1.6061286926269531,8,1,1,1
audioseal,2,4096,6,chinese:SSB0011,0,fwp,"[29367, 46138]",29754,0,-8.275266647338867,-6.3431396484375,1.9321269989013672,33,1,1,1
audioseal,2,16384,6,chinese:SSB0011,0,fwp,"[29367, 46138]",62514,0,-8.275266647338867,-6.1033124923706055,2.1719541549682617,139,1,1,1
audioseal,2,65536,6,chinese:SSB0011,0,fwp,"[29367, 46138]",28722,0,-8.275266647338867,-5.369527816772461,2.9057388305664062,560,1,1,1
audioseal,2,256,7,chinese:SSB0011,1,mean,"[30097, 44805]",30097,1,-7.266368865966797,-7.734562873840332,-0.46819400787353516,1,0,0,0
audioseal,2,1024,7,chinese:SSB0011,1,mean,"[30097, 44805]",62725,0,-7.266368865966797,-6.706979274749756,0.559389591217041,2,1,0,0
audioseal,2,4096,7,chinese:SSB0011,1,mean,"[30097, 44805]",29957,0,-7.266368865966797,-6.045963287353516,1.2204055786132812,9,1,1,1
audioseal,2,16384,7,chinese:SSB0011,1,mean,"[30097, 44805]",32133,0,-7.266368865966797,-5.809830665588379,1.456538200378418,26,1,1,1
audioseal,2,65536,7,chinese:SSB0011,1,mean,"[30097, 44805]",32005,0,-7.266368865966797,-5.420148849487305,1.8462200164794922,101,1,1,1
audioseal,2,256,7,chinese:SSB0011,1,fwp,"[30097, 44805]",30097,1,-7.266368865966797,-7.734562873840332,-0.46819400787353516,1,0,0,0
audioseal,2,1024,7,chinese:SSB0011,1,fwp,"[30097, 44805]",62725,0,-7.266368865966797,-6.706979274749756,0.559389591217041,2,1,0,0
audioseal,2,4096,7,chinese:SSB0011,1,fwp,"[30097, 44805]",29957,0,-7.266368865966797,-6.045963287353516,1.2204055786132812,9,1,1,1
audioseal,2,16384,7,chinese:SSB0011,1,fwp,"[30097, 44805]",32133,0,-7.266368865966797,-5.809830665588379,1.456538200378418,26,1,1,1
audioseal,2,65536,7,chinese:SSB0011,1,fwp,"[30097, 44805]",32005,0,-7.266368865966797,-5.420148849487305,1.8462200164794922,101,1,1,1
audioseal,2,256,8,chinese:SSB0011,2,mean,"[4419, 58056]",61664,0,-9.690329551696777,-7.300543308258057,2.3897862434387207,22,1,1,1
audioseal,2,1024,8,chinese:SSB0011,2,mean,"[4419, 58056]",20680,0,-9.690329551696777,-6.471802234649658,3.218527317047119,54,1,1,1
audioseal,2,4096,8,chinese:SSB0011,2,mean,"[4419, 58056]",20578,0,-9.690329551696777,-6.292511940002441,3.397817611694336,178,1,1,1
audioseal,2,16384,8,chinese:SSB0011,2,mean,"[4419, 58056]",22752,0,-9.690329551696777,-5.932836532592773,3.757493019104004,801,1,1,1
audioseal,2,65536,8,chinese:SSB0011,2,mean,"[4419, 58056]",20704,0,-9.690329551696777,-4.951102256774902,4.739227294921875,3102,1,1,1
audioseal,2,256,8,chinese:SSB0011,2,fwp,"[4419, 58056]",61664,0,-9.690329551696777,-7.300543308258057,2.3897862434387207,22,1,1,1
audioseal,2,1024,8,chinese:SSB0011,2,fwp,"[4419, 58056]",20680,0,-9.690329551696777,-6.471802234649658,3.218527317047119,54,1,1,1
audioseal,2,4096,8,chinese:SSB0011,2,fwp,"[4419, 58056]",20578,0,-9.690329551696777,-6.292511940002441,3.397817611694336,178,1,1,1
audioseal,2,16384,8,chinese:SSB0011,2,fwp,"[4419, 58056]",22752,0,-9.690329551696777,-5.932836532592773,3.757493019104004,801,1,1,1
audioseal,2,65536,8,chinese:SSB0011,2,fwp,"[4419, 58056]",20704,0,-9.690329551696777,-4.951102256774902,4.739227294921875,3102,1,1,1
audioseal,2,256,9,chinese:SSB0012,0,mean,"[8824, 15713]",13680,0,-7.763249397277832,-7.324346542358398,0.4389028549194336,3,1,0,0
audioseal,2,1024,9,chinese:SSB0012,0,mean,"[8824, 15713]",14441,0,-7.763249397277832,-7.262185096740723,0.5010643005371094,6,1,1,1
audioseal,2,4096,9,chinese:SSB0012,0,mean,"[8824, 15713]",12896,0,-7.763249397277832,-6.943277359008789,0.819972038269043,13,1,1,1
audioseal,2,16384,9,chinese:SSB0012,0,mean,"[8824, 15713]",12400,0,-7.763249397277832,-5.829689025878906,1.9335603713989258,62,1,1,1
audioseal,2,65536,9,chinese:SSB0012,0,mean,"[8824, 15713]",14448,0,-7.763249397277832,-5.557494163513184,2.2057552337646484,234,1,1,1
audioseal,2,256,9,chinese:SSB0012,0,fwp,"[8824, 15713]",13680,0,-7.763249397277832,-7.324346542358398,0.4389028549194336,3,1,0,0
audioseal,2,1024,9,chinese:SSB0012,0,fwp,"[8824, 15713]",14441,0,-7.763249397277832,-7.262185096740723,0.5010643005371094,6,1,1,1
audioseal,2,4096,9,chinese:SSB0012,0,fwp,"[8824, 15713]",12896,0,-7.763249397277832,-6.943277359008789,0.819972038269043,13,1,1,1
audioseal,2,16384,9,chinese:SSB0012,0,fwp,"[8824, 15713]",12400,0,-7.763249397277832,-5.829689025878906,1.9335603713989258,62,1,1,1
audioseal,2,65536,9,chinese:SSB0012,0,fwp,"[8824, 15713]",14448,0,-7.763249397277832,-5.557494163513184,2.2057552337646484,234,1,1,1
audioseal,2,256,10,chinese:SSB0012,1,mean,"[14127, 50757]",14127,1,-8.344508171081543,-8.611937522888184,-0.2674293518066406,1,0,0,0
audioseal,2,1024,10,chinese:SSB0012,1,mean,"[14127, 50757]",5669,0,-8.344508171081543,-6.8073225021362305,1.5371856689453125,10,1,1,1
audioseal,2,4096,10,chinese:SSB0012,1,mean,"[14127, 50757]",22119,0,-8.344508171081543,-6.455908298492432,1.8885998725891113,36,1,1,1
