model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,0,chinese:SSB0005,0,3,6251,0,-9.00000000,2.16024690
wavmark,0,chinese:SSB0005,0,3,40159,0,-4.00000000,1.61245155
wavmark,0,chinese:SSB0005,0,3,17402,0,-7.00000000,2.01885056
wavmark,0,chinese:SSB0005,0,3,57195,0,-3.00000000,1.68774549
wavmark,0,chinese:SSB0005,0,3,34223,0,-8.00000000,2.28632297
wavmark,0,chinese:SSB0005,0,3,64646,0,-8.00000000,2.08530210
wavmark,0,chinese:SSB0005,0,3,18875,0,-7.00000000,2.21564684
wavmark,0,chinese:SSB0005,0,3,16,0,-11.00000000,2.21564684
wavmark,0,chinese:SSB0005,0,3,2960,0,-9.00000000,2.21564684
wavmark,0,chinese:SSB0005,0,3,9688,0,-10.00000000,2.28632297
wavmark,1,chinese:SSB0005,1,3,39130,0,-10.00000000,2.35432732
wavmark,1,chinese:SSB0005,1,3,57498,0,-10.00000000,2.47847880
wavmark,1,chinese:SSB0005,1,3,6547,0,-9.00000000,2.16465108
wavmark,1,chinese:SSB0005,1,3,49242,0,-10.00000000,2.27636073
wavmark,1,chinese:SSB0005,1,3,56108,0,-10.00000000,2.39317211
wavmark,1,chinese:SSB0005,1,3,18317,0,-7.00000000,2.29906813
wavmark,1,chinese:SSB0005,1,3,25256,0,-9.00000000,2.26778684
wavmark,1,chinese:SSB0005,1,3,49154,0,-9.00000000,1.88224790
wavmark,1,chinese:SSB0005,1,3,56844,0,-11.00000000,2.39317211
wavmark,1,chinese:SSB0005,1,3,4040,0,-9.00000000,2.13139793
wavmark,2,chinese:SSB0005,2,3,21338,0,-11.00000000,2.67466748
wavmark,2,chinese:SSB0005,2,3,18609,0,-7.00000000,1.96768770
wavmark,2,chinese:SSB0005,2,3,20792,0,-10.00000000,2.42383993
wavmark,2,chinese:SSB0005,2,3,33833,0,-5.00000000,1.64862025
wavmark,2,chinese:SSB0005,2,3,33025,0,-8.00000000,1.98713813
wavmark,2,chinese:SSB0005,2,3,49099,0,-4.00000000,2.04437941
wavmark,2,chinese:SSB0005,2,3,32021,0,-9.00000000,2.20794022
wavmark,2,chinese:SSB0005,2,3,17790,0,-12.00000000,2.85549403
wavmark,2,chinese:SSB0005,2,3,4931,0,-9.00000000,2.27020839
wavmark,2,chinese:SSB0005,2,3,23272,0,-7.00000000,2.22457141
wavmark,3,chinese:SSB0009,0,3,24461,0,-10.00000000,2.94392029
wavmark,3,chinese:SSB0009,0,3,25556,0,-6.00000000,2.48997992
wavmark,3,chinese:SSB0009,0,3,39289,0,-9.00000000,2.62851496
wavmark,3,chinese:SSB0009,0,3,40485,0,-8.00000000,2.17944947
wavmark,3,chinese:SSB0009,0,3,13773,0,-9.00000000,2.57611406
