model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,8,chinese:SSB0011,2,8,8286,0,-4.00000000,1.78694763
wavmark,8,chinese:SSB0011,2,8,16641,0,-8.00000000,1.88784763
wavmark,8,chinese:SSB0011,2,8,26318,0,-7.00000000,1.87348813
wavmark,8,chinese:SSB0011,2,8,34565,0,-2.00000000,0.86953871
wavmark,8,chinese:SSB0011,2,8,35493,0,-4.00000000,1.58975822
wavmark,8,chinese:SSB0011,2,8,42994,0,-5.00000000,1.96025020
wavmark,8,chinese:SSB0011,2,8,49340,0,-7.00000000,2.01559426
wavmark,8,chinese:SSB0011,2,8,50789,0,-2.00000000,1.46759877
wavmark,8,chinese:SSB0011,2,8,58873,0,-5.00000000,1.80942570
wavmark,9,chinese:SSB0012,0,8,9479,0,-5.00000000,1.73324491
wavmark,9,chinese:SSB0012,0,8,9541,0,-6.00000000,1.80664011
wavmark,9,chinese:SSB0012,0,8,10348,0,-6.00000000,1.73916017
wavmark,9,chinese:SSB0012,0,8,22427,0,-4.00000000,1.84523347
wavmark,9,chinese:SSB0012,0,8,23943,0,-3.00000000,1.52301102
wavmark,9,chinese:SSB0012,0,8,26146,0,-7.00000000,1.89146281
wavmark,9,chinese:SSB0012,0,8,36099,0,-9.00000000,1.84731898
wavmark,9,chinese:SSB0012,0,8,47374,0,-5.00000000,1.68663833
wavmark,9,chinese:SSB0012,0,8,52773,0,-5.00000000,1.61416738
wavmark,9,chinese:SSB0012,0,8,60925,1,1.00000000,1.64445290
wavmark,10,chinese:SSB0012,1,8,15291,0,-5.00000000,1.85374314
wavmark,10,chinese:SSB0012,1,8,28331,0,-5.00000000,1.99088243
wavmark,10,chinese:SSB0012,1,8,31391,0,-5.00000000,1.82905838
wavmark,10,chinese:SSB0012,1,8,33377,0,-7.00000000,1.98698821
wavmark,10,chinese:SSB0012,1,8,36181,0,-4.00000000,1.54383870
wavmark,10,chinese:SSB0012,1,8,37516,0,-7.00000000,1.88499111
wavmark,10,chinese:SSB0012,1,8,40976,0,-4.00000000,1.41262723
wavmark,10,chinese:SSB0012,1,8,43098,0,-5.00000000,1.33849439
wavmark,10,chinese:SSB0012,1,8,59750,0,-4.00000000,1.41276383
wavmark,10,chinese:SSB0012,1,8,63236,0,-5.00000000,1.78110184
wavmark,11,chinese:SSB0012,2,8,4939,0,-5.00000000,1.88909865
wavmark,11,chinese:SSB0012,2,8,7291,0,-6.00000000,1.73648628
wavmark,11,chinese:SSB0012,2,8,17566,0,-7.00000000,1.74903210
wavmark,11,chinese:SSB0012,2,8,24928,0,-6.00000000,1.64858175
wavmark,11,chinese:SSB0012,2,8,37661,0,-7.00000000,1.92706197
wavmark,11,chinese:SSB0012,2,8,39754,0,-8.00000000,1.93843290
wavmark,11,chinese:SSB0012,2,8,60366,0,-5.00000000,1.86721356
wavmark,11,chinese:SSB0012,2,8,62085,0,-6.00000000,1.95586217
wavmark,11,chinese:SSB0012,2,8,64612,0,-2.00000000,1.51638614
wavmark,11,chinese:SSB0012,2,8,65184,0,-4.00000000,1.83021672
wavmark,12,chinese:SSB0016,0,8,19092,0,-7.00000000,2.00719858
wavmark,12,chinese:SSB0016,0,8,24889,0,-4.00000000,1.60200923
wavmark,12,chinese:SSB0016,0,8,26867,0,-5.00000000,1.69931785
wavmark,12,chinese:SSB0016,0,8,27256,0,-5.00000000,1.85777486
wavmark,12,chinese:SSB0016,0,8,40331,0,-5.00000000,1.89370149
