model,k,bit_count,n_trials,native_escape_pct,ideal_native_escape_pct,occupancy_pct,registry_size,coalition_trace_pct,registered_nonmember_pct,unassigned_pct,escape_pct,ideal_coalition_trace_pct,ideal_registered_nonmember_pct,ideal_unassigned_pct,ideal_escape_pct
audioseal,2,16,300,99.0,97.902059,1,655,1.0,0.9864650410473952,98.0135349589526,99.0,2.097941000000006,0.9755248348490859,96.9265341651509,97.902059
audioseal,2,16,300,99.0,97.902059,10,6554,1.0,9.897885067293315,89.10211493270668,99.0,2.097941000000006,9.788114422559282,88.1139445774407,97.902059
audioseal,2,16,300,99.0,97.902059,50,32768,1.0,49.49848933378094,49.50151066621906,99.0,2.097941000000006,48.94953558754234,48.95252341245765,97.902059
audioseal,2,16,300,99.0,97.902059,100,65536,1.0,99.0,0.0,99.0,2.097941000000006,97.902059,0.0,97.902059
audioseal,3,16,300,97.33333333333333,99.518427,1,655,2.6666666666666714,0.9683874282168271,96.3649459051165,97.33333333333333,0.48157299999999736,0.990127331329254,98.52829966867074,99.518427
audioseal,3,16,300,97.33333333333333,99.518427,10,6554,2.6666666666666714,9.729917242712323,87.60341609062101,97.33333333333333,0.48157299999999736,9.948349919536723,89.57007708046328,99.518427
audioseal,3,16,300,97.33333333333333,99.518427,50,32768,2.6666666666666714,48.66443878147905,48.66889455185428,97.33333333333333,0.48157299999999736,49.75693559969786,49.76149140030214,99.518427
audioseal,3,16,300,97.33333333333333,99.518427,100,65536,2.6666666666666714,97.33333333333333,0.0,97.33333333333333,0.48157299999999736,99.518427,0.0,99.518427
audioseal,5,16,300,98.33333333333333,99.855013,1,655,1.6666666666666714,0.9753653487153662,97.35796798461796,98.33333333333333,0.14498700000000042,0.99045884314294,98.86455415685705,99.855013
audioseal,5,16,300,98.33333333333333,99.855013,10,6554,1.6666666666666714,9.827181028826052,88.50615230450727,98.33333333333333,0.14498700000000042,9.979253790374022,89.87575920962597,99.855013
audioseal,5,16,300,98.33333333333333,99.855013,50,32768,1.6666666666666714,49.1629152614793,49.17041807185403,98.33333333333333,0.14498700000000042,49.92369704291099,49.93131595708901,99.855013
audioseal,5,16,300,98.33333333333333,99.855013,100,65536,1.6666666666666714,98.33333333333333,0.0,98.33333333333333,0.14498700000000042,99.855013,0.0,99.855013
audioseal,8,16,300,100.0,99.922678,1,655,0.0,0.987364180197778,99.01263581980221,100.0,0.07732199999999523,0.9866007304663655,98.93607726953364,99.922678
audioseal,8,16,300,100.0,99.922678,10,6554,0.0,9.989622756684167,90.01037724331583,100.0,0.07732199999999523,9.981898580576244,89.94077941942376,99.922678
audioseal,8,16,300,100.0,99.922678,50,32768,0.0,49.99389573922598,50.00610426077402,100.0,0.07732199999999523,49.9552394591625,49.967438540837506,99.922678
audioseal,8,16,300,100.0,99.922678,100,65536,0.0,100.0,0.0,100.0,0.07732199999999523,99.922678,0.0,99.922678
timbrewm,2,10,300,87.66666666666667,89.145833,1,10,12.333333333333329,0.6862361382909328,86.98043052837573,87.66666666666667,10.854167000000004,0.6978147397260274,88.44801826027397,89.145833
timbrewm,2,10,300,87.66666666666667,89.145833,10,102,12.333333333333329,8.577951728636661,79.08871493803001,87.66666666666667,10.854167000000004,8.722684246575342,80.42314875342466,89.145833
timbrewm,2,10,300,87.66666666666667,89.145833,50,512,12.333333333333329,43.74755381604697,43.9191128506197,87.66666666666667,10.854167000000004,44.485689657534245,44.66014334246575,89.145833
timbrewm,2,10,300,87.66666666666667,89.145833,100,1024,12.333333333333329,87.66666666666667,0.0,87.66666666666667,10.854167000000004,89.145833,0.0,89.145833
timbrewm,3,10,300,84.66666666666667,94.302416,1,10,15.333333333333329,0.5804766568723474,84.08619000979432,84.66666666666667,5.697584000000006,0.6465395808031341,93.65587641919686,94.302416
timbrewm,3,10,300,84.66666666666667,94.302416,10,102,15.333333333333329,8.209598432908914,76.45706823375777,84.66666666666667,5.697584000000006,9.143916928501469,85.15849907149853,94.302416
timbrewm,3,10,300,84.66666666666667,94.302416,50,512,15.333333333333329,42.20894547828926,42.45772118837741,84.66666666666667,5.697584000000006,47.01266380411361,47.289752195886386,94.302416
timbrewm,3,10,300,84.66666666666667,94.302416,100,1024,15.333333333333329,84.66666666666667,0.0,84.66666666666667,5.697584000000006,94.302416,0.0,94.302416
timbrewm,5,10,300,88.0,96.806673,1,10,12.0,0.43179587831207067,87.56820412168793,88.0,3.1933269999999965,0.4750082090284593,96.33166479097154,96.806673
timbrewm,5,10,300,88.0,96.806673,10,102,12.0,8.376840039254171,79.62315996074582,88.0,3.1933269999999965,9.215159255152109,87.59151374484789,96.806673
timbrewm,5,10,300,88.0,96.806673,50,512,12.0,43.78410206084396,44.21589793915603,88.0,3.1933269999999965,48.16583239548577,48.640840604514224,96.806673
timbrewm,5,10,300,88.0,96.806673,100,1024,12.0,88.0,0.0,88.0,3.1933269999999965,96.806673,0.0,96.806673
timbrewm,8,10,300,92.0,97.422527,1,10,8.0,0.18110236220472442,91.81889763779527,92.0,2.5774729999999977,0.1917766279527559,97.23075037204724,97.422527
timbrewm,8,10,300,92.0,97.422527,10,102,8.0,8.511811023622048,83.48818897637796,92.0,2.5774729999999977,9.013501513779527,88.40902548622049,97.422527
timbrewm,8,10,300,92.0,97.422527,50,512,8.0,45.63779527559055,46.36220472440945,92.0,2.5774729999999977,48.32771024409449,49.09481675590551,97.422527
timbrewm,8,10,300,92.0,97.422527,100,1024,8.0,92.0,0.0,92.0,2.5774729999999977,97.422527,0.0,97.422527
voicemark,2,16,300,93.66666666666667,97.902059,1,655,6.333333333333329,0.9333221432131922,92.73334452345347,93.66666666666667,2.097941000000006,0.9755248348490859,96.9265341651509,97.902059
voicemark,2,16,300,93.66666666666667,97.902059,10,6554,6.333333333333329,9.36466566972869,84.30200099693798,93.66666666666667,2.097941000000006,9.788114422559282,88.1139445774407,97.902059
voicemark,2,16,300,93.66666666666667,97.902059,50,32768,6.333333333333329,46.83190404980621,46.83476261686046,93.66666666666667,2.097941000000006,48.94953558754234,48.95252341245765,97.902059
voicemark,2,16,300,93.66666666666667,97.902059,100,65536,6.333333333333329,93.66666666666667,0.0,93.66666666666667,2.097941000000006,97.902059,0.0,97.902059
voicemark,3,16,300,99.0,99.518427,1,655,1.0,0.9849694047273893,98.0150305952726,99.0,0.48157299999999736,0.990127331329254,98.52829966867074,99.518427
voicemark,3,16,300,99.0,99.518427,10,6554,1.0,9.896525414676574,89.10347458532343,99.0,0.48157299999999736,9.948349919536723,89.57007708046328,99.518427
voicemark,3,16,300,99.0,99.518427,50,32768,1.0,49.49773396609342,49.50226603390658,99.0,0.48157299999999736,49.75693559969786,49.76149140030214,99.518427
voicemark,3,16,300,99.0,99.518427,100,65536,1.0,99.0,0.0,99.0,0.48157299999999736,99.518427,0.0,99.518427
voicemark,5,16,300,99.33333333333333,99.855013,1,655,0.6666666666666714,0.9852843183633191,98.34804901497,99.33333333333333,0.14498700000000042,0.99045884314294,98.86455415685705,99.855013
voicemark,5,16,300,99.33333333333333,99.855013,10,6554,0.6666666666666714,9.927118463017504,89.40621487031582,99.33333333333333,0.14498700000000042,9.979253790374022,89.87575920962597,99.855013
voicemark,5,16,300,99.33333333333333,99.855013,50,32768,0.6666666666666714,49.66287711159604,49.67045622173729,99.33333333333333,0.14498700000000042,49.92369704291099,49.93131595708901,99.855013
voicemark,5,16,300,99.33333333333333,99.855013,100,65536,0.6666666666666714,99.33333333333333,0.0,99.33333333333333,0.14498700000000042,99.855013,0.0,99.855013
voicemark,8,16,300,98.66666666666667,99.922678,1,655,1.3333333333333286,0.9741993244618077,97.69246734220486,98.66666666666667,0.07732199999999523,0.9866007304663655,98.93607726953364,99.922678
voicemark,8,16,300,98.66666666666667,99.922678,10,6554,1.3333333333333286,9.856427786595045,88.81023888007162,98.66666666666667,0.07732199999999523,9.981898580576244,89.94077941942376,99.922678
voicemark,8,16,300,98.66666666666667,99.922678,50,32768,1.3333333333333286,49.32731046270297,49.3393562039637,98.66666666666667,0.07732199999999523,49.9552394591625,49.967438540837506,99.922678
voicemark,8,16,300,98.66666666666667,99.922678,100,65536,1.3333333333333286,98.66666666666667,0.0,98.66666666666667,0.07732199999999523,99.922678,0.0,99.922678
wavmark,2,16,300,96.66666666666667,97.902059,1,655,3.3333333333333286,0.9632150232449314,95.70345164342173,96.66666666666667,2.097941000000006,0.9755248348490859,96.9265341651509,97.902059
wavmark,2,16,300,96.66666666666667,97.902059,10,6554,3.3333333333333286,9.664601580858792,87.00206508580787,96.66666666666667,2.097941000000006,9.788114422559282,88.1139445774407,97.902059
wavmark,2,16,300,96.66666666666667,97.902059,50,32768,3.3333333333333286,48.331858272042,48.33480839462467,96.66666666666667,2.097941000000006,48.94953558754234,48.95252341245765,97.902059
wavmark,2,16,300,96.66666666666667,97.902059,100,65536,3.3333333333333286,96.66666666666667,0.0,96.66666666666667,2.097941000000006,97.902059,0.0,97.902059
wavmark,3,16,300,97.66666666666667,99.518427,1,655,2.3333333333333286,0.9717038235189396,96.69496284314772,97.66666666666667,0.48157299999999736,0.990127331329254,98.52829966867074,99.518427
wavmark,3,16,300,97.66666666666667,99.518427,10,6554,2.3333333333333286,9.763238877105174,87.9034277895615,97.66666666666667,0.48157299999999736,9.948349919536723,89.57007708046328,99.518427
wavmark,3,16,300,97.66666666666667,99.518427,50,32768,2.3333333333333286,48.83109781840193,48.83556884826474,97.66666666666667,0.48157299999999736,49.75693559969786,49.76149140030214,99.518427
wavmark,3,16,300,97.66666666666667,99.518427,100,65536,2.3333333333333286,97.66666666666667,0.0,97.66666666666667,0.48157299999999736,99.518427,0.0,99.518427
