model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,0,21,mean,1,1,1,7,0.6364,4.2666,0.9767,17.16
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,0,21,fwp,1,1,1,9,0.8182,4.3549,0.9832,18.56
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,1,22,mean,0,0,0,8,0.7273,4.4098,0.9835,18.33
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,1,22,fwp,0,0,0,10,0.9091,4.1034,0.9665,14.70
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,2,23,mean,1,1,1,8,0.7273,4.3465,0.9796,19.99
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,2,23,fwp,1,1,1,6,0.5455,4.0102,0.9642,16.12
voicemark,3,ecc1,16,11,2048,chinese:SSB0043,0,24,mean,1,0,0,9,0.8182,4.2154,0.9663,18.47
voicemark,3,ecc1,16,11,2048,chinese:SSB0043,0,24,fwp,1,0,0,9,0.8182,3.7297,0.9407,15.10
voicemark,3,ecc1,16,11,2048,chinese:SSB0043,1,25,mean,1,1,1,9,0.8182,4.1865,0.9696,18.33
voicemark,3,ecc1,16,11,2048,chinese:SSB0043,1,25,fwp,1,1,1,9,0.8182,4.1038,0.9688,18.49
voicemark,3,ecc1,16,11,2048,chinese:SSB0043,2,26,mean,1,1,1,7,0.6364,3.9105,0.9652,18.48
voicemark,3,ecc1,16,11,2048,chinese:SSB0043,2,26,fwp,0,0,0,10,0.9091,3.3817,0.9365,14.74
voicemark,3,ecc1,16,11,2048,chinese:SSB0057,0,27,mean,1,1,1,9,0.8182,4.4120,0.9778,17.62
voicemark,3,ecc1,16,11,2048,chinese:SSB0057,0,27,fwp,1,1,0,9,0.8182,4.1481,0.9634,14.13
voicemark,3,ecc1,16,11,2048,chinese:SSB0057,1,28,mean,1,1,1,8,0.7273,4.0974,0.9709,15.05
voicemark,3,ecc1,16,11,2048,chinese:SSB0057,1,28,fwp,1,1,1,8,0.7273,4.1728,0.9785,16.55
voicemark,3,ecc1,16,11,2048,chinese:SSB0057,2,29,mean,1,1,1,6,0.5455,3.9693,0.9689,15.49
voicemark,3,ecc1,16,11,2048,chinese:SSB0057,2,29,fwp,1,1,1,10,0.9091,4.0626,0.9774,16.59
voicemark,3,ecc1,16,11,2048,chinese:SSB0073,0,30,mean,1,1,1,8,0.7273,4.0042,0.9655,15.14
voicemark,3,ecc1,16,11,2048,chinese:SSB0073,0,30,fwp,1,1,1,7,0.6364,3.6209,0.9504,11.41
voicemark,3,ecc1,16,11,2048,chinese:SSB0073,1,31,mean,1,1,1,8,0.7273,4.1864,0.9813,15.66
voicemark,3,ecc1,16,11,2048,chinese:SSB0073,1,31,fwp,1,1,1,8,0.7273,3.7529,0.9645,11.79
voicemark,3,ecc1,16,11,2048,chinese:SSB0073,2,32,mean,1,0,0,11,1.0000,3.6360,0.9808,11.80
voicemark,3,ecc1,16,11,2048,chinese:SSB0073,2,32,fwp,1,0,0,11,1.0000,3.8903,0.9853,13.85
