model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
timbrewm,8,1024,16,chinese:SSB0018,1,fwp,"[217, 419, 500, 860, 879, 925, 931, 971]",460,0,-6.332057952880859,-6.157883644104004,0.17417430877685547,51,1,1,1
timbrewm,8,1024,17,chinese:SSB0018,2,mean,"[206, 351, 398, 620, 678, 752, 803, 835]",974,0,-6.066373348236084,-5.785534381866455,0.2808389663696289,14,1,1,1
timbrewm,8,1024,17,chinese:SSB0018,2,fwp,"[206, 351, 398, 620, 678, 752, 803, 835]",202,0,-5.8081889152526855,-5.790456295013428,0.017732620239257812,2,1,0,0
timbrewm,8,1024,18,chinese:SSB0033,0,mean,"[4, 237, 264, 302, 424, 451, 562, 649]",424,1,-5.399312496185303,-5.4426398277282715,-0.04332733154296875,1,0,0,0
timbrewm,8,1024,18,chinese:SSB0033,0,fwp,"[4, 237, 264, 302, 424, 451, 562, 649]",489,0,-5.203286647796631,-5.107198238372803,0.09608840942382812,14,1,1,1
timbrewm,8,1024,19,chinese:SSB0033,1,mean,"[88, 177, 569, 671, 835, 913, 981, 988]",985,0,-5.280378341674805,-5.128346920013428,0.15203142166137695,6,1,1,1
timbrewm,8,1024,19,chinese:SSB0033,1,fwp,"[88, 177, 569, 671, 835, 913, 981, 988]",217,0,-5.256197929382324,-5.052884578704834,0.20331335067749023,17,1,1,1
timbrewm,8,1024,20,chinese:SSB0033,2,mean,"[228, 249, 303, 423, 525, 769, 940, 947]",429,0,-5.817333221435547,-5.220985412597656,0.5963478088378906,23,1,1,1
timbrewm,8,1024,20,chinese:SSB0033,2,fwp,"[228, 249, 303, 423, 525, 769, 940, 947]",453,0,-5.66202974319458,-5.4023590087890625,0.2596707344055176,43,1,1,1
timbrewm,8,1024,21,chinese:SSB0038,0,mean,"[3, 228, 256, 343, 726, 737, 810, 841]",321,0,-6.186375141143799,-5.808042049407959,0.37833309173583984,33,1,1,1
timbrewm,8,1024,21,chinese:SSB0038,0,fwp,"[3, 228, 256, 343, 726, 737, 810, 841]",298,0,-5.46674919128418,-5.446249008178711,0.02050018310546875,3,1,0,0
timbrewm,8,1024,22,chinese:SSB0038,1,mean,"[216, 262, 271, 447, 552, 626, 793, 1022]",282,0,-6.346389293670654,-5.873266220092773,0.47312307357788086,82,1,1,1
timbrewm,8,1024,22,chinese:SSB0038,1,fwp,"[216, 262, 271, 447, 552, 626, 793, 1022]",1000,0,-5.3057637214660645,-5.138592720031738,0.16717100143432617,25,1,1,1
timbrewm,8,1024,23,chinese:SSB0038,2,mean,"[147, 586, 638, 685, 802, 923, 933, 990]",939,0,-5.793951988220215,-5.736143112182617,0.057808876037597656,6,1,1,1
timbrewm,8,1024,23,chinese:SSB0038,2,fwp,"[147, 586, 638, 685, 802, 923, 933, 990]",970,0,-5.235076904296875,-5.057680606842041,0.17739629745483398,12,1,1,1
timbrewm,8,1024,24,chinese:SSB0043,0,mean,"[106, 133, 181, 498, 501, 727, 845, 1021]",501,1,-5.423295974731445,-5.484569549560547,-0.06127357482910156,1,0,0,0
timbrewm,8,1024,24,chinese:SSB0043,0,fwp,"[106, 133, 181, 498, 501, 727, 845, 1021]",202,0,-5.544286251068115,-5.424809455871582,0.1194767951965332,10,1,1,1
timbrewm,8,1024,25,chinese:SSB0043,1,mean,"[91, 179, 660, 782, 811, 916, 960, 1015]",914,0,-6.180095672607422,-5.998543739318848,0.18155193328857422,14,1,1,1
timbrewm,8,1024,25,chinese:SSB0043,1,fwp,"[91, 179, 660, 782, 811, 916, 960, 1015]",426,0,-5.9917755126953125,-5.809079170227051,0.18269634246826172,33,1,1,1
timbrewm,8,1024,26,chinese:SSB0043,2,mean,"[118, 336, 360, 616, 689, 769, 825, 847]",872,0,-5.671841144561768,-5.4404520988464355,0.23138904571533203,8,1,1,1
timbrewm,8,1024,26,chinese:SSB0043,2,fwp,"[118, 336, 360, 616, 689, 769, 825, 847]",424,0,-5.608739376068115,-5.421475887298584,0.18726348876953125,40,1,1,1
timbrewm,8,1024,27,chinese:SSB0057,0,mean,"[177, 279, 361, 415, 639, 743, 808, 943]",431,0,-5.685918807983398,-5.610522747039795,0.07539606094360352,3,1,0,0
timbrewm,8,1024,27,chinese:SSB0057,0,fwp,"[177, 279, 361, 415, 639, 743, 808, 943]",877,0,-5.619506359100342,-5.4936089515686035,0.12589740753173828,23,1,1,1
timbrewm,8,1024,28,chinese:SSB0057,1,mean,"[63, 102, 184, 266, 390, 670, 973, 977]",398,0,-6.301558494567871,-5.846408367156982,0.45515012741088867,47,1,1,1
timbrewm,8,1024,28,chinese:SSB0057,1,fwp,"[63, 102, 184, 266, 390, 670, 973, 977]",457,0,-5.180690288543701,-5.006809234619141,0.17388105392456055,18,1,1,1
timbrewm,8,1024,29,chinese:SSB0057,2,mean,"[60, 73, 534, 774, 801, 828, 831, 896]",780,0,-5.499482154846191,-5.468365669250488,0.031116485595703125,4,1,1,0
timbrewm,8,1024,29,chinese:SSB0057,2,fwp,"[60, 73, 534, 774, 801, 828, 831, 896]",89,0,-5.525468349456787,-5.4635210037231445,0.06194734573364258,5,1,1,0
timbrewm,8,1024,30,chinese:SSB0073,0,mean,"[220, 399, 440, 500, 505, 828, 921, 959]",444,0,-5.080315113067627,-4.859256267547607,0.22105884552001953,4,1,1,0
timbrewm,8,1024,30,chinese:SSB0073,0,fwp,"[220, 399, 440, 500, 505, 828, 921, 959]",396,0,-5.200343132019043,-5.097401142120361,0.10294198989868164,8,1,1,1
timbrewm,8,1024,31,chinese:SSB0073,1,mean,"[81, 190, 243, 592, 605, 668, 738, 1022]",728,0,-5.991703510284424,-5.383257865905762,0.6084456443786621,45,1,1,1
timbrewm,8,1024,31,chinese:SSB0073,1,fwp,"[81, 190, 243, 592, 605, 668, 738, 1022]",152,0,-5.549544811248779,-5.432809829711914,0.11673498153686523,13,1,1,1
timbrewm,8,1024,32,chinese:SSB0073,2,mean,"[124, 161, 404, 559, 676, 740, 841, 934]",676,1,-5.2312092781066895,-5.291208744049072,-0.05999946594238281,1,0,0,0
timbrewm,8,1024,32,chinese:SSB0073,2,fwp,"[124, 161, 404, 559, 676, 740, 841, 934]",428,0,-5.963778495788574,-5.611128807067871,0.3526496887207031,46,1,1,1
timbrewm,8,1024,33,chinese:SSB0080,0,mean,"[225, 257, 265, 270, 576, 750, 916, 972]",456,0,-5.575771808624268,-5.422750949859619,0.15302085876464844,7,1,1,1
timbrewm,8,1024,33,chinese:SSB0080,0,fwp,"[225, 257, 265, 270, 576, 750, 916, 972]",392,0,-5.240458011627197,-4.987314701080322,0.253143310546875,26,1,1,1
timbrewm,8,1024,34,chinese:SSB0080,1,mean,"[177, 457, 688, 799, 833, 918, 941, 988]",921,0,-5.742887020111084,-5.288181781768799,0.45470523834228516,25,1,1,1
timbrewm,8,1024,34,chinese:SSB0080,1,fwp,"[177, 457, 688, 799, 833, 918, 941, 988]",937,0,-4.914825916290283,-4.7942352294921875,0.1205906867980957,9,1,1,1
timbrewm,8,1024,35,chinese:SSB0080,2,mean,"[15, 167, 264, 311, 427, 454, 731, 837]",399,0,-5.91128396987915,-5.5009260177612305,0.4103579521179199,16,1,1,1
timbrewm,8,1024,35,chinese:SSB0080,2,fwp,"[15, 167, 264, 311, 427, 454, 731, 837]",392,0,-5.4031662940979,-5.235806941986084,0.1673593521118164,7,1,1,1
timbrewm,8,1024,36,chinese:SSB0112,0,mean,"[115, 152, 173, 383, 515, 895, 985, 1017]",505,0,-5.453659534454346,-5.424586296081543,0.029073238372802734,2,1,0,0
timbrewm,8,1024,36,chinese:SSB0112,0,fwp,"[115, 152, 173, 383, 515, 895, 985, 1017]",408,0,-5.910673141479492,-5.713830947875977,0.19684219360351562,26,1,1,1
timbrewm,8,1024,37,chinese:SSB0112,1,mean,"[9, 32, 66, 311, 505, 580, 654, 914]",0,0,-6.032225608825684,-5.783997535705566,0.2482280731201172,10,1,1,1
timbrewm,8,1024,37,chinese:SSB0112,1,fwp,"[9, 32, 66, 311, 505, 580, 654, 914]",424,0,-5.122056484222412,-4.895350933074951,0.22670555114746094,15,1,1,1
timbrewm,8,1024,38,chinese:SSB0112,2,mean,"[147, 255, 437, 510, 659, 675, 825, 879]",443,0,-5.917717456817627,-5.376204967498779,0.5415124893188477,33,1,1,1
timbrewm,8,1024,38,chinese:SSB0112,2,fwp,"[147, 255, 437, 510, 659, 675, 825, 879]",491,0,-5.717268466949463,-5.416656017303467,0.3006124496459961,42,1,1,1
timbrewm,8,1024,39,chinese:SSB0122,0,mean,"[20, 123, 160, 305, 459, 582, 841, 844]",328,0,-5.92253303527832,-5.625303745269775,0.2972292900085449,10,1,1,1
timbrewm,8,1024,39,chinese:SSB0122,0,fwp,"[20, 123, 160, 305, 459, 582, 841, 844]",168,0,-5.336366176605225,-4.984341621398926,0.35202455520629883,32,1,1,1
timbrewm,8,1024,40,chinese:SSB0122,1,mean,"[11, 23, 217, 285, 394, 477, 588, 657]",153,0,-5.438560962677002,-5.268616676330566,0.16994428634643555,5,1,1,0
timbrewm,8,1024,40,chinese:SSB0122,1,fwp,"[11, 23, 217, 285, 394, 477, 588, 657]",457,0,-5.074192523956299,-4.997010231018066,0.07718229293823242,4,1,1,0
timbrewm,8,1024,41,chinese:SSB0122,2,mean,"[4, 222, 318, 390, 394, 419, 440, 793]",394,1,-5.125819683074951,-5.190092086791992,-0.06427240371704102,1,0,0,0
timbrewm,8,1024,41,chinese:SSB0122,2,fwp,"[4, 222, 318, 390, 394, 419, 440, 793]",462,0,-5.584141731262207,-5.476106643676758,0.10803508758544922,12,1,1,1
timbrewm,8,1024,42,chinese:SSB0133,0,mean,"[136, 167, 192, 261, 307, 603, 802, 1020]",416,0,-6.227441787719727,-6.075701713562012,0.15174007415771484,16,1,1,1
timbrewm,8,1024,42,chinese:SSB0133,0,fwp,"[136, 167, 192, 261, 307, 603, 802, 1020]",136,1,-4.646296501159668,-4.667174339294434,-0.020877838134765625,1,0,0,0
timbrewm,8,1024,43,chinese:SSB0133,1,mean,"[317, 318, 394, 453, 683, 841, 867, 895]",363,0,-5.963775634765625,-5.5513410568237305,0.41243457794189453,44,1,1,1
timbrewm,8,1024,43,chinese:SSB0133,1,fwp,"[317, 318, 394, 453, 683, 841, 867, 895]",458,0,-5.447518825531006,-5.432551860809326,0.014966964721679688,2,1,0,0
timbrewm,8,1024,44,chinese:SSB0133,2,mean,"[166, 188, 196, 203, 343, 710, 764, 807]",230,0,-5.620561599731445,-5.563072204589844,0.05748939514160156,6,1,1,1
timbrewm,8,1024,44,chinese:SSB0133,2,fwp,"[166, 188, 196, 203, 343, 710, 764, 807]",1021,0,-5.540176868438721,-5.433994770050049,0.10618209838867188,10,1,1,1
timbrewm,8,1024,45,chinese:SSB0139,0,mean,"[83, 117, 191, 554, 621, 684, 718, 957]",749,0,-5.645261764526367,-5.51582670211792,0.12943506240844727,4,1,1,0
timbrewm,8,1024,45,chinese:SSB0139,0,fwp,"[83, 117, 191, 554, 621, 684, 718, 957]",985,0,-5.963088035583496,-5.8115363121032715,0.1515517234802246,26,1,1,1
timbrewm,8,1024,46,chinese:SSB0139,1,mean,"[27, 179, 292, 412, 476, 627, 764, 769]",408,0,-6.035529136657715,-6.010716438293457,0.024812698364257812,2,1,0,0
timbrewm,8,1024,46,chinese:SSB0139,1,fwp,"[27, 179, 292, 412, 476, 627, 764, 769]",472,0,-5.78614616394043,-5.717892646789551,0.0682535171508789,5,1,1,0
timbrewm,8,1024,47,chinese:SSB0139,2,mean,"[125, 387, 463, 550, 861, 990, 995, 1015]",975,0,-5.452441215515137,-5.272806644439697,0.17963457107543945,5,1,1,0
timbrewm,8,1024,47,chinese:SSB0139,2,fwp,"[125, 387, 463, 550, 861, 990, 995, 1015]",461,0,-5.459008693695068,-5.380609035491943,0.078399658203125,6,1,1,1
timbrewm,8,1024,48,chinese:SSB0145,0,mean,"[28, 46, 116, 172, 284, 300, 368, 533]",60,0,-4.948237895965576,-4.673127174377441,0.27511072158813477,4,1,1,0
timbrewm,8,1024,48,chinese:SSB0145,0,fwp,"[28, 46, 116, 172, 284, 300, 368, 533]",816,0,-5.2025465965271,-5.136424541473389,0.06612205505371094,5,1,1,0
timbrewm,8,1024,49,chinese:SSB0145,1,mean,"[2, 343, 374, 382, 490, 737, 762, 1013]",498,0,-5.522977828979492,-5.41664457321167,0.10633325576782227,4,1,1,0
timbrewm,8,1024,49,chinese:SSB0145,1,fwp,"[2, 343, 374, 382, 490, 737, 762, 1013]",488,0,-4.9244608879089355,-4.759705543518066,0.16475534439086914,5,1,1,0
timbrewm,8,1024,50,chinese:SSB0145,2,mean,"[304, 396, 411, 424, 783, 871, 964, 984]",392,0,-5.319732189178467,-5.175523281097412,0.1442089080810547,3,1,0,0
timbrewm,8,1024,50,chinese:SSB0145,2,fwp,"[304, 396, 411, 424, 783, 871, 964, 984]",296,0,-5.737491130828857,-5.309084415435791,0.4284067153930664,53,1,1,1
timbrewm,8,1024,51,chinese:SSB0149,0,mean,"[532, 562, 660, 725, 850, 918, 934, 946]",918,1,-4.9694976806640625,-5.01493501663208,-0.04543733596801758,1,0,0,0
timbrewm,8,1024,51,chinese:SSB0149,0,fwp,"[532, 562, 660, 725, 850, 918, 934, 946]",932,0,-5.007798194885254,-4.818193435668945,0.1896047592163086,9,1,1,1
timbrewm,8,1024,52,chinese:SSB0149,1,mean,"[84, 261, 406, 449, 527, 665, 766, 848]",469,0,-6.2695207595825195,-6.006345748901367,0.26317501068115234,55,1,1,1
timbrewm,8,1024,52,chinese:SSB0149,1,fwp,"[84, 261, 406, 449, 527, 665, 766, 848]",429,0,-6.454833030700684,-6.116935729980469,0.33789730072021484,150,1,1,1
timbrewm,8,1024,53,chinese:SSB0149,2,mean,"[65, 303, 331, 347, 394, 825, 957, 994]",363,0,-5.37088680267334,-5.345426559448242,0.025460243225097656,3,1,0,0
timbrewm,8,1024,53,chinese:SSB0149,2,fwp,"[65, 303, 331, 347, 394, 825, 957, 994]",424,0,-5.309825420379639,-5.0618510246276855,0.24797439575195312,28,1,1,1
timbrewm,8,1024,54,chinese:SSB0193,0,mean,"[25, 142, 347, 541, 633, 645, 664, 992]",665,0,-5.566137313842773,-5.34031867980957,0.22581863403320312,6,1,1,1
timbrewm,8,1024,54,chinese:SSB0193,0,fwp,"[25, 142, 347, 541, 633, 645, 664, 992]",457,0,-6.0394086837768555,-5.74323844909668,0.2961702346801758,57,1,1,1
timbrewm,8,1024,55,chinese:SSB0193,1,mean,"[39, 59, 80, 657, 714, 899, 916, 946]",658,0,-5.790840148925781,-5.649018287658691,0.14182186126708984,4,1,1,0
timbrewm,8,1024,55,chinese:SSB0193,1,fwp,"[39, 59, 80, 657, 714, 899, 916, 946]",185,0,-6.108414649963379,-5.798342227935791,0.3100724220275879,79,1,1,1
timbrewm,8,1024,56,chinese:SSB0193,2,mean,"[71, 164, 233, 404, 522, 550, 782, 938]",174,0,-5.901444435119629,-5.52706241607666,0.37438201904296875,25,1,1,1
timbrewm,8,1024,56,chinese:SSB0193,2,fwp,"[71, 164, 233, 404, 522, 550, 782, 938]",490,0,-5.9281511306762695,-5.761647701263428,0.1665034294128418,22,1,1,1
timbrewm,8,1024,57,chinese:SSB0197,0,mean,"[89, 91, 209, 251, 284, 723, 931, 935]",219,0,-5.574045658111572,-5.320540904998779,0.25350475311279297,5,1,1,0
timbrewm,8,1024,57,chinese:SSB0197,0,fwp,"[89, 91, 209, 251, 284, 723, 931, 935]",235,0,-5.941538333892822,-5.8582329750061035,0.08330535888671875,13,1,1,1
timbrewm,8,1024,58,chinese:SSB0197,1,mean,"[90, 102, 227, 235, 464, 577, 797, 939]",203,0,-5.744755268096924,-5.7315754890441895,0.013179779052734375,2,1,0,0
timbrewm,8,1024,58,chinese:SSB0197,1,fwp,"[90, 102, 227, 235, 464, 577, 797, 939]",458,0,-5.61995792388916,-5.51420783996582,0.10575008392333984,9,1,1,1
timbrewm,8,1024,59,chinese:SSB0197,2,mean,"[71, 120, 250, 678, 733, 785, 817, 887]",625,0,-6.356123447418213,-5.7521185874938965,0.6040048599243164,68,1,1,1
timbrewm,8,1024,59,chinese:SSB0197,2,fwp,"[71, 120, 250, 678, 733, 785, 817, 887]",1016,0,-5.590709686279297,-5.406876564025879,0.18383312225341797,27,1,1,1
timbrewm,8,1024,60,chinese:SSB0200,0,mean,"[69, 180, 228, 273, 339, 444, 946, 996]",500,0,-5.720722198486328,-5.335911273956299,0.3848109245300293,11,1,1,1
timbrewm,8,1024,60,chinese:SSB0200,0,fwp,"[69, 180, 228, 273, 339, 444, 946, 996]",996,1,-6.179036617279053,-6.205130100250244,-0.026093482971191406,1,0,0,0
timbrewm,8,1024,61,chinese:SSB0200,1,mean,"[153, 243, 332, 782, 790, 824, 908, 909]",908,1,-5.344768047332764,-5.404187202453613,-0.05941915512084961,1,0,0,0
timbrewm,8,1024,61,chinese:SSB0200,1,fwp,"[153, 243, 332, 782, 790, 824, 908, 909]",1001,0,-6.014869689941406,-5.816174030303955,0.19869565963745117,49,1,1,1
timbrewm,8,1024,62,chinese:SSB0200,2,mean,"[156, 259, 353, 509, 621, 687, 714, 1014]",1005,0,-6.105674743652344,-5.6939849853515625,0.41168975830078125,25,1,1,1
timbrewm,8,1024,62,chinese:SSB0200,2,fwp,"[156, 259, 353, 509, 621, 687, 714, 1014]",749,0,-5.402852535247803,-5.265414237976074,0.13743829727172852,9,1,1,1
timbrewm,8,1024,63,chinese:SSB0241,0,mean,"[35, 78, 203, 257, 502, 754, 807, 841]",363,0,-6.091804504394531,-5.852861404418945,0.23894309997558594,19,1,1,1
timbrewm,8,1024,63,chinese:SSB0241,0,fwp,"[35, 78, 203, 257, 502, 754, 807, 841]",418,0,-5.481295585632324,-5.099857807159424,0.3814377784729004,32,1,1,1
timbrewm,8,1024,64,chinese:SSB0241,1,mean,"[37, 95, 104, 115, 147, 243, 609, 613]",97,0,-5.208094596862793,-4.9360785484313965,0.2720160484313965,4,1,1,0
timbrewm,8,1024,64,chinese:SSB0241,1,fwp,"[37, 95, 104, 115, 147, 243, 609, 613]",73,0,-5.334593296051025,-5.145719051361084,0.1888742446899414,18,1,1,1
timbrewm,8,1024,65,chinese:SSB0241,2,mean,"[247, 316, 517, 623, 652, 679, 710, 857]",653,0,-5.903456687927246,-5.690896511077881,0.21256017684936523,10,1,1,1
