condition,system_count,tf_pct,attribution_margin,pesq,stoi,si_sdr,snr,tf_delta_pp_vs_aligned,pesq_delta_vs_aligned,stoi_delta_vs_aligned,si_sdr_delta_vs_aligned,snr_delta_vs_aligned
aligned,5,96.66666666666666,8.765293113393332,4.408216580666666,0.9904166520000001,27.37102226733333,27.507176740666665,0.0,0.0,0.0,0.0,0.0
pm10,5,97.73333333333332,8.32486972138,4.030473967000001,0.9756606783333334,11.104681152000001,10.450053226666666,1.0666666666666629,-0.3777426136666655,-0.0147559736666667,-16.26634111533333,-17.057123513999997
pm20,5,97.63333333333333,8.198444839859999,3.365842769333333,0.97111251,11.004017541,10.275405276666667,0.9666666666666686,-1.0423738113333334,-0.01930414200000008,-16.36700472633333,-17.231771463999998
pm50,5,96.66666666666667,7.518059583409999,2.3715836876666665,0.9634829323333334,11.031036165333333,10.358138158333334,1.4210854715202004e-14,-2.0366328929999997,-0.02693371966666669,-16.339986101999997,-17.149038582333333
