model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
wavmark,5,23,chinese:SSB0038,2,fwp,first_legitimate_watermarked_coalition_copy,4.5424,0.9999,44.07,1,1.0000,1
wavmark,5,24,chinese:SSB0043,0,mean,first_legitimate_watermarked_coalition_copy,4.4201,0.9984,41.14,1,1.0000,1
wavmark,5,24,chinese:SSB0043,0,fwp,first_legitimate_watermarked_coalition_copy,4.2814,0.9972,38.88,1,1.0000,1
wavmark,5,25,chinese:SSB0043,1,mean,first_legitimate_watermarked_coalition_copy,4.5195,0.9989,43.01,1,1.0000,1
wavmark,5,25,chinese:SSB0043,1,fwp,first_legitimate_watermarked_coalition_copy,4.4157,0.9975,38.96,1,1.0000,1
wavmark,5,26,chinese:SSB0043,2,mean,first_legitimate_watermarked_coalition_copy,4.5381,0.9986,42.03,1,1.0000,1
wavmark,5,26,chinese:SSB0043,2,fwp,first_legitimate_watermarked_coalition_copy,4.4886,0.9979,40.21,1,1.0000,1
wavmark,5,27,chinese:SSB0057,0,mean,first_legitimate_watermarked_coalition_copy,4.4920,0.9931,42.28,1,1.0000,1
wavmark,5,27,chinese:SSB0057,0,fwp,first_legitimate_watermarked_coalition_copy,4.5223,0.9956,44.45,1,1.0000,1
wavmark,5,28,chinese:SSB0057,1,mean,first_legitimate_watermarked_coalition_copy,4.5175,0.9938,43.83,1,1.0000,1
wavmark,5,28,chinese:SSB0057,1,fwp,first_legitimate_watermarked_coalition_copy,4.4091,0.9880,40.33,1,1.0000,1
wavmark,5,29,chinese:SSB0057,2,mean,first_legitimate_watermarked_coalition_copy,4.5315,0.9942,43.61,1,1.0000,1
wavmark,5,29,chinese:SSB0057,2,fwp,first_legitimate_watermarked_coalition_copy,4.4226,0.9894,40.84,1,1.0000,1
wavmark,5,30,chinese:SSB0073,0,mean,first_legitimate_watermarked_coalition_copy,4.5198,0.9998,44.70,1,1.0000,1
wavmark,5,30,chinese:SSB0073,0,fwp,first_legitimate_watermarked_coalition_copy,4.4419,0.9998,42.65,1,1.0000,1
wavmark,5,31,chinese:SSB0073,1,mean,first_legitimate_watermarked_coalition_copy,4.2743,0.9996,41.43,1,1.0000,1
wavmark,5,31,chinese:SSB0073,1,fwp,first_legitimate_watermarked_coalition_copy,4.4174,0.9998,44.20,1,1.0000,1
wavmark,5,32,chinese:SSB0073,2,mean,first_legitimate_watermarked_coalition_copy,4.4676,0.9998,43.55,1,1.0000,1
wavmark,5,32,chinese:SSB0073,2,fwp,first_legitimate_watermarked_coalition_copy,4.5024,0.9999,44.70,1,1.0000,1
wavmark,5,33,chinese:SSB0080,0,mean,first_legitimate_watermarked_coalition_copy,4.5347,0.9967,42.15,1,1.0000,1
wavmark,5,33,chinese:SSB0080,0,fwp,first_legitimate_watermarked_coalition_copy,4.5657,0.9976,44.38,1,1.0000,1
wavmark,5,34,chinese:SSB0080,1,mean,first_legitimate_watermarked_coalition_copy,4.4992,0.9959,41.47,1,1.0000,1
wavmark,5,34,chinese:SSB0080,1,fwp,first_legitimate_watermarked_coalition_copy,4.5445,0.9974,43.69,1,1.0000,1
wavmark,5,35,chinese:SSB0080,2,mean,first_legitimate_watermarked_coalition_copy,4.5303,0.9974,44.18,1,1.0000,1
wavmark,5,35,chinese:SSB0080,2,fwp,first_legitimate_watermarked_coalition_copy,4.5059,0.9967,42.47,1,1.0000,1
