model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
audioseal,5,20,chinese:SSB0033,2,fwp,first_legitimate_watermarked_coalition_copy,4.5449,0.9992,37.72,1,1.0000,1
audioseal,5,21,chinese:SSB0038,0,mean,first_legitimate_watermarked_coalition_copy,4.5870,0.9990,34.90,1,1.0000,1
audioseal,5,21,chinese:SSB0038,0,fwp,first_legitimate_watermarked_coalition_copy,4.5607,0.9988,32.66,1,1.0000,1
audioseal,5,22,chinese:SSB0038,1,mean,first_legitimate_watermarked_coalition_copy,4.5708,0.9991,32.46,1,1.0000,1
audioseal,5,22,chinese:SSB0038,1,fwp,first_legitimate_watermarked_coalition_copy,4.5756,0.9993,34.43,1,1.0000,1
audioseal,5,23,chinese:SSB0038,2,mean,first_legitimate_watermarked_coalition_copy,4.5850,0.9989,33.35,1,1.0000,1
audioseal,5,23,chinese:SSB0038,2,fwp,first_legitimate_watermarked_coalition_copy,4.5986,0.9993,35.25,1,1.0000,1
audioseal,5,24,chinese:SSB0043,0,mean,first_legitimate_watermarked_coalition_copy,4.5346,0.9988,32.73,1,1.0000,1
audioseal,5,24,chinese:SSB0043,0,fwp,first_legitimate_watermarked_coalition_copy,4.4855,0.9980,30.21,1,1.0000,1
audioseal,5,25,chinese:SSB0043,1,mean,first_legitimate_watermarked_coalition_copy,4.5748,0.9994,36.10,1,1.0000,1
audioseal,5,25,chinese:SSB0043,1,fwp,first_legitimate_watermarked_coalition_copy,4.5595,0.9987,33.39,1,1.0000,1
audioseal,5,26,chinese:SSB0043,2,mean,first_legitimate_watermarked_coalition_copy,4.5537,0.9986,33.75,1,1.0000,1
audioseal,5,26,chinese:SSB0043,2,fwp,first_legitimate_watermarked_coalition_copy,4.5688,0.9987,34.53,1,1.0000,1
audioseal,5,27,chinese:SSB0057,0,mean,first_legitimate_watermarked_coalition_copy,4.5816,0.9989,36.92,1,1.0000,1
audioseal,5,27,chinese:SSB0057,0,fwp,first_legitimate_watermarked_coalition_copy,4.6150,0.9994,38.61,1,1.0000,1
audioseal,5,28,chinese:SSB0057,1,mean,first_legitimate_watermarked_coalition_copy,4.6185,0.9995,40.85,1,1.0000,1
audioseal,5,28,chinese:SSB0057,1,fwp,first_legitimate_watermarked_coalition_copy,4.5752,0.9987,36.18,1,1.0000,1
audioseal,5,29,chinese:SSB0057,2,mean,first_legitimate_watermarked_coalition_copy,4.5989,0.9991,39.31,1,1.0000,1
audioseal,5,29,chinese:SSB0057,2,fwp,first_legitimate_watermarked_coalition_copy,4.5529,0.9983,35.15,1,1.0000,1
audioseal,5,30,chinese:SSB0073,0,mean,first_legitimate_watermarked_coalition_copy,4.6004,0.9998,31.75,1,1.0000,1
audioseal,5,30,chinese:SSB0073,0,fwp,first_legitimate_watermarked_coalition_copy,4.6032,0.9998,33.57,1,0.9999,1
audioseal,5,31,chinese:SSB0073,1,mean,first_legitimate_watermarked_coalition_copy,4.5863,0.9996,31.81,1,1.0000,1
audioseal,5,31,chinese:SSB0073,1,fwp,first_legitimate_watermarked_coalition_copy,4.5570,0.9993,29.23,1,0.9999,1
audioseal,5,32,chinese:SSB0073,2,mean,first_legitimate_watermarked_coalition_copy,4.6037,0.9998,33.45,1,1.0000,1
audioseal,5,32,chinese:SSB0073,2,fwp,first_legitimate_watermarked_coalition_copy,4.6094,0.9998,33.55,1,1.0000,1
audioseal,5,33,chinese:SSB0080,0,mean,first_legitimate_watermarked_coalition_copy,4.5648,0.9985,30.80,1,1.0000,1
audioseal,5,33,chinese:SSB0080,0,fwp,first_legitimate_watermarked_coalition_copy,4.5844,0.9991,31.95,1,1.0000,1
audioseal,5,34,chinese:SSB0080,1,mean,first_legitimate_watermarked_coalition_copy,4.5637,0.9982,29.22,1,1.0000,1
audioseal,5,34,chinese:SSB0080,1,fwp,first_legitimate_watermarked_coalition_copy,4.5884,0.9987,30.40,1,1.0000,1
