model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
timbrewm,2,0,chinese:SSB0005,1,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_01.wav,2,2,uniform,1,7,0.7000,4.4966,0.9967,34.63
timbrewm,2,1,chinese:SSB0005,2,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,2,2,uniform,1,8,0.8000,4.4429,0.9974,32.90
timbrewm,2,2,chinese:SSB0005,3,dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,2,uniform,0,10,1.0000,4.5798,0.9973,34.63
timbrewm,2,3,chinese:SSB0009,1,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,2,2,uniform,1,9,0.9000,4.6040,0.9988,33.49
timbrewm,2,4,chinese:SSB0009,2,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,2,2,uniform,1,7,0.7000,4.6098,0.9992,33.25
timbrewm,2,5,chinese:SSB0009,3,dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,2,2,uniform,1,9,0.9000,4.5149,0.9991,33.47
timbrewm,2,6,chinese:SSB0011,1,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,2,2,uniform,1,9,0.9000,4.5585,0.9970,32.47
timbrewm,2,7,chinese:SSB0011,2,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,2,2,uniform,1,7,0.7000,4.4474,0.9970,32.03
timbrewm,2,8,chinese:SSB0011,3,dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,2,2,uniform,1,7,0.7000,4.5715,0.9963,32.07
timbrewm,2,9,chinese:SSB0012,1,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,2,2,uniform,1,8,0.8000,4.5612,0.9978,33.50
timbrewm,2,10,chinese:SSB0012,2,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,2,2,uniform,1,8,0.8000,4.5171,0.9979,30.71
timbrewm,2,11,chinese:SSB0012,3,dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,2,2,uniform,1,9,0.9000,4.5947,0.9989,34.38
timbrewm,2,12,chinese:SSB0016,1,dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,2,2,uniform,1,9,0.9000,4.6128,0.9980,32.02
