family,condition,system,k,coalition_payloads,audio_path,evidence_path,pesq,stoi,si_sdr_db
offset,0,timbrewm,5,"[640, 789, 847, 846, 631]",conditions/offset/timbrewm/aligned.wav,data/supplementary/alignment/all_trials.csv,4.467663,0.993202,26.215475
offset,10,timbrewm,5,"[640, 789, 847, 846, 631]",conditions/offset/timbrewm/plus10.wav,data/supplementary/alignment/all_trials.csv,4.253011,0.973028,11.739361
offset,20,timbrewm,5,"[640, 789, 847, 846, 631]",conditions/offset/timbrewm/plus20.wav,data/supplementary/alignment/all_trials.csv,3.693959,0.968436,11.748178
offset,50,timbrewm,5,"[640, 789, 847, 846, 631]",conditions/offset/timbrewm/plus50.wav,data/supplementary/alignment/all_trials.csv,2.743588,0.959949,11.809488
codec,mp3_128k,timbrewm,5,"[640, 789, 847, 846, 631]",conditions/codec/timbrewm/mp3_128k.wav,data/supplementary/codec/all_trials.csv,4.467308,0.993197,26.201309
codec,none,timbrewm,5,"[640, 789, 847, 846, 631]",conditions/codec/timbrewm/none.wav,data/supplementary/codec/all_trials.csv,4.467663,0.993202,26.215475
codec,opus_64k,timbrewm,5,"[640, 789, 847, 846, 631]",conditions/codec/timbrewm/opus_64k.wav,data/supplementary/codec/all_trials.csv,4.418165,0.990078,22.592158
coalition_size,K=2,voicemark,2,"[24199, 31849]",conditions/coalition_size/voicemark/k2.wav,data/average/k2/voicemark.csv,3.574900,0.977800,14.330000
coalition_size,K=3,voicemark,3,"[52255, 17777, 62914]",conditions/coalition_size/voicemark/k3.wav,data/average/k3/voicemark.csv,4.270500,0.989100,13.360000
coalition_size,K=5,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/coalition_size/voicemark/k5.wav,data/average/k5/voicemark.csv,3.717000,0.972500,10.340000
coalition_size,K=8,voicemark,8,"[2322, 3134, 21174, 45243, 50027, 50086, 50834, 51485]",conditions/coalition_size/voicemark/k8.wav,data/average/k8/voicemark/trial_150.json,4.201891,0.980679,12.675495
offset,-10,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/voicemark/minus10.wav,data/supplementary/alignment/all_trials.csv,3.246639,0.944949,6.619261
offset,-20,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/voicemark/minus20.wav,data/supplementary/alignment/all_trials.csv,2.788730,0.937443,6.788801
offset,-50,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/voicemark/minus50.wav,data/supplementary/alignment/all_trials.csv,2.036973,0.926082,6.714892
offset,0,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/voicemark/aligned.wav,data/supplementary/alignment/all_trials.csv,3.716968,0.972502,10.342964
offset,10,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/voicemark/plus10.wav,data/supplementary/alignment/all_trials.csv,3.272906,0.944067,6.747082
offset,20,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/voicemark/plus20.wav,data/supplementary/alignment/all_trials.csv,3.075757,0.939987,6.625187
offset,50,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/offset/voicemark/plus50.wav,data/supplementary/alignment/all_trials.csv,2.412462,0.930505,6.718091
codec,mp3_128k,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/codec/voicemark/mp3_128k.wav,data/supplementary/codec/all_trials.csv,3.576400,0.972524,10.079962
codec,none,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/codec/voicemark/none.wav,data/supplementary/codec/all_trials.csv,3.716968,0.972502,10.342964
codec,opus_64k,voicemark,5,"[40973, 50527, 54258, 54171, 40406]",conditions/codec/voicemark/opus_64k.wav,data/supplementary/codec/all_trials.csv,3.714983,0.971448,10.280356
