model,n,pesq_avg,stoi_avg,si_sdr_avg,snr_avg
audioseal,1200,4.589471715215684,0.9989370954431394,35.18570180166667,35.28026164916667
wavmark,1200,4.54623270435079,0.9984941311721948,42.6571319425,42.75076085
timbrewm,1200,4.550126092676798,0.9972363923660655,32.01192503916666,32.10776884333333
voicemark,1200,4.133373853308996,0.9765112886723398,15.280103565833333,15.3494170175
wmcodec,1200,4.295865363290469,0.9856163436152773,14.785219864999998,15.050526926666668
