model,k,trial_id,speaker,clip_index,source_path,coalition_payloads,reference_payload,published_pesq,published_stoi,published_si_sdr,recomputed_si_sdr,snr,si_sdr_abs_error,visqol,si_sdr_for_table
voicemark,2,17,chinese:SSB0018,3,dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,"[15404, 16177]",15404,4.4832,0.986,22.34,22.342582,21.72834,0.002582,4.21029948,22.34
voicemark,2,18,chinese:SSB0033,1,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,"[30368, 57935]",30368,4.0539,0.9752,21.26,21.263366,19.876617,0.003366,3.61480716,21.26
voicemark,2,19,chinese:SSB0033,2,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,"[49478, 35582]",49478,4.1669,0.984,20.44,20.439498,19.699249,0.000502,3.66110756,20.44
voicemark,2,20,chinese:SSB0033,3,dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_03.wav,"[60455, 17004]",60455,4.2941,0.9889,20.61,20.606027,19.98144,0.003973,3.9413103,20.61
voicemark,2,21,chinese:SSB0038,1,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_01.wav,"[64133, 35867]",64133,4.2921,0.9769,17.92,17.923289,17.985943,0.003289,3.99138729,17.92
voicemark,2,22,chinese:SSB0038,2,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_02.wav,"[29683, 52453]",29683,4.4086,0.9805,17.52,17.518259,17.589125,0.001741,3.64841565,17.52
voicemark,2,23,chinese:SSB0038,3,dataset/collusion_300/chinese/SSB0038/chinese_SSB0038_03.wav,"[57097, 3970]",57097,4.4199,0.9814,19.15,19.151425,19.185607,0.001425,4.21161065,19.15
voicemark,2,24,chinese:SSB0043,1,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_01.wav,"[3662, 19866]",3662,4.0981,0.9553,15.95,15.9475,16.045093,0.0025,3.14239276,15.95
voicemark,2,25,chinese:SSB0043,2,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_02.wav,"[19106, 54309]",19106,4.3354,0.9733,19.34,19.341373,19.224211,0.001373,3.59821516,19.34
voicemark,2,26,chinese:SSB0043,3,dataset/collusion_300/chinese/SSB0043/chinese_SSB0043_03.wav,"[9996, 59584]",9996,3.8849,0.9494,16.93,16.931516,16.806397,0.001516,3.24783514,16.93
voicemark,2,27,chinese:SSB0057,1,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_01.wav,"[52517, 1646]",52517,4.215,0.9862,17.84,17.841538,17.440228,0.001538,4.34292634,17.84
voicemark,2,28,chinese:SSB0057,2,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_02.wav,"[59973, 35398]",59973,4.3689,0.9879,17.27,17.269841,17.286627,0.000159,3.76510577,17.27
voicemark,2,29,chinese:SSB0057,3,dataset/collusion_300/chinese/SSB0057/chinese_SSB0057_03.wav,"[50981, 62840]",50981,4.4023,0.9871,17.43,17.431823,17.0091,0.001823,4.07175811,17.43
voicemark,2,30,chinese:SSB0073,1,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_01.wav,"[744, 12838]",744,3.8171,0.979,13.29,13.287235,13.098782,0.002765,3.70074941,13.29
voicemark,2,31,chinese:SSB0073,2,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_02.wav,"[12723, 61842]",12723,4.0916,0.9701,16.17,16.169513,16.258326,0.000487,3.86935708,16.17
voicemark,2,32,chinese:SSB0073,3,dataset/collusion_300/chinese/SSB0073/chinese_SSB0073_03.wav,"[22936, 11126]",22936,4.259,0.9821,14.62,14.623723,14.76798,0.003723,4.15956355,14.62
voicemark,2,33,chinese:SSB0080,1,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_01.wav,"[29189, 21864]",29189,4.2554,0.9779,17.61,17.611332,17.644275,0.001332,3.66536858,17.61
voicemark,2,34,chinese:SSB0080,2,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_02.wav,"[57939, 21418]",57939,4.3735,0.982,19.72,19.724485,19.309065,0.004485,4.04337755,19.72
voicemark,2,35,chinese:SSB0080,3,dataset/collusion_300/chinese/SSB0080/chinese_SSB0080_03.wav,"[699, 15548]",699,4.4624,0.9888,19.74,19.739413,19.565578,0.000587,4.23345679,19.74
voicemark,2,36,chinese:SSB0112,1,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_01.wav,"[64182, 61978]",64182,4.4573,0.9868,20.33,20.325074,19.883113,0.004926,4.04995458,20.33
voicemark,2,37,chinese:SSB0112,2,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_02.wav,"[5936, 17452]",5936,4.3729,0.9853,16.52,16.52393,16.619412,0.00393,3.93769221,16.52
voicemark,2,38,chinese:SSB0112,3,dataset/collusion_300/chinese/SSB0112/chinese_SSB0112_03.wav,"[2875, 15269]",2875,4.4884,0.9868,18.26,18.256037,18.206151,0.003963,4.02961074,18.26
voicemark,2,39,chinese:SSB0122,1,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_01.wav,"[11545, 35385]",11545,3.8209,0.9751,16.76,16.760019,16.559151,1.9e-05,3.68303625,16.76
voicemark,2,40,chinese:SSB0122,2,dataset/collusion_300/chinese/SSB0122/chinese_SSB0122_02.wav,"[57303, 64222]",57303,4.3778,0.9927,18.6,18.602786,18.31732,0.002786,3.93619164,18.6
