model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
voicemark,5,4,chinese:SSB0016,0,mean,-50,4,1,30.21664241,2.1768,0.8942
voicemark,5,4,chinese:SSB0016,0,fwp,-50,4,1,7.90976703,1.5880,0.7413
voicemark,5,4,chinese:SSB0016,0,mean,50,4,1,31.42595297,2.8613,0.8828
voicemark,5,4,chinese:SSB0016,0,fwp,50,4,1,6.69357572,1.5540,0.6958
voicemark,5,5,chinese:SSB0018,0,mean,0,-1,1,26.42222569,4.1458,0.9694
voicemark,5,5,chinese:SSB0018,0,fwp,0,-1,1,19.51649067,3.8062,0.9570
voicemark,5,5,chinese:SSB0018,0,mean,-10,0,1,26.82221136,3.6687,0.9499
voicemark,5,5,chinese:SSB0018,0,fwp,-10,0,0,-5.43342377,2.3108,0.8669
voicemark,5,5,chinese:SSB0018,0,mean,10,0,1,25.25027560,3.8651,0.9509
voicemark,5,5,chinese:SSB0018,0,fwp,10,0,0,-5.44395466,2.2506,0.8637
voicemark,5,5,chinese:SSB0018,0,mean,-20,0,1,30.04924585,2.8193,0.9415
voicemark,5,5,chinese:SSB0018,0,fwp,-20,0,1,1.21290776,1.6207,0.8278
voicemark,5,5,chinese:SSB0018,0,mean,20,0,1,25.83073715,3.4522,0.9433
voicemark,5,5,chinese:SSB0018,0,fwp,20,0,1,3.90362347,1.7963,0.8268
voicemark,5,5,chinese:SSB0018,0,mean,-50,0,1,30.50112384,1.8310,0.9312
voicemark,5,5,chinese:SSB0018,0,fwp,-50,0,0,-1.50543600,1.2982,0.7828
voicemark,5,5,chinese:SSB0018,0,mean,50,0,1,25.79255651,2.3570,0.9332
voicemark,5,5,chinese:SSB0018,0,fwp,50,0,1,0.94256777,1.3197,0.7629
voicemark,5,6,chinese:SSB0033,0,mean,0,-1,1,19.17641437,4.3017,0.9805
voicemark,5,6,chinese:SSB0033,0,fwp,0,-1,1,16.58913410,3.9886,0.9686
voicemark,5,6,chinese:SSB0033,0,mean,-10,1,1,16.47712583,3.9285,0.9670
voicemark,5,6,chinese:SSB0033,0,fwp,-10,1,0,-1.06450641,2.3213,0.8700
voicemark,5,6,chinese:SSB0033,0,mean,10,1,1,15.32535829,4.0685,0.9675
voicemark,5,6,chinese:SSB0033,0,fwp,10,1,0,-2.35381702,2.3452,0.8708
voicemark,5,6,chinese:SSB0033,0,mean,-20,1,1,17.21065962,3.0436,0.9605
voicemark,5,6,chinese:SSB0033,0,fwp,-20,1,1,0.46113324,1.6374,0.8162
voicemark,5,6,chinese:SSB0033,0,mean,20,1,1,17.72013098,3.6385,0.9628
voicemark,5,6,chinese:SSB0033,0,fwp,20,1,0,-2.46236601,1.6397,0.8104
voicemark,5,6,chinese:SSB0033,0,mean,-50,1,1,13.47733166,2.1564,0.9542
voicemark,5,6,chinese:SSB0033,0,fwp,-50,1,0,-1.06008148,1.3954,0.7354
voicemark,5,6,chinese:SSB0033,0,mean,50,1,1,15.64000534,2.7391,0.9531
voicemark,5,6,chinese:SSB0033,0,fwp,50,1,0,-1.18576822,1.4156,0.7018
voicemark,5,7,chinese:SSB0038,0,mean,0,-1,1,16.58902880,4.3284,0.9727
voicemark,5,7,chinese:SSB0038,0,fwp,0,-1,1,16.75229344,4.2289,0.9829
voicemark,5,7,chinese:SSB0038,0,mean,-10,2,1,14.23755851,3.8812,0.9577
voicemark,5,7,chinese:SSB0038,0,fwp,-10,2,1,12.86558723,2.2256,0.8722
voicemark,5,7,chinese:SSB0038,0,mean,10,2,1,11.64892464,4.1453,0.9554
voicemark,5,7,chinese:SSB0038,0,fwp,10,2,1,12.23976737,2.2305,0.8636
voicemark,5,7,chinese:SSB0038,0,mean,-20,2,1,13.07919851,3.1723,0.9478
voicemark,5,7,chinese:SSB0038,0,fwp,-20,2,1,13.88364720,1.6695,0.7871
voicemark,5,7,chinese:SSB0038,0,mean,20,2,1,10.78602564,3.6560,0.9483
voicemark,5,7,chinese:SSB0038,0,fwp,20,2,1,5.81616390,1.7023,0.7891
voicemark,5,7,chinese:SSB0038,0,mean,-50,2,1,16.90229367,2.0728,0.9323
voicemark,5,7,chinese:SSB0038,0,fwp,-50,2,1,15.42950329,1.4152,0.7263
voicemark,5,7,chinese:SSB0038,0,mean,50,2,1,14.25799479,2.7056,0.9308
voicemark,5,7,chinese:SSB0038,0,fwp,50,2,1,8.57891425,1.3941,0.6889
voicemark,5,8,chinese:SSB0043,0,mean,0,-1,1,18.61883809,4.3543,0.9711
voicemark,5,8,chinese:SSB0043,0,fwp,0,-1,1,20.19652766,4.0090,0.9427
voicemark,5,8,chinese:SSB0043,0,mean,-10,3,1,12.62084025,3.7827,0.9481
voicemark,5,8,chinese:SSB0043,0,fwp,-10,3,1,3.64193538,1.7654,0.8010
voicemark,5,8,chinese:SSB0043,0,mean,10,3,1,14.63121035,3.9212,0.9488
voicemark,5,8,chinese:SSB0043,0,fwp,10,3,1,4.45274140,1.7380,0.7992
voicemark,5,8,chinese:SSB0043,0,mean,-20,3,1,15.88647162,3.0290,0.9412
voicemark,5,8,chinese:SSB0043,0,fwp,-20,3,1,9.42967157,1.8327,0.7820
voicemark,5,8,chinese:SSB0043,0,mean,20,3,1,14.85694163,3.6640,0.9409
voicemark,5,8,chinese:SSB0043,0,fwp,20,3,1,8.70916866,1.8503,0.7762
voicemark,5,8,chinese:SSB0043,0,mean,-50,3,1,11.93595856,2.0266,0.9163
voicemark,5,8,chinese:SSB0043,0,fwp,-50,3,1,9.40253440,1.3309,0.6647
voicemark,5,8,chinese:SSB0043,0,mean,50,3,1,14.29547075,2.5845,0.9182
voicemark,5,8,chinese:SSB0043,0,fwp,50,3,1,4.84371933,1.3431,0.6330
voicemark,5,9,chinese:SSB0057,0,mean,0,-1,1,22.38134536,3.8303,0.9649
voicemark,5,9,chinese:SSB0057,0,fwp,0,-1,1,3.42626751,3.3294,0.9498
voicemark,5,9,chinese:SSB0057,0,mean,-10,4,1,11.19023452,3.4660,0.9479
voicemark,5,9,chinese:SSB0057,0,fwp,-10,4,1,17.61916800,2.2354,0.8683
voicemark,5,9,chinese:SSB0057,0,mean,10,4,1,11.17667785,3.4785,0.9486
voicemark,5,9,chinese:SSB0057,0,fwp,10,4,1,11.74769366,2.0478,0.8668
voicemark,5,9,chinese:SSB0057,0,mean,-20,4,1,12.55477795,2.9020,0.9442
voicemark,5,9,chinese:SSB0057,0,fwp,-20,4,1,7.99139004,1.8342,0.8200
voicemark,5,9,chinese:SSB0057,0,mean,20,4,1,16.40007117,3.2428,0.9440
voicemark,5,9,chinese:SSB0057,0,fwp,20,4,1,10.86677133,1.7471,0.8130
voicemark,5,9,chinese:SSB0057,0,mean,-50,4,1,18.76662147,2.0622,0.9301
voicemark,5,9,chinese:SSB0057,0,fwp,-50,4,0,-0.50105101,1.4818,0.7533
voicemark,5,9,chinese:SSB0057,0,mean,50,4,1,14.91784359,2.6402,0.9272
voicemark,5,9,chinese:SSB0057,0,fwp,50,4,1,13.64551884,1.4462,0.7354
voicemark,5,10,chinese:SSB0073,0,mean,0,-1,1,4.39009360,3.3477,0.9513
voicemark,5,10,chinese:SSB0073,0,fwp,0,-1,1,5.50590968,3.0345,0.9384
voicemark,5,10,chinese:SSB0073,0,mean,-10,0,1,1.98550123,2.9895,0.9256
voicemark,5,10,chinese:SSB0073,0,fwp,-10,0,1,11.80261265,1.8876,0.8110
voicemark,5,10,chinese:SSB0073,0,mean,10,0,1,2.54769236,2.9660,0.9273
voicemark,5,10,chinese:SSB0073,0,fwp,10,0,1,9.62951250,1.9448,0.8214
voicemark,5,10,chinese:SSB0073,0,mean,-20,0,1,5.61014585,2.5784,0.9204
voicemark,5,10,chinese:SSB0073,0,fwp,-20,0,1,16.27427537,1.6831,0.7974
voicemark,5,10,chinese:SSB0073,0,mean,20,0,1,5.26808771,2.8718,0.9229
voicemark,5,10,chinese:SSB0073,0,fwp,20,0,1,8.48037449,1.6426,0.8109
voicemark,5,10,chinese:SSB0073,0,mean,-50,0,1,9.05559385,1.9846,0.9124
voicemark,5,10,chinese:SSB0073,0,fwp,-50,0,1,18.98230461,1.4470,0.7236
voicemark,5,10,chinese:SSB0073,0,mean,50,0,1,3.58746904,2.5476,0.9147
voicemark,5,10,chinese:SSB0073,0,fwp,50,0,1,7.31488844,1.5257,0.7218
voicemark,5,11,chinese:SSB0080,0,mean,0,-1,1,12.45923208,4.1858,0.9664
voicemark,5,11,chinese:SSB0080,0,fwp,0,-1,1,14.31280527,3.9080,0.9470
voicemark,5,11,chinese:SSB0080,0,mean,-10,1,1,10.39144121,3.7684,0.9527
voicemark,5,11,chinese:SSB0080,0,fwp,-10,1,1,16.30183853,2.0040,0.8316
voicemark,5,11,chinese:SSB0080,0,mean,10,1,1,13.17228505,3.9800,0.9519
voicemark,5,11,chinese:SSB0080,0,fwp,10,1,1,16.12426159,2.0060,0.8316
voicemark,5,11,chinese:SSB0080,0,mean,-20,1,1,13.84496687,3.1746,0.9447
voicemark,5,11,chinese:SSB0080,0,fwp,-20,1,1,14.54134385,1.6164,0.7780
voicemark,5,11,chinese:SSB0080,0,mean,20,1,1,14.32667328,3.7626,0.9470
voicemark,5,11,chinese:SSB0080,0,fwp,20,1,1,14.53694963,1.6022,0.7802
voicemark,5,11,chinese:SSB0080,0,mean,-50,1,1,14.53853055,2.2563,0.9386
voicemark,5,11,chinese:SSB0080,0,fwp,-50,1,1,15.99503887,1.3068,0.7186
voicemark,5,11,chinese:SSB0080,0,mean,50,1,1,16.62283685,2.7558,0.9411
voicemark,5,11,chinese:SSB0080,0,fwp,50,1,1,17.60748684,1.3419,0.7102
voicemark,5,12,chinese:SSB0112,0,mean,0,-1,1,30.17264345,4.0884,0.9674
voicemark,5,12,chinese:SSB0112,0,fwp,0,-1,1,16.53675253,3.9438,0.9723
voicemark,5,12,chinese:SSB0112,0,mean,-10,2,1,27.57393078,3.6565,0.9549
voicemark,5,12,chinese:SSB0112,0,fwp,-10,2,1,9.61771308,2.2379,0.8625
voicemark,5,12,chinese:SSB0112,0,mean,10,2,1,28.00255555,3.8561,0.9539
voicemark,5,12,chinese:SSB0112,0,fwp,10,2,1,9.66615294,2.2169,0.8591
voicemark,5,12,chinese:SSB0112,0,mean,-20,2,1,26.56323043,2.9070,0.9483
voicemark,5,12,chinese:SSB0112,0,fwp,-20,2,1,7.34996225,1.6276,0.8091
voicemark,5,12,chinese:SSB0112,0,mean,20,2,1,26.16520904,3.5101,0.9485
voicemark,5,12,chinese:SSB0112,0,fwp,20,2,1,9.91040997,1.7522,0.8013
voicemark,5,12,chinese:SSB0112,0,mean,-50,2,1,28.45193115,1.9584,0.9382
voicemark,5,12,chinese:SSB0112,0,fwp,-50,2,1,12.56704230,1.3867,0.7521
voicemark,5,12,chinese:SSB0112,0,mean,50,2,1,29.93057576,2.6890,0.9347
voicemark,5,12,chinese:SSB0112,0,fwp,50,2,1,14.95214549,1.4777,0.7139
voicemark,5,13,chinese:SSB0122,0,mean,0,-1,1,31.89122890,4.1709,0.9732
voicemark,5,13,chinese:SSB0122,0,fwp,0,-1,1,29.61417634,3.5967,0.9534
voicemark,5,13,chinese:SSB0122,0,mean,-10,3,1,24.83922828,3.7515,0.9617
voicemark,5,13,chinese:SSB0122,0,fwp,-10,3,1,22.12737146,2.1353,0.8628
voicemark,5,13,chinese:SSB0122,0,mean,10,3,1,26.20447765,3.9541,0.9624
voicemark,5,13,chinese:SSB0122,0,fwp,10,3,1,25.22429905,2.1673,0.8609
voicemark,5,13,chinese:SSB0122,0,mean,-20,3,1,25.28768574,2.8751,0.9547
voicemark,5,13,chinese:SSB0122,0,fwp,-20,3,1,28.45184837,1.5232,0.7938
voicemark,5,13,chinese:SSB0122,0,mean,20,3,1,24.42770850,3.5250,0.9548
voicemark,5,13,chinese:SSB0122,0,fwp,20,3,1,28.89458344,1.5685,0.7918
voicemark,5,13,chinese:SSB0122,0,mean,-50,3,1,28.64490762,1.8927,0.9455
voicemark,5,13,chinese:SSB0122,0,fwp,-50,3,1,27.38850989,1.2231,0.7355
voicemark,5,13,chinese:SSB0122,0,mean,50,3,1,25.22208680,2.4926,0.9469
voicemark,5,13,chinese:SSB0122,0,fwp,50,3,1,29.92202027,1.2795,0.7191
voicemark,5,14,chinese:SSB0133,0,mean,0,-1,1,27.54499231,4.1654,0.9666
voicemark,5,14,chinese:SSB0133,0,fwp,0,-1,1,22.39954967,3.6782,0.9454
voicemark,5,14,chinese:SSB0133,0,mean,-10,4,1,25.24354357,3.6504,0.9503
voicemark,5,14,chinese:SSB0133,0,fwp,-10,4,1,9.73229193,1.6799,0.8443
voicemark,5,14,chinese:SSB0133,0,mean,10,4,1,24.34192437,3.7620,0.9505
voicemark,5,14,chinese:SSB0133,0,fwp,10,4,1,9.44430744,1.6656,0.8435
voicemark,5,14,chinese:SSB0133,0,mean,-20,4,1,27.04998497,2.9320,0.9468
voicemark,5,14,chinese:SSB0133,0,fwp,-20,4,1,8.53109960,1.6281,0.8250
voicemark,5,14,chinese:SSB0133,0,mean,20,4,1,30.32586139,3.3184,0.9474
voicemark,5,14,chinese:SSB0133,0,fwp,20,4,1,7.14540861,1.5999,0.8142
voicemark,5,14,chinese:SSB0133,0,mean,-50,4,1,22.84915879,1.9172,0.9400
voicemark,5,14,chinese:SSB0133,0,fwp,-50,4,1,7.09416700,1.3264,0.7478
voicemark,5,14,chinese:SSB0133,0,mean,50,4,1,24.40846007,2.5196,0.9404
voicemark,5,14,chinese:SSB0133,0,fwp,50,4,1,9.15153237,1.2590,0.7127
voicemark,5,15,chinese:SSB0139,0,mean,0,-1,1,13.14791862,4.0413,0.9745
voicemark,5,15,chinese:SSB0139,0,fwp,0,-1,1,10.97955595,4.0319,0.9821
voicemark,5,15,chinese:SSB0139,0,mean,-10,0,1,13.29512209,3.4449,0.9481
voicemark,5,15,chinese:SSB0139,0,fwp,-10,0,1,6.45218946,1.8653,0.8230
voicemark,5,15,chinese:SSB0139,0,mean,10,0,1,13.36882074,3.5414,0.9506
voicemark,5,15,chinese:SSB0139,0,fwp,10,0,1,9.70769497,1.7915,0.8300
voicemark,5,15,chinese:SSB0139,0,mean,-20,0,1,13.22388903,2.7810,0.9430
voicemark,5,15,chinese:SSB0139,0,fwp,-20,0,1,9.06008313,1.6059,0.8236
voicemark,5,15,chinese:SSB0139,0,mean,20,0,1,13.03638643,3.2034,0.9460
voicemark,5,15,chinese:SSB0139,0,fwp,20,0,1,11.34458743,1.6167,0.8267
voicemark,5,15,chinese:SSB0139,0,mean,-50,0,1,12.87523128,1.9291,0.9319
voicemark,5,15,chinese:SSB0139,0,fwp,-50,0,1,13.82177539,1.3791,0.7173
voicemark,5,15,chinese:SSB0139,0,mean,50,0,1,12.06656244,2.3946,0.9303
voicemark,5,15,chinese:SSB0139,0,fwp,50,0,1,15.88092287,1.3746,0.6961
voicemark,5,16,chinese:SSB0145,0,mean,0,-1,1,31.93753982,3.9465,0.9690
voicemark,5,16,chinese:SSB0145,0,fwp,0,-1,1,14.26004946,3.3658,0.9539
voicemark,5,16,chinese:SSB0145,0,mean,-10,1,1,31.58902658,3.4651,0.9538
voicemark,5,16,chinese:SSB0145,0,fwp,-10,1,1,1.98465741,1.8885,0.8548
voicemark,5,16,chinese:SSB0145,0,mean,10,1,1,30.69946210,3.5946,0.9546
voicemark,5,16,chinese:SSB0145,0,fwp,10,1,1,3.17274871,1.9281,0.8609
voicemark,5,16,chinese:SSB0145,0,mean,-20,1,1,28.81976280,2.7723,0.9470
voicemark,5,16,chinese:SSB0145,0,fwp,-20,1,1,4.70592106,1.6373,0.8176
