model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
timbrewm,5,4,chinese:SSB0016,0,fwp,20,4,0,-0.00575209,1.7863,0.8302
timbrewm,5,4,chinese:SSB0016,0,mean,-50,4,1,0.14520168,2.5973,0.9684
timbrewm,5,4,chinese:SSB0016,0,fwp,-50,4,1,0.02360868,1.4609,0.7557
timbrewm,5,4,chinese:SSB0016,0,mean,50,4,1,0.25479841,3.1546,0.9691
timbrewm,5,4,chinese:SSB0016,0,fwp,50,4,1,0.01738834,1.4680,0.7308
timbrewm,5,5,chinese:SSB0018,0,mean,0,-1,1,0.49929285,4.5425,0.9969
timbrewm,5,5,chinese:SSB0018,0,fwp,0,-1,1,0.05931234,4.5063,0.9973
timbrewm,5,5,chinese:SSB0018,0,mean,-10,0,1,0.59962559,3.9443,0.9784
timbrewm,5,5,chinese:SSB0018,0,fwp,-10,0,1,0.17643642,2.4022,0.8520
timbrewm,5,5,chinese:SSB0018,0,mean,10,0,1,0.60235214,4.3341,0.9782
timbrewm,5,5,chinese:SSB0018,0,fwp,10,0,1,0.42090273,2.3366,0.8516
timbrewm,5,5,chinese:SSB0018,0,mean,-20,0,1,0.53288269,3.1197,0.9742
timbrewm,5,5,chinese:SSB0018,0,fwp,-20,0,1,0.00948954,1.7719,0.8126
timbrewm,5,5,chinese:SSB0018,0,mean,20,0,1,0.50103378,3.9217,0.9758
timbrewm,5,5,chinese:SSB0018,0,fwp,20,0,1,0.22962093,1.7792,0.8104
timbrewm,5,5,chinese:SSB0018,0,mean,-50,0,1,0.29426622,2.1159,0.9689
timbrewm,5,5,chinese:SSB0018,0,fwp,-50,0,1,0.01050186,1.3292,0.7550
timbrewm,5,5,chinese:SSB0018,0,mean,50,0,1,0.52176857,2.6859,0.9699
timbrewm,5,5,chinese:SSB0018,0,fwp,50,0,1,0.19642115,1.3306,0.7394
timbrewm,5,6,chinese:SSB0033,0,mean,0,-1,1,0.36466599,4.5256,0.9982
timbrewm,5,6,chinese:SSB0033,0,fwp,0,-1,0,-0.02607059,4.5156,0.9984
timbrewm,5,6,chinese:SSB0033,0,mean,-10,1,1,0.11376381,4.1147,0.9849
timbrewm,5,6,chinese:SSB0033,0,fwp,-10,1,0,-0.13560820,2.2858,0.8822
timbrewm,5,6,chinese:SSB0033,0,mean,10,1,1,0.08908796,4.3975,0.9844
timbrewm,5,6,chinese:SSB0033,0,fwp,10,1,0,-0.07187080,2.3112,0.8805
timbrewm,5,6,chinese:SSB0033,0,mean,-20,1,1,0.10618019,3.2087,0.9810
timbrewm,5,6,chinese:SSB0033,0,fwp,-20,1,0,-0.10492706,1.6004,0.8333
timbrewm,5,6,chinese:SSB0033,0,mean,20,1,1,0.03355360,3.8716,0.9817
timbrewm,5,6,chinese:SSB0033,0,fwp,20,1,0,-0.00933218,1.6442,0.8320
timbrewm,5,6,chinese:SSB0033,0,mean,-50,1,1,0.36544180,2.3207,0.9751
timbrewm,5,6,chinese:SSB0033,0,fwp,-50,1,0,-0.09949207,1.3921,0.7578
timbrewm,5,6,chinese:SSB0033,0,mean,50,1,1,0.12002468,3.0476,0.9764
timbrewm,5,6,chinese:SSB0033,0,fwp,50,1,1,0.15360260,1.3950,0.7420
timbrewm,5,7,chinese:SSB0038,0,mean,0,-1,1,0.73590755,4.6068,0.9969
timbrewm,5,7,chinese:SSB0038,0,fwp,0,-1,1,0.21077967,4.5848,0.9961
timbrewm,5,7,chinese:SSB0038,0,mean,-10,2,1,0.34136057,4.1483,0.9846
timbrewm,5,7,chinese:SSB0038,0,fwp,-10,2,1,0.25249052,2.4775,0.8892
timbrewm,5,7,chinese:SSB0038,0,mean,10,2,1,0.29552698,4.4261,0.9843
timbrewm,5,7,chinese:SSB0038,0,fwp,10,2,1,0.45221281,2.5886,0.8896
timbrewm,5,7,chinese:SSB0038,0,mean,-20,2,1,0.43998051,3.4022,0.9784
timbrewm,5,7,chinese:SSB0038,0,fwp,-20,2,1,0.26051807,1.6915,0.7991
timbrewm,5,7,chinese:SSB0038,0,mean,20,2,1,0.38189077,3.9180,0.9781
timbrewm,5,7,chinese:SSB0038,0,fwp,20,2,1,0.36602688,1.7033,0.8069
timbrewm,5,7,chinese:SSB0038,0,mean,-50,2,1,0.65165901,2.2007,0.9725
timbrewm,5,7,chinese:SSB0038,0,fwp,-50,2,1,0.11254311,1.3940,0.7501
timbrewm,5,7,chinese:SSB0038,0,mean,50,2,1,0.40435934,3.0045,0.9740
timbrewm,5,7,chinese:SSB0038,0,fwp,50,2,1,0.27639675,1.3996,0.7081
timbrewm,5,8,chinese:SSB0043,0,mean,0,-1,1,0.68519688,4.4844,0.9958
timbrewm,5,8,chinese:SSB0043,0,fwp,0,-1,1,0.29578447,4.1921,0.9920
timbrewm,5,8,chinese:SSB0043,0,mean,-10,3,1,0.66883087,4.1052,0.9793
timbrewm,5,8,chinese:SSB0043,0,fwp,-10,3,1,0.26406050,1.8644,0.8386
timbrewm,5,8,chinese:SSB0043,0,mean,10,3,1,0.64746571,4.2982,0.9795
timbrewm,5,8,chinese:SSB0043,0,fwp,10,3,1,0.28988075,1.8738,0.8387
timbrewm,5,8,chinese:SSB0043,0,mean,-20,3,1,0.74845695,3.3965,0.9763
timbrewm,5,8,chinese:SSB0043,0,fwp,-20,3,1,0.19975376,1.8495,0.8191
timbrewm,5,8,chinese:SSB0043,0,mean,20,3,1,0.72479153,3.9771,0.9772
timbrewm,5,8,chinese:SSB0043,0,fwp,20,3,1,0.14827681,1.8314,0.8284
timbrewm,5,8,chinese:SSB0043,0,mean,-50,3,1,0.71715307,2.4105,0.9714
timbrewm,5,8,chinese:SSB0043,0,fwp,-50,3,1,0.00021601,1.3886,0.7453
timbrewm,5,8,chinese:SSB0043,0,mean,50,3,1,0.69500637,3.0877,0.9723
timbrewm,5,8,chinese:SSB0043,0,fwp,50,3,1,0.15670395,1.3924,0.7145
timbrewm,5,9,chinese:SSB0057,0,mean,0,-1,0,-0.07612324,4.5588,0.9969
timbrewm,5,9,chinese:SSB0057,0,fwp,0,-1,1,0.24770069,4.5854,0.9979
timbrewm,5,9,chinese:SSB0057,0,mean,-10,4,1,0.05532360,4.2478,0.9853
timbrewm,5,9,chinese:SSB0057,0,fwp,-10,4,1,0.03674507,2.7011,0.8978
timbrewm,5,9,chinese:SSB0057,0,mean,10,4,1,0.07436657,4.4346,0.9854
timbrewm,5,9,chinese:SSB0057,0,fwp,10,4,1,0.12665272,2.7559,0.8955
timbrewm,5,9,chinese:SSB0057,0,mean,-20,4,0,-0.02766514,3.6088,0.9825
timbrewm,5,9,chinese:SSB0057,0,fwp,-20,4,0,-0.00543785,1.9845,0.8457
timbrewm,5,9,chinese:SSB0057,0,mean,20,4,1,0.02654314,4.0422,0.9821
timbrewm,5,9,chinese:SSB0057,0,fwp,20,4,1,0.11132908,1.9942,0.8396
timbrewm,5,9,chinese:SSB0057,0,mean,-50,4,0,-0.02104378,2.3463,0.9747
timbrewm,5,9,chinese:SSB0057,0,fwp,-50,4,0,-0.04415083,1.5701,0.7815
timbrewm,5,9,chinese:SSB0057,0,mean,50,4,0,-0.02635193,3.1137,0.9753
timbrewm,5,9,chinese:SSB0057,0,fwp,50,4,1,0.08533287,1.5703,0.7702
timbrewm,5,10,chinese:SSB0073,0,mean,0,-1,1,0.11294365,4.6039,0.9988
timbrewm,5,10,chinese:SSB0073,0,fwp,0,-1,1,0.09026957,4.5053,0.9965
timbrewm,5,10,chinese:SSB0073,0,mean,-10,0,1,0.47298193,4.1873,0.9821
timbrewm,5,10,chinese:SSB0073,0,fwp,-10,0,1,0.06089306,2.3870,0.8506
timbrewm,5,10,chinese:SSB0073,0,mean,10,0,1,0.52401781,4.4013,0.9822
timbrewm,5,10,chinese:SSB0073,0,fwp,10,0,1,0.12498522,2.3441,0.8487
timbrewm,5,10,chinese:SSB0073,0,mean,-20,0,1,0.24289656,3.5016,0.9779
timbrewm,5,10,chinese:SSB0073,0,fwp,-20,0,1,0.01076746,1.7786,0.8270
timbrewm,5,10,chinese:SSB0073,0,mean,20,0,1,0.33578444,4.0719,0.9785
timbrewm,5,10,chinese:SSB0073,0,fwp,20,0,1,0.17976284,1.8209,0.8286
timbrewm,5,10,chinese:SSB0073,0,mean,-50,0,1,0.17365074,2.6177,0.9731
timbrewm,5,10,chinese:SSB0073,0,fwp,-50,0,0,-0.06113625,1.5673,0.7483
timbrewm,5,10,chinese:SSB0073,0,mean,50,0,1,0.32016087,3.3434,0.9740
timbrewm,5,10,chinese:SSB0073,0,fwp,50,0,0,-0.01612759,1.6027,0.7362
timbrewm,5,11,chinese:SSB0080,0,mean,0,-1,1,0.42351913,4.4324,0.9955
timbrewm,5,11,chinese:SSB0080,0,fwp,0,-1,1,0.16967297,4.2092,0.9965
timbrewm,5,11,chinese:SSB0080,0,mean,-10,1,1,0.34236145,4.0841,0.9777
timbrewm,5,11,chinese:SSB0080,0,fwp,-10,1,1,0.07976294,2.2159,0.8526
timbrewm,5,11,chinese:SSB0080,0,mean,10,1,1,0.35960722,4.3405,0.9766
timbrewm,5,11,chinese:SSB0080,0,fwp,10,1,1,0.00593948,2.1680,0.8535
