model,K,trial_id,spk,local_t,method,shift_ms,shifted_colluder_index,ASR,attribution_margin,PESQ,STOI
wavmark,5,4,chinese:SSB0016,0,mean,-50,4,1,5.00000000,2.3112,0.9746
wavmark,5,4,chinese:SSB0016,0,fwp,-50,4,1,3.00000000,1.4390,0.7564
wavmark,5,4,chinese:SSB0016,0,mean,50,4,1,4.00000000,3.1142,0.9759
wavmark,5,4,chinese:SSB0016,0,fwp,50,4,1,3.00000000,1.4291,0.7417
wavmark,5,5,chinese:SSB0018,0,mean,0,-1,1,4.00000000,4.5037,0.9994
wavmark,5,5,chinese:SSB0018,0,fwp,0,-1,1,5.00000000,4.5081,0.9996
wavmark,5,5,chinese:SSB0018,0,mean,-10,0,1,3.00000000,3.9379,0.9826
wavmark,5,5,chinese:SSB0018,0,fwp,-10,0,1,2.00000000,2.4778,0.8598
wavmark,5,5,chinese:SSB0018,0,mean,10,0,1,3.00000000,4.3095,0.9829
wavmark,5,5,chinese:SSB0018,0,fwp,10,0,1,4.00000000,2.3755,0.8596
wavmark,5,5,chinese:SSB0018,0,mean,-20,0,1,3.00000000,3.0276,0.9781
wavmark,5,5,chinese:SSB0018,0,fwp,-20,0,1,3.00000000,1.7939,0.8200
wavmark,5,5,chinese:SSB0018,0,mean,20,0,1,3.00000000,3.9559,0.9795
wavmark,5,5,chinese:SSB0018,0,fwp,20,0,1,1.00000000,1.7931,0.8141
wavmark,5,5,chinese:SSB0018,0,mean,-50,0,1,4.00000000,1.9657,0.9720
wavmark,5,5,chinese:SSB0018,0,fwp,-50,0,0,-1.00000000,1.3339,0.7683
wavmark,5,5,chinese:SSB0018,0,mean,50,0,1,4.00000000,2.6888,0.9734
wavmark,5,5,chinese:SSB0018,0,fwp,50,0,1,3.00000000,1.3354,0.7476
wavmark,5,6,chinese:SSB0033,0,mean,0,-1,1,3.00000000,4.3764,0.9996
wavmark,5,6,chinese:SSB0033,0,fwp,0,-1,1,3.00000000,4.2574,0.9994
wavmark,5,6,chinese:SSB0033,0,mean,-10,1,1,4.00000000,3.9770,0.9864
wavmark,5,6,chinese:SSB0033,0,fwp,-10,1,1,3.00000000,2.2310,0.8874
wavmark,5,6,chinese:SSB0033,0,mean,10,1,1,4.00000000,4.2629,0.9861
wavmark,5,6,chinese:SSB0033,0,fwp,10,1,1,3.00000000,2.2416,0.8868
wavmark,5,6,chinese:SSB0033,0,mean,-20,1,1,4.00000000,2.9887,0.9824
wavmark,5,6,chinese:SSB0033,0,fwp,-20,1,1,4.00000000,1.6252,0.8384
wavmark,5,6,chinese:SSB0033,0,mean,20,1,1,4.00000000,3.8026,0.9834
wavmark,5,6,chinese:SSB0033,0,fwp,20,1,1,3.00000000,1.5993,0.8373
