model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
timbrewm,5,8,chinese:SSB0011,2,mean,opus_64k,Opus 64 kbps,0,-0.02792692,4.4774,0.9957,29.75
timbrewm,5,8,chinese:SSB0011,2,fwp,opus_64k,Opus 64 kbps,1,0.15596247,4.3268,0.9963,29.29
timbrewm,5,9,chinese:SSB0012,0,mean,none,none,1,0.20881605,4.5452,0.9973,33.32
timbrewm,5,9,chinese:SSB0012,0,fwp,none,none,1,0.09710979,4.5776,0.9980,34.08
timbrewm,5,9,chinese:SSB0012,0,mean,mp3_128k,MP3 128 kbps,1,0.33294678,4.4263,0.9973,29.55
timbrewm,5,9,chinese:SSB0012,0,fwp,mp3_128k,MP3 128 kbps,1,0.40043688,4.4457,0.9980,29.83
timbrewm,5,9,chinese:SSB0012,0,mean,opus_64k,Opus 64 kbps,1,0.24456835,4.5399,0.9971,30.77
timbrewm,5,9,chinese:SSB0012,0,fwp,opus_64k,Opus 64 kbps,1,0.18188095,4.3977,0.9936,28.19
timbrewm,5,10,chinese:SSB0012,1,mean,none,none,1,0.67098045,4.4436,0.9958,31.43
timbrewm,5,10,chinese:SSB0012,1,fwp,none,none,1,0.18715906,4.5087,0.9971,32.91
timbrewm,5,10,chinese:SSB0012,1,mean,mp3_128k,MP3 128 kbps,1,0.05113888,4.3543,0.9958,29.04
timbrewm,5,10,chinese:SSB0012,1,fwp,mp3_128k,MP3 128 kbps,1,0.34926128,4.4061,0.9971,29.82
timbrewm,5,10,chinese:SSB0012,1,mean,opus_64k,Opus 64 kbps,1,0.66611671,4.4425,0.9956,29.83
timbrewm,5,10,chinese:SSB0012,1,fwp,opus_64k,Opus 64 kbps,1,0.19145060,4.5027,0.9967,30.29
timbrewm,5,11,chinese:SSB0012,2,mean,none,none,1,0.66001558,4.4823,0.9962,29.94
timbrewm,5,11,chinese:SSB0012,2,fwp,none,none,1,0.29197693,4.5694,0.9978,32.27
timbrewm,5,11,chinese:SSB0012,2,mean,mp3_128k,MP3 128 kbps,1,0.23458767,4.3941,0.9962,28.16
timbrewm,5,11,chinese:SSB0012,2,fwp,mp3_128k,MP3 128 kbps,1,0.34925652,4.4572,0.9978,29.52
timbrewm,5,11,chinese:SSB0012,2,mean,opus_64k,Opus 64 kbps,1,0.65823460,4.4818,0.9959,28.73
timbrewm,5,11,chinese:SSB0012,2,fwp,opus_64k,Opus 64 kbps,1,0.26782846,4.5578,0.9974,29.87
timbrewm,5,12,chinese:SSB0016,0,mean,none,none,1,0.13647223,4.3987,0.9896,24.34
timbrewm,5,12,chinese:SSB0016,0,fwp,none,none,0,-0.02850628,4.3693,0.9938,25.47
timbrewm,5,12,chinese:SSB0016,0,mean,mp3_128k,MP3 128 kbps,1,0.30594349,4.3648,0.9896,23.90
timbrewm,5,12,chinese:SSB0016,0,fwp,mp3_128k,MP3 128 kbps,1,0.19648170,4.3170,0.9938,24.88
timbrewm,5,12,chinese:SSB0016,0,mean,opus_64k,Opus 64 kbps,1,0.13973618,4.4001,0.9895,23.97
timbrewm,5,12,chinese:SSB0016,0,fwp,opus_64k,Opus 64 kbps,0,-0.03164101,4.3683,0.9935,24.76
timbrewm,5,13,chinese:SSB0016,1,mean,none,none,1,0.40935183,4.3296,0.9907,24.03
timbrewm,5,13,chinese:SSB0016,1,fwp,none,none,1,0.30677652,4.4476,0.9950,26.64
timbrewm,5,13,chinese:SSB0016,1,mean,mp3_128k,MP3 128 kbps,1,0.44952965,4.2750,0.9907,23.58
timbrewm,5,13,chinese:SSB0016,1,fwp,mp3_128k,MP3 128 kbps,1,0.14246368,4.3719,0.9950,25.84
timbrewm,5,13,chinese:SSB0016,1,mean,opus_64k,Opus 64 kbps,1,0.42791796,4.3310,0.9905,23.65
timbrewm,5,13,chinese:SSB0016,1,fwp,opus_64k,Opus 64 kbps,1,0.29035759,4.4465,0.9948,25.67
timbrewm,5,14,chinese:SSB0016,2,mean,none,none,0,-0.02635336,4.4639,0.9924,25.44
timbrewm,5,14,chinese:SSB0016,2,fwp,none,none,1,0.22968531,4.5491,0.9950,27.27
timbrewm,5,14,chinese:SSB0016,2,mean,mp3_128k,MP3 128 kbps,0,-0.28251839,4.3769,0.9924,24.77
timbrewm,5,14,chinese:SSB0016,2,fwp,mp3_128k,MP3 128 kbps,1,0.37022257,4.4363,0.9949,26.24
timbrewm,5,14,chinese:SSB0016,2,mean,opus_64k,Opus 64 kbps,0,-0.05080032,4.4629,0.9923,24.92
timbrewm,5,14,chinese:SSB0016,2,fwp,opus_64k,Opus 64 kbps,1,0.18797827,4.5351,0.9947,26.17
timbrewm,5,15,chinese:SSB0018,0,mean,none,none,1,0.49929285,4.5425,0.9969,33.68
timbrewm,5,15,chinese:SSB0018,0,fwp,none,none,1,0.05931234,4.5063,0.9973,35.00
timbrewm,5,15,chinese:SSB0018,0,mean,mp3_128k,MP3 128 kbps,1,0.72989941,4.4170,0.9968,29.07
timbrewm,5,15,chinese:SSB0018,0,fwp,mp3_128k,MP3 128 kbps,1,0.02691936,4.3809,0.9973,29.47
timbrewm,5,15,chinese:SSB0018,0,mean,opus_64k,Opus 64 kbps,1,0.53142595,4.5371,0.9966,31.39
timbrewm,5,15,chinese:SSB0018,0,fwp,opus_64k,Opus 64 kbps,1,0.06515169,4.4962,0.9969,31.56
timbrewm,5,16,chinese:SSB0018,1,mean,none,none,0,-0.04900026,4.5580,0.9975,34.04
timbrewm,5,16,chinese:SSB0018,1,fwp,none,none,1,0.17621899,4.4211,0.9948,30.88
timbrewm,5,16,chinese:SSB0018,1,mean,mp3_128k,MP3 128 kbps,0,-0.06438923,4.4193,0.9975,29.04
timbrewm,5,16,chinese:SSB0018,1,fwp,mp3_128k,MP3 128 kbps,1,0.15620041,4.3088,0.9948,27.77
timbrewm,5,16,chinese:SSB0018,1,mean,opus_64k,Opus 64 kbps,0,-0.05072641,4.5524,0.9973,31.59
timbrewm,5,16,chinese:SSB0018,1,fwp,opus_64k,Opus 64 kbps,1,0.16697025,4.4177,0.9945,29.23
timbrewm,5,17,chinese:SSB0018,2,mean,none,none,1,0.45757914,4.5304,0.9962,33.21
timbrewm,5,17,chinese:SSB0018,2,fwp,none,none,1,0.14907980,4.3900,0.9933,30.82
timbrewm,5,17,chinese:SSB0018,2,mean,mp3_128k,MP3 128 kbps,1,0.46764135,4.4058,0.9962,28.85
timbrewm,5,17,chinese:SSB0018,2,fwp,mp3_128k,MP3 128 kbps,1,0.65030479,4.2841,0.9933,27.82
timbrewm,5,17,chinese:SSB0018,2,mean,opus_64k,Opus 64 kbps,1,0.48331451,4.5259,0.9960,31.20
timbrewm,5,17,chinese:SSB0018,2,fwp,opus_64k,Opus 64 kbps,1,0.12276459,4.3787,0.9928,29.27
timbrewm,5,18,chinese:SSB0033,0,mean,none,none,1,0.36466599,4.5256,0.9982,36.00
timbrewm,5,18,chinese:SSB0033,0,fwp,none,none,0,-0.02607059,4.5156,0.9984,36.94
timbrewm,5,18,chinese:SSB0033,0,mean,mp3_128k,MP3 128 kbps,1,0.31815863,4.3984,0.9982,31.85
timbrewm,5,18,chinese:SSB0033,0,fwp,mp3_128k,MP3 128 kbps,1,0.06935120,4.3733,0.9984,32.18
timbrewm,5,18,chinese:SSB0033,0,mean,opus_64k,Opus 64 kbps,1,0.34135056,4.5214,0.9980,28.98
timbrewm,5,18,chinese:SSB0033,0,fwp,opus_64k,Opus 64 kbps,0,-0.01787901,4.5116,0.9981,28.95
timbrewm,5,19,chinese:SSB0033,1,mean,none,none,1,0.04569387,4.5772,0.9978,37.46
timbrewm,5,19,chinese:SSB0033,1,fwp,none,none,0,-0.05290031,4.5519,0.9969,35.61
timbrewm,5,19,chinese:SSB0033,1,mean,mp3_128k,MP3 128 kbps,1,0.83807230,4.4173,0.9978,32.13
timbrewm,5,19,chinese:SSB0033,1,fwp,mp3_128k,MP3 128 kbps,1,0.38843727,4.4109,0.9969,31.49
timbrewm,5,19,chinese:SSB0033,1,mean,opus_64k,Opus 64 kbps,1,0.07218933,4.5637,0.9976,29.26
timbrewm,5,19,chinese:SSB0033,1,fwp,opus_64k,Opus 64 kbps,0,-0.04707575,4.5354,0.9966,28.69
timbrewm,5,20,chinese:SSB0033,2,mean,none,none,1,0.56610155,4.5795,0.9987,38.39
timbrewm,5,20,chinese:SSB0033,2,fwp,none,none,1,0.12318468,4.5544,0.9988,38.29
timbrewm,5,20,chinese:SSB0033,2,mean,mp3_128k,MP3 128 kbps,1,0.49439669,4.3993,0.9987,31.99
timbrewm,5,20,chinese:SSB0033,2,fwp,mp3_128k,MP3 128 kbps,1,0.27232265,4.3804,0.9987,31.95
timbrewm,5,20,chinese:SSB0033,2,mean,opus_64k,Opus 64 kbps,1,0.54320192,4.5603,0.9985,29.29
timbrewm,5,20,chinese:SSB0033,2,fwp,opus_64k,Opus 64 kbps,1,0.10321379,4.5333,0.9984,29.06
timbrewm,5,21,chinese:SSB0038,0,mean,none,none,1,0.73590755,4.6068,0.9969,32.76
timbrewm,5,21,chinese:SSB0038,0,fwp,none,none,1,0.21077967,4.5848,0.9961,31.76
timbrewm,5,21,chinese:SSB0038,0,mean,mp3_128k,MP3 128 kbps,1,0.73615217,4.3932,0.9969,24.92
timbrewm,5,21,chinese:SSB0038,0,fwp,mp3_128k,MP3 128 kbps,1,0.47806406,4.3829,0.9961,24.73
timbrewm,5,21,chinese:SSB0038,0,mean,opus_64k,Opus 64 kbps,1,0.72051144,4.5649,0.9967,29.09
timbrewm,5,21,chinese:SSB0038,0,fwp,opus_64k,Opus 64 kbps,1,0.20439196,4.5407,0.9958,28.12
