model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
wmcodec,5,7,chinese:SSB0011,1,mean,opus_64k,Opus 64 kbps,1,30.86940350,4.1233,0.9823,16.49
wmcodec,5,7,chinese:SSB0011,1,fwp,opus_64k,Opus 64 kbps,1,17.84069955,4.2492,0.9875,18.02
wmcodec,5,8,chinese:SSB0011,2,mean,none,none,1,2.22256470,4.1664,0.9816,16.63
wmcodec,5,8,chinese:SSB0011,2,fwp,none,none,1,25.54144180,3.9124,0.9727,13.76
wmcodec,5,8,chinese:SSB0011,2,mean,mp3_128k,MP3 128 kbps,1,2.32531258,4.1578,0.9816,16.62
wmcodec,5,8,chinese:SSB0011,2,fwp,mp3_128k,MP3 128 kbps,1,21.91811347,3.9050,0.9727,13.76
wmcodec,5,8,chinese:SSB0011,2,mean,opus_64k,Opus 64 kbps,1,3.19046646,4.1592,0.9815,16.55
wmcodec,5,8,chinese:SSB0011,2,fwp,opus_64k,Opus 64 kbps,1,25.47833974,3.9029,0.9724,13.69
wmcodec,5,9,chinese:SSB0012,0,mean,none,none,1,21.23419789,4.2504,0.9832,13.97
wmcodec,5,9,chinese:SSB0012,0,fwp,none,none,1,30.80261758,3.9930,0.9729,10.98
wmcodec,5,9,chinese:SSB0012,0,mean,mp3_128k,MP3 128 kbps,1,20.75702582,4.2418,0.9832,13.96
wmcodec,5,9,chinese:SSB0012,0,fwp,mp3_128k,MP3 128 kbps,1,26.15929631,3.9839,0.9729,10.98
wmcodec,5,9,chinese:SSB0012,0,mean,opus_64k,Opus 64 kbps,1,20.83786445,4.2496,0.9830,13.93
wmcodec,5,9,chinese:SSB0012,0,fwp,opus_64k,Opus 64 kbps,1,31.58380284,3.9811,0.9726,10.95
wmcodec,5,10,chinese:SSB0012,1,mean,none,none,1,9.79234384,4.3262,0.9834,13.95
wmcodec,5,10,chinese:SSB0012,1,fwp,none,none,1,10.19895596,4.1568,0.9749,11.68
wmcodec,5,10,chinese:SSB0012,1,mean,mp3_128k,MP3 128 kbps,1,13.38953003,4.3101,0.9834,13.95
wmcodec,5,10,chinese:SSB0012,1,fwp,mp3_128k,MP3 128 kbps,1,12.92836503,4.1425,0.9750,11.68
wmcodec,5,10,chinese:SSB0012,1,mean,opus_64k,Opus 64 kbps,1,9.53127782,4.3259,0.9833,13.96
wmcodec,5,10,chinese:SSB0012,1,fwp,opus_64k,Opus 64 kbps,1,10.53875425,4.1551,0.9745,11.70
wmcodec,5,11,chinese:SSB0012,2,mean,none,none,1,15.49746566,4.3335,0.9829,12.78
wmcodec,5,11,chinese:SSB0012,2,fwp,none,none,1,23.49966791,4.0152,0.9752,10.19
wmcodec,5,11,chinese:SSB0012,2,mean,mp3_128k,MP3 128 kbps,1,10.17425130,4.3191,0.9829,12.77
wmcodec,5,11,chinese:SSB0012,2,fwp,mp3_128k,MP3 128 kbps,1,19.35888580,4.0023,0.9752,10.19
wmcodec,5,11,chinese:SSB0012,2,mean,opus_64k,Opus 64 kbps,1,16.15681124,4.3328,0.9828,12.78
wmcodec,5,11,chinese:SSB0012,2,fwp,opus_64k,Opus 64 kbps,1,23.34926937,4.0092,0.9750,10.20
wmcodec,5,12,chinese:SSB0016,0,mean,none,none,1,10.56170679,4.3690,0.9848,16.57
wmcodec,5,12,chinese:SSB0016,0,fwp,none,none,1,24.79322868,4.1529,0.9757,13.43
wmcodec,5,12,chinese:SSB0016,0,mean,mp3_128k,MP3 128 kbps,1,16.07916919,4.3377,0.9848,16.55
wmcodec,5,12,chinese:SSB0016,0,fwp,mp3_128k,MP3 128 kbps,1,31.95328654,4.1287,0.9757,13.42
wmcodec,5,12,chinese:SSB0016,0,mean,opus_64k,Opus 64 kbps,1,11.02228825,4.3661,0.9847,16.50
wmcodec,5,12,chinese:SSB0016,0,fwp,opus_64k,Opus 64 kbps,1,24.34907274,4.1493,0.9754,13.38
wmcodec,5,13,chinese:SSB0016,1,mean,none,none,1,21.06955584,4.2545,0.9854,16.33
wmcodec,5,13,chinese:SSB0016,1,fwp,none,none,1,34.90892299,4.0359,0.9747,13.40
wmcodec,5,13,chinese:SSB0016,1,mean,mp3_128k,MP3 128 kbps,1,13.81951293,4.2379,0.9854,16.33
wmcodec,5,13,chinese:SSB0016,1,fwp,mp3_128k,MP3 128 kbps,1,34.73869675,4.0207,0.9747,13.40
wmcodec,5,13,chinese:SSB0016,1,mean,opus_64k,Opus 64 kbps,1,21.07730380,4.2472,0.9854,16.30
wmcodec,5,13,chinese:SSB0016,1,fwp,opus_64k,Opus 64 kbps,1,34.57802930,4.0280,0.9745,13.35
wmcodec,5,14,chinese:SSB0016,2,mean,none,none,1,12.90148109,4.1835,0.9833,15.57
wmcodec,5,14,chinese:SSB0016,2,fwp,none,none,1,22.53475411,4.2087,0.9876,17.39
wmcodec,5,14,chinese:SSB0016,2,mean,mp3_128k,MP3 128 kbps,1,14.30366180,4.1763,0.9833,15.57
wmcodec,5,14,chinese:SSB0016,2,fwp,mp3_128k,MP3 128 kbps,1,21.66856618,4.1930,0.9876,17.38
wmcodec,5,14,chinese:SSB0016,2,mean,opus_64k,Opus 64 kbps,1,13.14637722,4.1824,0.9832,15.57
wmcodec,5,14,chinese:SSB0016,2,fwp,opus_64k,Opus 64 kbps,1,22.34649805,4.2036,0.9873,17.34
wmcodec,5,15,chinese:SSB0018,0,mean,none,none,1,19.00277729,4.3470,0.9865,15.33
wmcodec,5,15,chinese:SSB0018,0,fwp,none,none,1,24.49485048,4.4011,0.9897,17.30
wmcodec,5,15,chinese:SSB0018,0,mean,mp3_128k,MP3 128 kbps,1,22.60719042,4.3268,0.9865,15.31
wmcodec,5,15,chinese:SSB0018,0,fwp,mp3_128k,MP3 128 kbps,1,16.31631540,4.3781,0.9897,17.27
wmcodec,5,15,chinese:SSB0018,0,mean,opus_64k,Opus 64 kbps,1,19.30874964,4.3423,0.9864,15.33
wmcodec,5,15,chinese:SSB0018,0,fwp,opus_64k,Opus 64 kbps,1,24.80405884,4.3947,0.9892,17.25
wmcodec,5,16,chinese:SSB0018,1,mean,none,none,1,19.63342195,4.3380,0.9878,15.06
wmcodec,5,16,chinese:SSB0018,1,fwp,none,none,1,20.84463253,4.0222,0.9784,12.09
wmcodec,5,16,chinese:SSB0018,1,mean,mp3_128k,MP3 128 kbps,1,12.75270464,4.3128,0.9878,15.05
wmcodec,5,16,chinese:SSB0018,1,fwp,mp3_128k,MP3 128 kbps,1,17.86931061,4.0116,0.9784,12.09
wmcodec,5,16,chinese:SSB0018,1,mean,opus_64k,Opus 64 kbps,1,19.35909872,4.3367,0.9875,15.02
wmcodec,5,16,chinese:SSB0018,1,fwp,opus_64k,Opus 64 kbps,1,20.47558583,4.0164,0.9776,12.07
wmcodec,5,17,chinese:SSB0018,2,mean,none,none,1,24.92079181,4.3784,0.9887,15.42
wmcodec,5,17,chinese:SSB0018,2,fwp,none,none,1,28.12260603,4.4049,0.9893,16.32
wmcodec,5,17,chinese:SSB0018,2,mean,mp3_128k,MP3 128 kbps,1,23.23187327,4.3649,0.9887,15.41
wmcodec,5,17,chinese:SSB0018,2,fwp,mp3_128k,MP3 128 kbps,1,28.50921352,4.3927,0.9893,16.31
wmcodec,5,17,chinese:SSB0018,2,mean,opus_64k,Opus 64 kbps,1,25.13091694,4.3771,0.9885,15.38
wmcodec,5,17,chinese:SSB0018,2,fwp,opus_64k,Opus 64 kbps,1,27.90361823,4.4018,0.9889,16.24
wmcodec,5,18,chinese:SSB0033,0,mean,none,none,1,19.26804714,4.3404,0.9889,19.58
wmcodec,5,18,chinese:SSB0033,0,fwp,none,none,1,6.93945944,4.3456,0.9927,21.37
wmcodec,5,18,chinese:SSB0033,0,mean,mp3_128k,MP3 128 kbps,1,19.20551072,4.3234,0.9889,19.56
wmcodec,5,18,chinese:SSB0033,0,fwp,mp3_128k,MP3 128 kbps,1,8.86692200,4.3246,0.9926,21.33
wmcodec,5,18,chinese:SSB0033,0,mean,opus_64k,Opus 64 kbps,1,19.43541427,4.3399,0.9889,19.23
wmcodec,5,18,chinese:SSB0033,0,fwp,opus_64k,Opus 64 kbps,1,5.54108071,4.3384,0.9926,20.74
wmcodec,5,19,chinese:SSB0033,1,mean,none,none,1,15.40805274,4.3080,0.9873,20.18
wmcodec,5,19,chinese:SSB0033,1,fwp,none,none,1,20.21169618,4.1526,0.9823,17.51
wmcodec,5,19,chinese:SSB0033,1,mean,mp3_128k,MP3 128 kbps,1,13.97516669,4.2805,0.9872,20.16
wmcodec,5,19,chinese:SSB0033,1,fwp,mp3_128k,MP3 128 kbps,1,18.77179414,4.1314,0.9822,17.50
wmcodec,5,19,chinese:SSB0033,1,mean,opus_64k,Opus 64 kbps,1,15.35434911,4.3072,0.9872,19.92
wmcodec,5,19,chinese:SSB0033,1,fwp,opus_64k,Opus 64 kbps,1,19.76088886,4.1615,0.9821,17.35
wmcodec,5,20,chinese:SSB0033,2,mean,none,none,1,20.44213497,4.3746,0.9878,20.26
wmcodec,5,20,chinese:SSB0033,2,fwp,none,none,1,12.26246295,4.2190,0.9824,17.94
wmcodec,5,20,chinese:SSB0033,2,mean,mp3_128k,MP3 128 kbps,1,13.56626922,4.3527,0.9878,20.24
wmcodec,5,20,chinese:SSB0033,2,fwp,mp3_128k,MP3 128 kbps,1,13.86415378,4.2021,0.9824,17.92
wmcodec,5,20,chinese:SSB0033,2,mean,opus_64k,Opus 64 kbps,1,20.98949337,4.3808,0.9878,19.77
wmcodec,5,20,chinese:SSB0033,2,fwp,opus_64k,Opus 64 kbps,1,12.64444947,4.2247,0.9823,17.64
wmcodec,5,21,chinese:SSB0038,0,mean,none,none,1,20.22536974,4.3945,0.9900,17.22
wmcodec,5,21,chinese:SSB0038,0,fwp,none,none,1,1.51889518,4.1262,0.9848,14.07
wmcodec,5,21,chinese:SSB0038,0,mean,mp3_128k,MP3 128 kbps,1,18.83694424,4.3733,0.9900,17.17
wmcodec,5,21,chinese:SSB0038,0,fwp,mp3_128k,MP3 128 kbps,1,4.41624412,4.1087,0.9848,14.04
wmcodec,5,21,chinese:SSB0038,0,mean,opus_64k,Opus 64 kbps,1,19.51400663,4.3910,0.9898,17.10
wmcodec,5,21,chinese:SSB0038,0,fwp,opus_64k,Opus 64 kbps,1,2.41019268,4.1197,0.9844,13.96
wmcodec,5,22,chinese:SSB0038,1,mean,none,none,1,13.88577932,4.4250,0.9881,16.93
wmcodec,5,22,chinese:SSB0038,1,fwp,none,none,1,6.96862363,4.4791,0.9926,18.54
wmcodec,5,22,chinese:SSB0038,1,mean,mp3_128k,MP3 128 kbps,1,16.40534022,4.4009,0.9881,16.89
wmcodec,5,22,chinese:SSB0038,1,fwp,mp3_128k,MP3 128 kbps,1,10.62429045,4.4507,0.9926,18.47
wmcodec,5,22,chinese:SSB0038,1,mean,opus_64k,Opus 64 kbps,1,13.27768411,4.4238,0.9881,16.96
wmcodec,5,22,chinese:SSB0038,1,fwp,opus_64k,Opus 64 kbps,1,10.24057210,4.4168,0.9918,18.42
wmcodec,5,23,chinese:SSB0038,2,mean,none,none,1,23.41762737,4.3900,0.9881,15.98
wmcodec,5,23,chinese:SSB0038,2,fwp,none,none,1,22.20928287,4.3883,0.9906,17.24
wmcodec,5,23,chinese:SSB0038,2,mean,mp3_128k,MP3 128 kbps,1,20.55213909,4.3502,0.9881,15.94
wmcodec,5,23,chinese:SSB0038,2,fwp,mp3_128k,MP3 128 kbps,1,15.61018996,4.3550,0.9906,17.18
wmcodec,5,23,chinese:SSB0038,2,mean,opus_64k,Opus 64 kbps,1,23.59004609,4.3842,0.9880,15.89
wmcodec,5,23,chinese:SSB0038,2,fwp,opus_64k,Opus 64 kbps,1,21.90877811,4.3799,0.9902,17.00
wmcodec,5,24,chinese:SSB0043,0,mean,none,none,1,13.26770204,4.0372,0.9764,15.43
wmcodec,5,24,chinese:SSB0043,0,fwp,none,none,1,11.49438378,4.2033,0.9832,17.72
wmcodec,5,24,chinese:SSB0043,0,mean,mp3_128k,MP3 128 kbps,1,7.60516447,4.0285,0.9764,15.43
wmcodec,5,24,chinese:SSB0043,0,fwp,mp3_128k,MP3 128 kbps,1,12.98223791,4.1956,0.9832,17.72
wmcodec,5,24,chinese:SSB0043,0,mean,opus_64k,Opus 64 kbps,1,13.04293679,4.0321,0.9763,15.49
wmcodec,5,24,chinese:SSB0043,0,fwp,opus_64k,Opus 64 kbps,1,11.85477744,4.2081,0.9830,17.72
wmcodec,5,25,chinese:SSB0043,1,mean,none,none,1,13.27222518,4.1056,0.9792,16.22
wmcodec,5,25,chinese:SSB0043,1,fwp,none,none,1,17.04013166,3.8744,0.9711,13.94
wmcodec,5,25,chinese:SSB0043,1,mean,mp3_128k,MP3 128 kbps,1,16.66633956,4.0919,0.9792,16.22
wmcodec,5,25,chinese:SSB0043,1,fwp,mp3_128k,MP3 128 kbps,1,23.92659362,3.8620,0.9711,13.94
wmcodec,5,25,chinese:SSB0043,1,mean,opus_64k,Opus 64 kbps,1,12.69819696,4.0909,0.9791,16.12
wmcodec,5,25,chinese:SSB0043,1,fwp,opus_64k,Opus 64 kbps,1,17.28676091,3.8591,0.9708,13.86
wmcodec,5,26,chinese:SSB0043,2,mean,none,none,1,20.82038403,3.9902,0.9790,15.60
wmcodec,5,26,chinese:SSB0043,2,fwp,none,none,1,13.29640590,4.1917,0.9847,17.06
wmcodec,5,26,chinese:SSB0043,2,mean,mp3_128k,MP3 128 kbps,1,22.29200041,3.9801,0.9790,15.60
wmcodec,5,26,chinese:SSB0043,2,fwp,mp3_128k,MP3 128 kbps,1,16.47787253,4.1763,0.9847,17.06
wmcodec,5,26,chinese:SSB0043,2,mean,opus_64k,Opus 64 kbps,1,20.82004818,3.9859,0.9790,15.56
wmcodec,5,26,chinese:SSB0043,2,fwp,opus_64k,Opus 64 kbps,1,13.64104856,4.1780,0.9842,16.98
wmcodec,5,27,chinese:SSB0057,0,mean,none,none,1,21.83962092,4.3791,0.9848,16.28
wmcodec,5,27,chinese:SSB0057,0,fwp,none,none,1,16.39151106,4.1797,0.9786,13.59
wmcodec,5,27,chinese:SSB0057,0,mean,mp3_128k,MP3 128 kbps,1,17.90030904,4.3650,0.9848,16.25
wmcodec,5,27,chinese:SSB0057,0,fwp,mp3_128k,MP3 128 kbps,1,16.16497114,4.1728,0.9786,13.57
wmcodec,5,27,chinese:SSB0057,0,mean,opus_64k,Opus 64 kbps,1,21.73536633,4.3747,0.9847,16.16
wmcodec,5,27,chinese:SSB0057,0,fwp,opus_64k,Opus 64 kbps,1,16.66699474,4.1758,0.9781,13.48
wmcodec,5,28,chinese:SSB0057,1,mean,none,none,1,13.85345753,4.4071,0.9870,15.85
wmcodec,5,28,chinese:SSB0057,1,fwp,none,none,1,17.32015520,4.1626,0.9805,13.06
wmcodec,5,28,chinese:SSB0057,1,mean,mp3_128k,MP3 128 kbps,1,14.18426738,4.3918,0.9870,15.82
wmcodec,5,28,chinese:SSB0057,1,fwp,mp3_128k,MP3 128 kbps,1,16.21313298,4.1520,0.9805,13.05
wmcodec,5,28,chinese:SSB0057,1,mean,opus_64k,Opus 64 kbps,1,13.34648850,4.4058,0.9869,15.77
wmcodec,5,28,chinese:SSB0057,1,fwp,opus_64k,Opus 64 kbps,1,14.13396353,4.4248,0.9915,17.59
wmcodec,5,29,chinese:SSB0057,2,mean,none,none,1,27.63964375,4.4056,0.9864,16.73
wmcodec,5,29,chinese:SSB0057,2,fwp,none,none,1,24.26273738,4.2291,0.9801,13.71
wmcodec,5,29,chinese:SSB0057,2,mean,mp3_128k,MP3 128 kbps,1,27.16726502,4.3938,0.9863,16.69
wmcodec,5,29,chinese:SSB0057,2,fwp,mp3_128k,MP3 128 kbps,1,25.41840212,4.2290,0.9800,13.68
wmcodec,5,29,chinese:SSB0057,2,mean,opus_64k,Opus 64 kbps,1,27.48109350,4.3954,0.9863,16.55
wmcodec,5,29,chinese:SSB0057,2,fwp,opus_64k,Opus 64 kbps,1,17.34818859,4.1304,0.9782,13.47
wmcodec,5,30,chinese:SSB0073,0,mean,none,none,1,9.05109468,4.2939,0.9845,15.54
wmcodec,5,30,chinese:SSB0073,0,fwp,none,none,1,16.85348827,3.9621,0.9764,12.43
wmcodec,5,30,chinese:SSB0073,0,mean,mp3_128k,MP3 128 kbps,1,16.36362955,4.2799,0.9845,15.54
wmcodec,5,30,chinese:SSB0073,0,fwp,mp3_128k,MP3 128 kbps,1,15.02679217,3.9527,0.9764,12.43
wmcodec,5,30,chinese:SSB0073,0,mean,opus_64k,Opus 64 kbps,1,10.23721465,4.2940,0.9844,15.44
