model,K,spk,local_t,gi,restart,start_id,objective,weights
wavmark,5,chinese:SSB0009,0,1,2,2,0.0000002182,0.29809487;0.29331193;0.02811802;0.20287484;0.17760034
wavmark,5,chinese:SSB0009,0,1,2,3,0.0000002172,0.26264315;0.29277405;0.00000001;0.26264275;0.18194004
wavmark,5,chinese:SSB0009,0,1,2,4,0.0000002179,0.29273928;0.29501380;0.06276706;0.17815524;0.17132462
wavmark,5,chinese:SSB0009,0,1,2,5,0.0000002179,0.29273928;0.29501380;0.06276706;0.17815524;0.17132462
wavmark,5,chinese:SSB0009,0,1,2,6,0.0000002172,0.26264315;0.29277405;0.00000001;0.26264275;0.18194004
wavmark,5,chinese:SSB0009,0,1,3,0,0.0000002099,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0009,0,1,3,1,0.0000002173,0.28143362;0.28143362;0.08740434;0.20095729;0.14877113
wavmark,5,chinese:SSB0009,0,1,3,2,0.0000002178,0.28516129;0.25254089;0.00857338;0.25254064;0.20118381
wavmark,5,chinese:SSB0009,0,1,3,3,0.0000002166,0.26182841;0.23725359;0.07986655;0.18379832;0.23725312
wavmark,5,chinese:SSB0009,0,1,3,4,0.0000002166,0.26182841;0.23725359;0.07986655;0.18379832;0.23725312
wavmark,5,chinese:SSB0009,0,1,3,5,0.0000002166,0.26182841;0.23725359;0.07986655;0.18379832;0.23725312
wavmark,5,chinese:SSB0009,0,1,3,6,0.0000002175,0.24546079;0.27493822;0.00973946;0.22440107;0.24546045
wavmark,5,chinese:SSB0011,0,2,0,0,0.0000000872,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0011,0,2,0,1,0.0000000684,0.50000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,5,chinese:SSB0011,0,2,0,2,0.0000000871,0.35150031;0.20688125;0.22080916;0.00000004;0.22080925
wavmark,5,chinese:SSB0011,0,2,0,3,0.0000000657,0.00000000;0.50000000;0.00000000;0.50000000;0.00000000
wavmark,5,chinese:SSB0011,0,2,0,4,0.0000000889,0.23757251;0.23876664;0.23757228;0.11486232;0.17122624
wavmark,5,chinese:SSB0011,0,2,0,5,0.0000000657,0.00000000;0.50000000;0.00000000;0.50000000;0.00000000
wavmark,5,chinese:SSB0011,0,2,0,6,0.0000000871,0.35150031;0.20688125;0.22080916;0.00000004;0.22080925
wavmark,5,chinese:SSB0011,0,2,1,0,0.0000000872,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
wavmark,5,chinese:SSB0011,0,2,1,1,0.0000000684,0.50000000;0.00000000;0.00000000;0.00000000;0.50000000
wavmark,5,chinese:SSB0011,0,2,1,2,0.0000000893,0.27445245;0.27445241;0.13356991;0.15716503;0.16036021
wavmark,5,chinese:SSB0011,0,2,1,3,0.0000000878,0.34677455;0.24501809;0.12339855;0.03979081;0.24501801
wavmark,5,chinese:SSB0011,0,2,1,4,0.0000000891,0.23952510;0.31074622;0.17026286;0.23952500;0.03994081
wavmark,5,chinese:SSB0011,0,2,1,5,0.0000000878,0.34677455;0.24501809;0.12339855;0.03979081;0.24501801
wavmark,5,chinese:SSB0011,0,2,1,6,0.0000000891,0.24820643;0.24604844;0.24604825;0.21679472;0.04290216
wavmark,5,chinese:SSB0011,0,2,2,0,0.0000000872,0.20000000;0.20000000;0.20000000;0.20000000;0.20000000
