model,K,spk,local_t,gi,restart,start_id,objective,weights
wmcodec,5,chinese:SSB0009,0,1,2,2,0.0001753823,0.17726580;0.21296828;0.14783461;0.23508733;0.22684398
wmcodec,5,chinese:SSB0009,0,1,2,3,0.0001753823,0.17726578;0.21296827;0.14783462;0.23508734;0.22684399
wmcodec,5,chinese:SSB0009,0,1,2,4,0.0001753823,0.17726578;0.21296828;0.14783461;0.23508733;0.22684399
wmcodec,5,chinese:SSB0009,0,1,2,5,0.0001753823,0.17726578;0.21296828;0.14783461;0.23508733;0.22684399
wmcodec,5,chinese:SSB0009,0,1,2,6,0.0001753823,0.17726578;0.21296827;0.14783462;0.23508734;0.22684399
wmcodec,5,chinese:SSB0009,0,1,3,0,0.0001753823,0.17725765;0.21300455;0.14783189;0.23507237;0.22683353
wmcodec,5,chinese:SSB0009,0,1,3,1,0.0001753823,0.17746518;0.21287808;0.14772482;0.23509189;0.22684002
wmcodec,5,chinese:SSB0009,0,1,3,2,0.0001753823,0.17726578;0.21296830;0.14783461;0.23508732;0.22684400
wmcodec,5,chinese:SSB0009,0,1,3,3,0.0001753823,0.17726578;0.21296829;0.14783461;0.23508732;0.22684400
wmcodec,5,chinese:SSB0009,0,1,3,4,0.0001753823,0.17726578;0.21296829;0.14783461;0.23508732;0.22684400
wmcodec,5,chinese:SSB0009,0,1,3,5,0.0001753823,0.17726578;0.21296829;0.14783461;0.23508732;0.22684400
wmcodec,5,chinese:SSB0009,0,1,3,6,0.0001753823,0.17720864;0.21297551;0.14776059;0.23513603;0.22691923
wmcodec,5,chinese:SSB0011,0,2,0,0,0.0000279622,0.23748616;0.18329117;0.18391694;0.21763662;0.17766911
wmcodec,5,chinese:SSB0011,0,2,0,1,0.0000279622,0.23752961;0.18325833;0.18382724;0.21778225;0.17760257
wmcodec,5,chinese:SSB0011,0,2,0,2,0.0000279622,0.23753617;0.18355358;0.18398745;0.21748500;0.17743779
wmcodec,5,chinese:SSB0011,0,2,0,3,0.0000279621,0.23758276;0.18302764;0.18339061;0.21808975;0.17790924
wmcodec,5,chinese:SSB0011,0,2,0,4,0.0000279622,0.23752961;0.18325833;0.18382724;0.21778225;0.17760257
wmcodec,5,chinese:SSB0011,0,2,0,5,0.0000279621,0.23758276;0.18302764;0.18339061;0.21808975;0.17790924
wmcodec,5,chinese:SSB0011,0,2,0,6,0.0000279622,0.23753617;0.18355358;0.18398745;0.21748500;0.17743779
wmcodec,5,chinese:SSB0011,0,2,1,0,0.0000279622,0.23748616;0.18329117;0.18391694;0.21763662;0.17766911
wmcodec,5,chinese:SSB0011,0,2,1,1,0.0000279622,0.23752961;0.18325833;0.18382724;0.21778225;0.17760257
wmcodec,5,chinese:SSB0011,0,2,1,2,0.0000279622,0.23741986;0.18353314;0.18383126;0.21756359;0.17765216
wmcodec,5,chinese:SSB0011,0,2,1,3,0.0000279622,0.23734720;0.18367147;0.18392946;0.21768101;0.17737086
wmcodec,5,chinese:SSB0011,0,2,1,4,0.0000279622,0.23749536;0.18349749;0.18388156;0.21761103;0.17751457
wmcodec,5,chinese:SSB0011,0,2,1,5,0.0000279622,0.23734720;0.18367147;0.18392946;0.21768101;0.17737086
wmcodec,5,chinese:SSB0011,0,2,1,6,0.0000279622,0.23747393;0.18355308;0.18375903;0.21764869;0.17756526
wmcodec,5,chinese:SSB0011,0,2,2,0,0.0000279622,0.23748616;0.18329117;0.18391694;0.21763662;0.17766911
wmcodec,5,chinese:SSB0011,0,2,2,1,0.0000279622,0.23752961;0.18325833;0.18382724;0.21778225;0.17760257
wmcodec,5,chinese:SSB0011,0,2,2,2,0.0000279622,0.23749536;0.18349749;0.18388156;0.21761103;0.17751457
wmcodec,5,chinese:SSB0011,0,2,2,3,0.0000279622,0.23749536;0.18349749;0.18388156;0.21761103;0.17751457
wmcodec,5,chinese:SSB0011,0,2,2,4,0.0000279622,0.23752555;0.18343877;0.18384018;0.21763525;0.17756025
wmcodec,5,chinese:SSB0011,0,2,2,5,0.0000279622,0.23756182;0.18331144;0.18385463;0.21760333;0.17766878
wmcodec,5,chinese:SSB0011,0,2,2,6,0.0000279622,0.23753617;0.18355358;0.18398745;0.21748500;0.17743779
wmcodec,5,chinese:SSB0011,0,2,3,0,0.0000279622,0.23748616;0.18329117;0.18391694;0.21763662;0.17766911
wmcodec,5,chinese:SSB0011,0,2,3,1,0.0000279622,0.23752961;0.18325833;0.18382724;0.21778225;0.17760257
wmcodec,5,chinese:SSB0011,0,2,3,2,0.0000279622,0.23734720;0.18367147;0.18392946;0.21768101;0.17737086
wmcodec,5,chinese:SSB0011,0,2,3,3,0.0000279622,0.23753617;0.18355358;0.18398745;0.21748500;0.17743779
wmcodec,5,chinese:SSB0011,0,2,3,4,0.0000279622,0.23752555;0.18343877;0.18384018;0.21763525;0.17756025
wmcodec,5,chinese:SSB0011,0,2,3,5,0.0000279622,0.23747393;0.18355308;0.18375903;0.21764869;0.17756526
wmcodec,5,chinese:SSB0011,0,2,3,6,0.0000279622,0.23747393;0.18355308;0.18375903;0.21764869;0.17756526
wmcodec,5,chinese:SSB0012,0,3,0,0,0.0001910434,0.18322708;0.15328586;0.20271987;0.20812642;0.25264076
wmcodec,5,chinese:SSB0012,0,3,0,1,0.0001910434,0.18340021;0.15317560;0.20264694;0.20806455;0.25271270
wmcodec,5,chinese:SSB0012,0,3,0,2,0.0001910434,0.18341298;0.15321751;0.20267005;0.20801434;0.25268512
wmcodec,5,chinese:SSB0012,0,3,0,3,0.0001910434,0.18323239;0.15332391;0.20269932;0.20812726;0.25261712
