model,K,spk,local_t,gi,restart,start_id,objective,weights
voicemark,8,chinese:SSB0009,0,1,0,6,0.0003983403,0.23980742;0.25179861;0.00000000;0.03324364;0.15911985;0.05460177;0.24337487;0.01805383
voicemark,8,chinese:SSB0009,0,1,1,0,0.0003983403,0.23980741;0.25179865;0.00000000;0.03324369;0.15911984;0.05460173;0.24337486;0.01805382
voicemark,8,chinese:SSB0009,0,1,1,1,0.0003983403,0.23979912;0.25182054;0.00000000;0.03332289;0.15909350;0.05460916;0.24336936;0.01798542
voicemark,8,chinese:SSB0009,0,1,1,2,0.0003983403,0.23979912;0.25182054;0.00000000;0.03332289;0.15909350;0.05460916;0.24336936;0.01798542
voicemark,8,chinese:SSB0009,0,1,1,3,0.0003983403,0.23980732;0.25179836;0.00000000;0.03324227;0.15912027;0.05460334;0.24337551;0.01805293
voicemark,8,chinese:SSB0009,0,1,1,4,0.0003983403,0.23980741;0.25179863;0.00000000;0.03324366;0.15911985;0.05460173;0.24337487;0.01805385
voicemark,8,chinese:SSB0009,0,1,1,5,0.0003983403,0.23980742;0.25179863;0.00000000;0.03324367;0.15911985;0.05460172;0.24337486;0.01805385
voicemark,8,chinese:SSB0009,0,1,1,6,0.0003983403,0.23980742;0.25179863;0.00000000;0.03324367;0.15911985;0.05460172;0.24337486;0.01805385
voicemark,8,chinese:SSB0009,0,1,2,0,0.0003983403,0.23980741;0.25179865;0.00000000;0.03324369;0.15911984;0.05460173;0.24337486;0.01805382
voicemark,8,chinese:SSB0009,0,1,2,1,0.0003983403,0.23979912;0.25182054;0.00000000;0.03332289;0.15909350;0.05460916;0.24336936;0.01798542
voicemark,8,chinese:SSB0009,0,1,2,2,0.0003983403,0.23980767;0.25179893;0.00000000;0.03324037;0.15912042;0.05460190;0.24337723;0.01805349
voicemark,8,chinese:SSB0009,0,1,2,3,0.0003983403,0.23980742;0.25179865;0.00000000;0.03324368;0.15911984;0.05460172;0.24337487;0.01805383
voicemark,8,chinese:SSB0009,0,1,2,4,0.0003983403,0.23984518;0.25176675;0.00000000;0.03330758;0.15909209;0.05446736;0.24328589;0.01823514
voicemark,8,chinese:SSB0009,0,1,2,5,0.0003983403,0.23979912;0.25182054;0.00000000;0.03332289;0.15909350;0.05460916;0.24336936;0.01798542
voicemark,8,chinese:SSB0009,0,1,2,6,0.0003983403,0.23980742;0.25179865;0.00000000;0.03324368;0.15911984;0.05460172;0.24337487;0.01805383
voicemark,8,chinese:SSB0009,0,1,3,0,0.0003983403,0.23980741;0.25179865;0.00000000;0.03324369;0.15911984;0.05460173;0.24337486;0.01805382
voicemark,8,chinese:SSB0009,0,1,3,1,0.0003983403,0.23979912;0.25182054;0.00000000;0.03332289;0.15909350;0.05460916;0.24336936;0.01798542
