model,K,spk,local_t,gi,restart,start_id,objective,weights
wavmark,8,chinese:SSB0009,0,1,0,6,0.0000002329,0.22930444;0.14244179;0.06695706;0.00000001;0.20454864;0.17025198;0.01624400;0.17025207
wavmark,8,chinese:SSB0009,0,1,1,0,0.0000002314,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0009,0,1,1,1,0.0000002313,0.23590746;0.00000000;0.25236852;0.14760514;0.04847751;0.00000004;0.25236832;0.06327300
wavmark,8,chinese:SSB0009,0,1,1,2,0.0000002301,0.25099723;0.14262474;0.10713074;0.15414895;0.00000006;0.11928593;0.14262489;0.08318746
wavmark,8,chinese:SSB0009,0,1,1,3,0.0000002350,0.19848483;0.00000000;0.21606414;0.03390618;0.21606397;0.00000007;0.13512963;0.20035118
wavmark,8,chinese:SSB0009,0,1,1,4,0.0000002336,0.22747474;0.04034731;0.22082654;0.07221782;0.07342117;0.13823784;0.22747451;0.00000006
wavmark,8,chinese:SSB0009,0,1,1,5,0.0000002301,0.19555068;0.13924417;0.13537107;0.19555004;0.09344060;0.12235288;0.11849052;0.00000004
wavmark,8,chinese:SSB0009,0,1,1,6,0.0000002301,0.19555068;0.13924417;0.13537107;0.19555004;0.09344060;0.12235288;0.11849052;0.00000004
wavmark,8,chinese:SSB0009,0,1,2,0,0.0000002314,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
wavmark,8,chinese:SSB0009,0,1,2,1,0.0000002313,0.23590746;0.00000000;0.25236852;0.14760514;0.04847751;0.00000004;0.25236832;0.06327300
wavmark,8,chinese:SSB0009,0,1,2,2,0.0000002376,0.21975019;0.00000000;0.21975020;0.06232873;0.13355876;0.06078755;0.20406078;0.09976380
wavmark,8,chinese:SSB0009,0,1,2,3,0.0000002277,0.17917436;0.03534736;0.28676970;0.21479714;0.01312089;0.05599293;0.21479760;0.00000002
wavmark,8,chinese:SSB0009,0,1,2,4,0.0000002277,0.24448222;0.17546393;0.00000013;0.07165731;0.17546407;0.11537033;0.00000004;0.21756196
wavmark,8,chinese:SSB0009,0,1,2,5,0.0000002301,0.25099723;0.14262474;0.10713074;0.15414895;0.00000006;0.11928593;0.14262489;0.08318746
wavmark,8,chinese:SSB0009,0,1,2,6,0.0000002277,0.17917436;0.03534736;0.28676970;0.21479714;0.01312089;0.05599293;0.21479760;0.00000002
wavmark,8,chinese:SSB0009,0,1,3,0,0.0000002314,0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000;0.12500000
