dataset,model,K,method,trial_id,spk,local_t,clip_index,source_path,shard_id,num_shards,coalition_payloads,source_exact_count,source_payload_attempts,target_rank,target,target_selection_policy,selection_N_registry,N_registry,selection_score,hull_distance,weights,effective_K,max_weight,solver_success,decoded_identity,target_top1,target_margin,hits_selected_10,tracing_failure,NCA,presence,decoded_bits,target_bit_accuracy,quality_reference,PESQ,STOI,SI_SDR,elapsed_sec
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,1,47828,mrc_global_top10_over_full_native_registry,65531,65536,-0.09048811,,"[0.4121846793757953, 0.2727742294986735, 0.0018091220239421087, 0.015246014283971864, 0.29798595481761725]",3.00000000,0.41218468,1,46612,0,-2.51159364,0,1,0.81250000,,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]",0.75000000,first_source_correct_coalition_copy,4.4118,0.9880,17.62,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,2,8672,mrc_global_top10_over_full_native_registry,65531,65536,-0.09903825,,"[0.0005962578973598884, 0.20087962222141253, 0.4441459738676144, 0.2915095332792144, 0.06286861273439885]",3.06232854,0.44414597,1,8576,0,-11.45029654,0,1,0.93750000,,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",0.87500000,first_source_correct_coalition_copy,4.1585,0.9759,13.09,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,3,9696,mrc_global_top10_over_full_native_registry,65531,65536,-0.11173015,,"[0.00030359913067279294, 0.04592305279879379, 0.35274216089673815, 0.376762859523223, 0.2242683276505723]",3.13693421,0.37676286,1,57312,0,-5.61775851,0,1,0.68750000,,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",0.62500000,first_source_correct_coalition_copy,4.1718,0.9770,13.16,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,4,15252,mrc_global_top10_over_full_native_registry,65531,65536,-0.11375952,,"[0.36660888433877126, 0.008164612032385995, 0.25449364387648593, 0.004567982781119904, 0.366164876971237]",3.00000000,0.36660888,1,55028,0,-17.16768312,0,1,0.62500000,,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",0.50000000,first_source_correct_coalition_copy,4.3787,0.9871,17.10,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,5,43648,mrc_global_top10_over_full_native_registry,65531,65536,-0.11974332,,"[0.337725614516571, 0.381608449723493, 0.27125373434248784, 0.008370153783353923, 0.001042047634094357]",3.00000000,0.38160845,1,35429,0,-21.65216507,0,1,0.75000000,,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0.62500000,first_source_correct_coalition_copy,4.3138,0.9849,16.24,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,6,43712,mrc_global_top10_over_full_native_registry,65531,65536,-0.12045486,,"[0.24300700740147732, 0.46813789188646426, 0.09065984051098426, 0.1430864846616945, 0.05510877553937963]",3.22647863,0.46813789,1,35520,0,-12.83772312,0,0,1.00000000,,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]",0.93750000,first_source_correct_coalition_copy,4.2779,0.9828,15.09,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,7,15316,mrc_global_top10_over_full_native_registry,65531,65536,-0.12870834,,"[0.23865023002409455, 0.11436613768340334, 0.15469933895430352, 0.0030413554450440467, 0.4892429378931546]",3.00000000,0.48924294,1,14068,0,-6.23877448,0,1,0.81250000,,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]",0.75000000,first_source_correct_coalition_copy,4.2866,0.9845,15.43,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,8,11200,mrc_global_top10_over_full_native_registry,65531,65536,-0.14080545,,"[0.011238692063695177, 0.3510255866949817, 0.2735559691895278, 0.06550204993780116, 0.29867770211399425]",3.42844964,0.35102559,1,12261,0,-12.92266207,0,1,0.75000000,,"[1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0]",0.75000000,first_source_correct_coalition_copy,4.1757,0.9776,13.44,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,9,12224,mrc_global_top10_over_full_native_registry,65531,65536,-0.14520761,,"[0.0016236903892875548, 0.30281985001146905, 0.08380879605561467, 0.25000866385532294, 0.3617389996883058]",3.42365098,0.36173900,1,16357,0,-19.92562057,0,1,0.81250000,,"[1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.75000000,first_source_correct_coalition_copy,4.1627,0.9777,13.21,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,1,chinese:SSB0005,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_02.wav,1,7,"[47764, 35520, 8608, 26088, 16340]",5,64,10,14996,mrc_global_top10_over_full_native_registry,65531,65536,-0.15039209,,"[0.4648793311692329, 0.05161181501437891, 0.18255360411870455, 0.016418101131063293, 0.28453714856662027]",3.00000000,0.46487933,1,55828,0,-10.12392939,0,1,0.81250000,,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0.75000000,first_source_correct_coalition_copy,4.4553,0.9900,18.79,11.310
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,1,47162,mrc_global_top10_over_full_native_registry,65531,65536,-0.08967402,,"[0.011335153798799118, 0.3040439465823753, 0.0036605190421783447, 0.4071705449548745, 0.2737898356217727]",3.00000000,0.40717054,1,47242,0,-5.65717856,0,1,0.87500000,,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1]",0.81250000,first_source_correct_coalition_copy,4.2165,0.9750,13.20,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,2,63658,mrc_global_top10_over_full_native_registry,65531,65536,-0.09797766,,"[0.03436232574869176, 0.36040809434701715, 0.2618966645939572, 0.34284350817860715, 0.0004894071317267427]",3.15252015,0.36040809,1,46890,0,-3.81364158,0,1,0.75000000,,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1]",0.62500000,first_source_correct_coalition_copy,4.2966,0.9764,13.05,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,3,47274,mrc_global_top10_over_full_native_registry,65531,65536,-0.10361385,,"[0.1690140489567236, 0.27268288413418623, 0.1091497563078409, 0.44292857452132783, 0.006224736079921626]",3.21481549,0.44292857,1,47240,0,-8.31225193,0,1,0.81250000,,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1]",0.87500000,first_source_correct_coalition_copy,4.3390,0.9800,14.19,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,4,43306,mrc_global_top10_over_full_native_registry,65531,65536,-0.11217608,,"[0.011672295297689986, 0.0016256275304546825, 0.28994993396793106, 0.37089074245281917, 0.3258614007511052]",3.04919469,0.37089074,1,18218,0,-22.42902857,0,1,0.75000000,,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0]",0.62500000,first_source_correct_coalition_copy,4.1816,0.9758,13.17,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,5,63674,mrc_global_top10_over_full_native_registry,65531,65536,-0.12246521,,"[0.02982476934970727, 0.4825551576273477, 0.1668957123967005, 0.20203454721255706, 0.11868981341368753]",3.15947375,0.48255516,1,63578,0,-4.34575191,0,1,0.75000000,,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0.81250000,first_source_correct_coalition_copy,4.2952,0.9767,13.15,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,6,43050,mrc_global_top10_over_full_native_registry,65531,65536,-0.12316456,,"[0.13408056769568685, 0.015993487565328517, 0.16607746471109364, 0.4631679429682306, 0.22068053705966034]",3.23583171,0.46316794,1,47146,0,-9.50019477,0,0,1.00000000,,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0.93750000,first_source_correct_coalition_copy,4.2411,0.9789,14.16,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,7,59834,mrc_global_top10_over_full_native_registry,65531,65536,-0.12770261,,"[0.005086146801845019, 0.33924330997389346, 0.3405222243473826, 0.009149055734634853, 0.30599926314224407]",3.07894541,0.34052222,1,5978,0,-31.42430794,0,1,0.62500000,,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0]",0.37500000,first_source_correct_coalition_copy,4.2836,0.9762,13.25,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,8,41002,mrc_global_top10_over_full_native_registry,65531,65536,-0.13425295,,"[0.2425655957018907, 0.010321443152706462, 0.03299878115505908, 0.37505556144784513, 0.3390586185424987]",3.16795609,0.37505556,1,386,0,-23.73229061,0,1,0.68750000,,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0.62500000,first_source_correct_coalition_copy,4.3077,0.9816,15.48,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,9,60330,mrc_global_top10_over_full_native_registry,65531,65536,-0.13457761,,"[0.14299158911527443, 0.1634075206760185, 0.49163054886201996, 0.07143649936898319, 0.13053384197770387]",3.21552232,0.49163055,1,52138,0,-20.01371682,0,0,1.00000000,,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1]",0.93750000,first_source_correct_coalition_copy,4.3382,0.9809,14.15,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,2,chinese:SSB0005,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0005/chinese_SSB0005_03.wav,2,7,"[9931, 63672, 52138, 47146, 41266]",5,64,10,60074,mrc_global_top10_over_full_native_registry,65531,65536,-0.13683529,,"[0.22617456660341428, 0.2448256020301544, 0.39786428754725534, 0.12284982299530962, 0.008285720823866367]",3.51430562,0.39786429,1,35656,0,-44.25907889,0,1,0.68750000,,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",0.56250000,first_source_correct_coalition_copy,4.4115,0.9831,14.97,11.277
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,3,chinese:SSB0009,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,3,7,"[48538, 35194, 17396, 56408, 23723]",5,64,1,40282,mrc_global_top10_over_full_native_registry,65531,65536,-0.11533666,,"[0.3320788238206674, 0.3327966656791342, 0.000284869283817995, 0.3319905604176021, 0.0028490807987782934]",3.01881419,0.33279667,1,55674,0,-53.02631955,0,1,0.87500000,,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1]",0.81250000,first_source_correct_coalition_copy,4.3794,0.9868,14.68,10.646
collusion_300_shared4_source_correct_v21,wmcodec,5,mrc,3,chinese:SSB0009,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,3,7,"[48538, 35194, 17396, 56408, 23723]",5,64,2,35322,mrc_global_top10_over_full_native_registry,65531,65536,-0.12364142,,"[0.24319899038973258, 0.46939274340313786, 0.2233070386994942, 0.0009257070832841348, 0.06317552042435132]",3.00000000,0.46939274,1,51578,0,-23.38015694,0,1,0.93750000,,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1]",0.87500000,first_source_correct_coalition_copy,4.3400,0.9868,14.21,10.646
