model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
wmcodec,3,chinese:SSB0009,0,3,tct,1,,-3.3815,-3.3371,4.3730,0.9880,14.72,0.5000,-0.4080,-3.3371,-3.3371
wmcodec,3,chinese:SSB0009,0,3,payload_farthest,1,,-11.8728,-11.2597,4.4062,0.9892,16.14,0.5000,-0.4080,-3.3371,-3.3371
wmcodec,3,chinese:SSB0009,1,4,single_copy,0,,-0.0016,6.6073,4.6439,1.0000,145.47,0.5000,0.3392,-6.4242,-6.4242
wmcodec,3,chinese:SSB0009,1,4,mean,1,,-6.4101,-6.2292,4.2760,0.9868,13.84,0.5000,0.3392,-6.4242,-6.4242
wmcodec,3,chinese:SSB0009,1,4,rp,1,,-11.2427,-10.8456,4.4099,0.9905,15.77,0.5000,0.3392,-6.4242,-6.4242
wmcodec,3,chinese:SSB0009,1,4,random_dirichlet,0,,-0.0098,4.7806,4.1721,0.9840,11.75,0.5000,0.3392,-6.4242,-6.4242
wmcodec,3,chinese:SSB0009,1,4,eep,1,,-12.0293,-11.5903,3.9886,0.9785,10.10,0.5000,0.3392,-6.4242,-6.4242
wmcodec,3,chinese:SSB0009,1,4,fwp,1,,-8.9760,-7.8202,4.2847,0.9885,15.13,0.5000,0.3392,-6.4242,-6.4242
wmcodec,3,chinese:SSB0009,1,4,dm,1,,-7.0118,-6.2302,4.3014,0.9878,14.41,0.5000,0.3392,-6.4242,-6.4242
wmcodec,3,chinese:SSB0009,1,4,tct,1,,-6.6917,-6.4242,4.2624,0.9866,13.84,0.5000,0.3392,-6.4242,-6.4242
wmcodec,3,chinese:SSB0009,1,4,payload_farthest,1,,-11.2427,-10.8456,4.4099,0.9905,15.77,0.5000,0.3392,-6.4242,-6.4242
wmcodec,3,chinese:SSB0009,2,5,single_copy,1,,-4.3759,-3.9550,4.6439,1.0000,145.33,0.8660,-0.3877,-5.7457,-5.7457
wmcodec,3,chinese:SSB0009,2,5,mean,1,,-15.2861,-14.3993,4.3857,0.9869,14.28,0.8660,-0.3877,-5.7457,-5.7457
wmcodec,3,chinese:SSB0009,2,5,rp,1,,-12.5652,-11.5763,4.4499,0.9885,15.80,0.8660,-0.3877,-5.7457,-5.7457
wmcodec,3,chinese:SSB0009,2,5,random_dirichlet,1,,-4.5123,-3.7977,4.0438,0.9812,11.03,0.8660,-0.3877,-5.7457,-5.7457
wmcodec,3,chinese:SSB0009,2,5,eep,1,,-13.4867,-12.8532,4.4746,0.9903,15.96,0.8660,-0.3877,-5.7457,-5.7457
wmcodec,3,chinese:SSB0009,2,5,fwp,1,,-12.5652,-11.5763,4.4499,0.9885,15.80,0.8660,-0.3877,-5.7457,-5.7457
wmcodec,3,chinese:SSB0009,2,5,dm,1,,-17.2269,-16.8851,4.4225,0.9878,14.90,0.8660,-0.3877,-5.7457,-5.7457
wmcodec,3,chinese:SSB0009,2,5,tct,1,,-5.9408,-5.7457,4.2464,0.9845,12.76,0.8660,-0.3877,-5.7457,-5.7457
wmcodec,3,chinese:SSB0009,2,5,payload_farthest,1,,-12.5652,-11.5763,4.4499,0.9885,15.80,0.8660,-0.3877,-5.7457,-5.7457
wmcodec,3,chinese:SSB0011,0,6,single_copy,0,,-0.0713,2.8155,4.6439,1.0000,141.00,-0.5000,-0.9850,-22.1726,-22.1726
wmcodec,3,chinese:SSB0011,0,6,mean,1,,-28.4327,-27.6385,4.3743,0.9880,18.68,-0.5000,-0.9850,-22.1726,-22.1726
wmcodec,3,chinese:SSB0011,0,6,rp,1,,-20.1525,-19.3825,4.4638,0.9906,19.72,-0.5000,-0.9850,-22.1726,-22.1726
wmcodec,3,chinese:SSB0011,0,6,random_dirichlet,1,,-26.1705,-25.6405,3.9484,0.9874,18.49,-0.5000,-0.9850,-22.1726,-22.1726
wmcodec,3,chinese:SSB0011,0,6,eep,1,,-26.4078,-26.1007,3.9948,0.9903,20.15,-0.5000,-0.9850,-22.1726,-22.1726
wmcodec,3,chinese:SSB0011,0,6,fwp,1,,-26.4078,-26.1007,3.9948,0.9903,20.15,-0.5000,-0.9850,-22.1726,-22.1726
