category,file,rows,columns,bytes,sha256,runtime_source
attack_evasion,attack_evasion_encodec_audioseal.csv,600,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,167511,18af9cfe5f3d783ab037725005beb14a33c4af37b86d7ac05b029cbd00b751b6,results/evaluation/attack_evasion_encodec_audioseal.csv
attack_evasion,attack_evasion_encodec_timbrewm.csv,300,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,69213,6768a930132668a75a483fcd70e40349c6cbb347826b3bda803f32a094af6a19,results/evaluation/attack_evasion_encodec_timbrewm.csv
attack_evasion,attack_evasion_encodec_voicemark.csv,600,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,167662,758daa28345d15faca90ac079778131d9d3c78eb3156c675e68e5d8dc0d6cd01,results/evaluation/attack_evasion_encodec_voicemark.csv
attack_evasion,attack_evasion_encodec_wavmark.csv,600,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,132888,ca8ccd7dd5a2e95512253ba5c14b229aeee9b91c13292e87f8554cc81a52b424,results/evaluation/attack_evasion_encodec_wavmark.csv
attack_evasion,attack_evasion_encodec_wmcodec.csv,600,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,162241,a87c9fd942fd2f2fd1d556229458b108106e4d548194638ed53fbc4a1e7765ab,results/evaluation/attack_evasion_encodec_wmcodec.csv
attack_evasion,attack_evasion_fgsm_audioseal.csv,600,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,180747,11a664f7110d89f41552601eb62da4f75e890db60037f28ac91cdc575547dbe4,results/evaluation/attack_evasion_fgsm_audioseal.csv
attack_evasion,attack_evasion_fgsm_timbrewm.csv,300,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,74886,8aa22892a25f45b0eff8bb917b667f8a566206d5d52cf3e9a124cb84151a8dcc,results/evaluation/attack_evasion_fgsm_timbrewm.csv
attack_evasion,attack_evasion_fgsm_voicemark.csv,600,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,179802,48cbf74b87586e7def1ebe40e7c178c37970bb925c5a370a58cbe9765c85036d,results/evaluation/attack_evasion_fgsm_voicemark.csv
attack_evasion,attack_evasion_fgsm_wmcodec.csv,600,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,172541,7d838b3fb5f2f0bee000999740f798b743ed2fbe876d3a0e8d34aefa08004e33,results/evaluation/attack_evasion_fgsm_wmcodec.csv
attack_evasion,attack_evasion_overwrite_cross_audioseal__to_wavmark.csv,600,model;attack;mode;trial_id;spk;local_t;seed;source_id;source_bits;N_registry;top1_identity;source_rank;source_top1;identity_escape;presence;presence_removed;decoded_bits;source_bit_accuracy;attacker_model;attacker_target_id;attacker_bits;attacker_top1;attacker_target_hit;attacker_bit_accuracy;attacker_presence;PESQ;STOI;SI_SDR;SNR;query_count;attack_parameters;elapsed_sec,224272,51213c26bc52199c6ead0f3b5609288f9aa1ac98edfdf3583752ecfed79b3f20,results/evaluation/attack_evasion_overwrite_cross_audioseal__to_wavmark.csv
