model,codec,n,tf_pct,attribution_margin,pesq,stoi,si_sdr,snr
audioseal,mp3_128k,300,98.0,2.6139015643000003,4.413353786666667,0.9988217633333333,27.527001666666667,23.12041212
audioseal,none,300,98.33333333333333,2.6115521922333333,4.585584446666667,0.9988303933333333,34.5777977,34.672544763333335
audioseal,opus_64k,300,97.33333333333334,2.6008117104333333,4.557326443333333,0.9981751633333332,27.418671303333333,26.224756799999998
timbrewm,mp3_128k,300,88.0,0.2939638106333333,4.5476771566666665,0.99699041,31.41944207,24.76602806
timbrewm,none,300,88.0,0.30056736326666667,4.546796986666666,0.9969958766666668,31.440185976666665,31.53645854333333
timbrewm,opus_64k,300,88.0,0.301749865,4.5048416300000005,0.9961980199999999,25.867123806666665,24.889774663333334
voicemark,mp3_128k,300,99.33333333333333,20.716300481033333,3.9082660566666663,0.97414461,14.183367019999999,13.998435453333334
voicemark,none,300,99.33333333333333,20.6258049969,4.1133544833333335,0.9741493633333332,14.598027243333332,14.67751948
voicemark,opus_64k,300,99.0,20.454006409633333,4.10895656,0.9738186866666666,14.361310833333334,13.887239056666667
wavmark,mp3_128k,300,99.0,2.76,4.361698826666666,0.99826498,29.209568646666668,23.505771133333333
wavmark,none,300,98.0,2.7733333333333334,4.539086123333333,0.9982705033333333,42.094842263333334,42.188526333333336
wavmark,opus_64k,300,98.0,2.7266666666666666,4.519296693333334,0.9977479533333333,28.674754616666668,27.567565579999997
wmcodec,mp3_128k,300,100.0,17.252157577033334,4.2547475200000004,0.9838278133333334,14.137937169999999,14.094565560000001
wmcodec,none,300,99.66666666666667,17.51520768123333,4.256260863333334,0.9838371233333334,14.144258153333334,14.460834583333332
wmcodec,opus_64k,300,100.0,17.318404561933335,4.240661693333333,0.9833143100000001,13.941025113333332,13.742231223333334
