codec,system_count,tf_pct,attribution_margin,pesq,stoi,si_sdr,snr,tf_pct_delta_vs_none,pesq_delta_vs_none,stoi_delta_vs_none,si_sdr_delta_vs_none,snr_delta_vs_none
mp3_128k,5,96.86666666666666,8.7272646866,4.297148669333334,0.9904099153333334,23.295463314666666,19.897042465333335,0.20000000000000284,-0.1110679113333326,-6.736666666617985e-06,-4.075558952666665,-7.61013427533333
none,5,96.66666666666666,8.765293113393332,4.408216580666666,0.9904166520000001,27.37102226733333,27.507176740666665,0.0,0.0,0.0,0.0,0.0
opus_64k,5,96.46666666666667,8.680327842733334,4.386216604,0.9898508266666667,22.052577134666667,21.262313464666665,-0.19999999999998863,-0.021999976666665866,-0.0005658253333333807,-5.318445132666664,-6.244863276
