category,file,rows,columns,bytes,sha256,runtime_source
ecc,attack_ecc_wavmark_K5.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,52149,465ba0e46bb1d8f3f7fa4caf735e76b28aadb8eb8517774bb704f20cccf92aac,results/evaluation/attack_ecc_wavmark_K5.csv
ecc,attack_ecc_wavmark_K8.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,52124,493f67a21765211fda7d64e9dba236eafccac5e62aca64250d0de54d4bd1cda3,results/evaluation/attack_ecc_wavmark_K8.csv
ecc,attack_ecc_wmcodec_K2.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,52076,bfa4ea26a85af9dc0adbb51116223b6c4951d40d10d752d0d9c39237ee8834ce,results/evaluation/attack_ecc_wmcodec_K2.csv
ecc,attack_ecc_wmcodec_K3.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,52032,adc2ef410c97c362f394e1346124058c29570c02620b9256579f6fecd99f3e79,results/evaluation/attack_ecc_wmcodec_K3.csv
ecc,attack_ecc_wmcodec_K5.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,52011,cdba6686b9981323cbbc3a9c71f42f383c6d15c0e9def6bef9e987c2c45ed697,results/evaluation/attack_ecc_wmcodec_K5.csv
ecc,attack_ecc_wmcodec_K8.csv,600,model;K;scheme;code_bits;info_bits;codebook_size;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,51985,b6c84782b60c324c12ec0ee76583a54be808934e1126e364dcbbd70dc19c9ab2,results/evaluation/attack_ecc_wmcodec_K8.csv
attack,attack_timbrewm_K2.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48468,07abaaefa93be501b03a8fd76c661cff1ffdc2efffdc3dcf70d5c27b6650e837,results/evaluation/attack_timbrewm_K2.csv
attack,attack_timbrewm_K3.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48491,22e60b779c86c648121ec93be5067e6f23ce5805ea2daef6b7bd9719a37d1549,results/evaluation/attack_timbrewm_K3.csv
attack,attack_timbrewm_K5.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48465,b18c2ca03214d0c51a62ba5496bfd188f5f8b46e6edf6c07c823f491fc9f0724,results/evaluation/attack_timbrewm_K5.csv
attack,attack_timbrewm_K8.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48439,50b6701a16c16bcc4ad809b118181e9d41bde3f249eef21986e8e7be784921f7,results/evaluation/attack_timbrewm_K8.csv
attack,attack_voicemark_K2.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,49568,f3b7e1410bcb922ea5a687f4c017c0932ed2d4b52bd02e3424b44a232cf8f569,results/evaluation/attack_voicemark_K2.csv
attack,attack_voicemark_K3.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,49523,ae4c7f9927c5a681b4e3b2cd6ca9f9397d17d3bd10f08987266cfd6e2a7fa305,results/evaluation/attack_voicemark_K3.csv
attack,attack_voicemark_K5.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,49517,a0aa8e588a3322eb96fa317cffac5d97d011cc10b1afaa7f5c931b426f04aaae,results/evaluation/attack_voicemark_K5.csv
attack,attack_voicemark_K8.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,49521,49e6dcb2622e8be1ddf78a19ffadd79ccb46e5b372988a1f351443878f0e098e,results/evaluation/attack_voicemark_K8.csv
attack,attack_wavmark_K2.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48406,fe22b3683e4543a803a8da293e02c256c01954b5dee83383c2e89917df3b0fb9,results/evaluation/attack_wavmark_K2.csv
attack,attack_wavmark_K3.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48405,58d32a9c1400573b605f36db512e6d66f41a4fcc01e03052aa19f5b4e3d20bbf,results/evaluation/attack_wavmark_K3.csv
attack,attack_wavmark_K5.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48405,a3efc447cde7f9c246e1c0f3e937cbeed844de275d4a8531b8276378c8c58706,results/evaluation/attack_wavmark_K5.csv
attack,attack_wavmark_K8.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48405,601336a21fbd078a801e32a0f8ac39f06420ff37c3a978638941b74842877de3,results/evaluation/attack_wavmark_K8.csv
attack,attack_wmcodec_K2.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48260,afb4aa8dfdbd87db5416a23f2b7428bd1a3c3782cbcf6ba828ab9aeaf901540d,results/evaluation/attack_wmcodec_K2.csv
attack,attack_wmcodec_K3.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48245,24c87a4542180681f6a5688c90c411510d85fb6d0a70bc1950a66520ce225244,results/evaluation/attack_wmcodec_K3.csv
attack,attack_wmcodec_K5.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48239,52ec696a680f006e5924a01a11e2f0c519c607131b9892c21dd3d156cac321e1,results/evaluation/attack_wmcodec_K5.csv
attack,attack_wmcodec_K8.csv,600,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;AggResid;PESQ;STOI;SI_SDR,48270,deb66a6c8d38e51a93eb269771c650667409f4fd3cf724491fda981f8c2e0b3e,results/evaluation/attack_wmcodec_K8.csv
baselines,baselines_audioseal_K2.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,117397,66518634699f95b7459d871091249b552c701d610b3ff47990c91cbe279a447e,results/evaluation/baselines_audioseal_K2.csv
baselines,baselines_audioseal_K3.csv,1500,model;K;spk;local_t;gi;method;ASR;R3_escape;R5_escape;ACC_near;ACC_near_norm;PESQ;STOI;SI_SDR,117400,7dbe86143c6f926a5032e746474f25f954a67d545ac062e07c86965b2f09ab51,results/evaluation/baselines_audioseal_K3.csv
