model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,7,chinese:SSB0011,1,2,46195,0,-8.00000000,2.42383993
wavmark,7,chinese:SSB0011,1,2,44036,0,-6.00000000,1.69558250
wavmark,7,chinese:SSB0011,1,2,32186,0,-8.00000000,2.20794022
wavmark,7,chinese:SSB0011,1,2,4997,0,-5.00000000,2.00000000
wavmark,7,chinese:SSB0011,1,2,23475,0,-7.00000000,2.34520788
wavmark,7,chinese:SSB0011,1,2,16669,0,-9.00000000,2.20794022
wavmark,7,chinese:SSB0011,1,2,11375,0,-10.00000000,2.54950976
wavmark,7,chinese:SSB0011,1,2,16332,0,-5.00000000,2.20794022
wavmark,7,chinese:SSB0011,1,2,63609,0,-9.00000000,2.62202212
wavmark,7,chinese:SSB0011,1,2,5398,0,-7.00000000,2.20794022
wavmark,8,chinese:SSB0011,2,2,33430,0,-7.00000000,2.32379001
wavmark,8,chinese:SSB0011,2,2,33403,0,-7.00000000,2.12132034
wavmark,8,chinese:SSB0011,2,2,44512,0,-7.00000000,2.32379001
wavmark,8,chinese:SSB0011,2,2,64666,0,-7.00000000,2.46981781
wavmark,8,chinese:SSB0011,2,2,25858,0,-8.00000000,2.09761770
wavmark,8,chinese:SSB0011,2,2,52355,0,-10.00000000,2.34520788
wavmark,8,chinese:SSB0011,2,2,2339,0,-10.00000000,1.97484177
wavmark,8,chinese:SSB0011,2,2,54079,0,-8.00000000,2.52982213
wavmark,8,chinese:SSB0011,2,2,29692,0,-6.00000000,2.25831796
wavmark,8,chinese:SSB0011,2,2,23358,0,-9.00000000,2.72029410
wavmark,9,chinese:SSB0012,0,2,62993,0,-9.00000000,2.44948974
wavmark,9,chinese:SSB0012,0,2,23716,0,-10.00000000,2.54950976
wavmark,9,chinese:SSB0012,0,2,56595,0,-8.00000000,2.62202212
wavmark,9,chinese:SSB0012,0,2,36452,0,-8.00000000,2.23606798
wavmark,9,chinese:SSB0012,0,2,3370,0,-5.00000000,2.20794022
wavmark,9,chinese:SSB0012,0,2,15322,0,-7.00000000,2.20794022
wavmark,9,chinese:SSB0012,0,2,10055,0,-7.00000000,2.20794022
wavmark,9,chinese:SSB0012,0,2,34134,0,-8.00000000,2.64575131
wavmark,9,chinese:SSB0012,0,2,3879,0,-7.00000000,2.34520788
wavmark,9,chinese:SSB0012,0,2,22716,0,-9.00000000,2.62202212
wavmark,10,chinese:SSB0012,1,2,18816,0,-13.00000000,2.82842712
wavmark,10,chinese:SSB0012,1,2,22023,0,-8.00000000,1.49071198
wavmark,10,chinese:SSB0012,1,2,16783,0,-8.00000000,2.28521820
wavmark,10,chinese:SSB0012,1,2,12535,0,-8.00000000,2.44948974
wavmark,10,chinese:SSB0012,1,2,62918,0,-7.00000000,2.28521820
wavmark,10,chinese:SSB0012,1,2,1423,0,-6.00000000,2.00000000
wavmark,10,chinese:SSB0012,1,2,36477,0,-5.00000000,2.00000000
wavmark,10,chinese:SSB0012,1,2,55665,0,-10.00000000,2.64575131
wavmark,10,chinese:SSB0012,1,2,1389,0,-4.00000000,1.79505494
wavmark,10,chinese:SSB0012,1,2,29026,0,-8.00000000,2.44948974
wavmark,11,chinese:SSB0012,2,2,26360,0,-8.00000000,2.44948974
wavmark,11,chinese:SSB0012,2,2,23606,0,-11.00000000,2.94392029
wavmark,11,chinese:SSB0012,2,2,29597,0,-11.00000000,3.00000000
wavmark,11,chinese:SSB0012,2,2,34226,0,-8.00000000,2.94392029
wavmark,11,chinese:SSB0012,2,2,28602,0,-10.00000000,2.82842712
wavmark,11,chinese:SSB0012,2,2,59423,0,-8.00000000,2.58198890
wavmark,11,chinese:SSB0012,2,2,23122,0,-10.00000000,2.76887462
wavmark,11,chinese:SSB0012,2,2,52930,0,-5.00000000,2.16024690
wavmark,11,chinese:SSB0012,2,2,22680,0,-7.00000000,2.23606798
wavmark,11,chinese:SSB0012,2,2,50222,0,-8.00000000,2.58198890
wavmark,12,chinese:SSB0016,0,2,48011,0,-5.00000000,1.82574186
wavmark,12,chinese:SSB0016,0,2,59090,0,-6.00000000,2.34520788
wavmark,12,chinese:SSB0016,0,2,61509,0,-12.00000000,2.61406452
wavmark,12,chinese:SSB0016,0,2,62869,0,-11.00000000,2.70801280
wavmark,12,chinese:SSB0016,0,2,15221,0,-11.00000000,2.91547595
wavmark,12,chinese:SSB0016,0,2,31074,0,-9.00000000,2.00000000
wavmark,12,chinese:SSB0016,0,2,29679,0,-9.00000000,2.54950976
wavmark,12,chinese:SSB0016,0,2,740,0,-8.00000000,2.73861279
wavmark,12,chinese:SSB0016,0,2,59457,0,-9.00000000,2.30940108
wavmark,12,chinese:SSB0016,0,2,30744,0,-7.00000000,1.95789002
wavmark,13,chinese:SSB0016,1,2,32123,0,-10.00000000,2.74873708
wavmark,13,chinese:SSB0016,1,2,55729,0,-7.00000000,2.13437475
wavmark,13,chinese:SSB0016,1,2,46442,0,-11.00000000,2.82842712
wavmark,13,chinese:SSB0016,1,2,46189,0,-9.00000000,2.68741925
wavmark,13,chinese:SSB0016,1,2,21497,0,-6.00000000,2.23606798
wavmark,13,chinese:SSB0016,1,2,14730,0,-9.00000000,2.49443826
wavmark,13,chinese:SSB0016,1,2,58588,0,-11.00000000,2.68741925
wavmark,13,chinese:SSB0016,1,2,39546,0,-7.00000000,2.44948974
wavmark,13,chinese:SSB0016,1,2,9351,0,-6.00000000,1.69967317
wavmark,13,chinese:SSB0016,1,2,9751,0,-5.00000000,1.88561808
wavmark,14,chinese:SSB0016,2,2,26441,0,-6.00000000,2.38047614
wavmark,14,chinese:SSB0016,2,2,34204,0,-7.00000000,2.44948974
wavmark,14,chinese:SSB0016,2,2,37169,0,-8.00000000,2.44948974
wavmark,14,chinese:SSB0016,2,2,16747,0,-3.00000000,1.00000000
wavmark,14,chinese:SSB0016,2,2,46293,0,-11.00000000,3.41565026
wavmark,14,chinese:SSB0016,2,2,3496,0,-4.00000000,1.73205081
wavmark,14,chinese:SSB0016,2,2,46635,0,-7.00000000,2.58198890
wavmark,14,chinese:SSB0016,2,2,43926,0,-11.00000000,3.10912635
wavmark,14,chinese:SSB0016,2,2,43347,0,-10.00000000,2.82842712
wavmark,14,chinese:SSB0016,2,2,60125,0,-11.00000000,3.26598632
wavmark,15,chinese:SSB0018,0,2,17820,0,-7.00000000,2.28521820
wavmark,15,chinese:SSB0018,0,2,23034,0,-4.00000000,1.73205081
wavmark,15,chinese:SSB0018,0,2,64955,0,-5.00000000,2.05480467
wavmark,15,chinese:SSB0018,0,2,49386,0,-9.00000000,2.56038192
wavmark,15,chinese:SSB0018,0,2,15687,0,-7.00000000,1.73205081
wavmark,15,chinese:SSB0018,0,2,31514,0,-5.00000000,1.79505494
wavmark,15,chinese:SSB0018,0,2,25383,0,-8.00000000,2.44948974
wavmark,15,chinese:SSB0018,0,2,5099,0,-7.00000000,2.13437475
wavmark,15,chinese:SSB0018,0,2,57391,0,-10.00000000,2.82842712
wavmark,15,chinese:SSB0018,0,2,56959,0,-5.00000000,2.28521820
wavmark,16,chinese:SSB0018,1,2,51659,0,-5.00000000,1.93061460
wavmark,16,chinese:SSB0018,1,2,51644,0,-5.00000000,2.13200716
wavmark,16,chinese:SSB0018,1,2,14989,0,-10.00000000,2.55840860
wavmark,16,chinese:SSB0018,1,2,27585,0,-8.00000000,2.59369866
wavmark,16,chinese:SSB0018,1,2,43273,0,-8.00000000,2.13200716
wavmark,16,chinese:SSB0018,1,2,40208,0,-10.00000000,2.13200716
wavmark,16,chinese:SSB0018,1,2,32316,0,-8.00000000,2.39317211
wavmark,16,chinese:SSB0018,1,2,12913,0,-11.00000000,2.74689908
wavmark,16,chinese:SSB0018,1,2,47908,0,-10.00000000,2.55840860
wavmark,16,chinese:SSB0018,1,2,39632,0,-11.00000000,2.74689908
wavmark,17,chinese:SSB0018,2,2,50607,0,-9.00000000,2.88675135
wavmark,17,chinese:SSB0018,2,2,51008,0,-11.00000000,2.88675135
wavmark,17,chinese:SSB0018,2,2,42094,0,-9.00000000,2.23606798
wavmark,17,chinese:SSB0018,2,2,16055,0,-4.00000000,1.82574186
wavmark,17,chinese:SSB0018,2,2,38313,0,-7.00000000,2.34520788
wavmark,17,chinese:SSB0018,2,2,25897,0,-6.00000000,2.12132034
wavmark,17,chinese:SSB0018,2,2,15186,0,-7.00000000,2.19848433
wavmark,17,chinese:SSB0018,2,2,16900,0,-10.00000000,2.70801280
wavmark,17,chinese:SSB0018,2,2,59030,0,-10.00000000,2.91547595
wavmark,17,chinese:SSB0018,2,2,31429,0,-8.00000000,2.54950976
wavmark,18,chinese:SSB0033,0,2,18904,0,-11.00000000,2.73861279
wavmark,18,chinese:SSB0033,0,2,17339,0,-7.00000000,2.34520788
wavmark,18,chinese:SSB0033,0,2,15424,0,-11.00000000,2.25831796
wavmark,18,chinese:SSB0033,0,2,6613,0,-12.00000000,2.91547595
wavmark,18,chinese:SSB0033,0,2,25851,0,-4.00000000,2.12132034
wavmark,18,chinese:SSB0033,0,2,59316,0,-6.00000000,2.02484567
wavmark,18,chinese:SSB0033,0,2,8162,0,-9.00000000,2.36643191
wavmark,18,chinese:SSB0033,0,2,56519,0,-6.00000000,2.32379001
wavmark,18,chinese:SSB0033,0,2,46862,0,-7.00000000,2.09761770
wavmark,18,chinese:SSB0033,0,2,42406,0,-6.00000000,2.32379001
wavmark,19,chinese:SSB0033,1,2,3720,0,-9.00000000,2.46981781
wavmark,19,chinese:SSB0033,1,2,32088,0,-11.00000000,2.72029410
wavmark,19,chinese:SSB0033,1,2,56250,0,-5.00000000,2.14476106
wavmark,19,chinese:SSB0033,1,2,37936,0,-11.00000000,2.54950976
wavmark,19,chinese:SSB0033,1,2,62729,0,-12.00000000,2.42899156
wavmark,19,chinese:SSB0033,1,2,56848,0,-11.00000000,2.54950976
wavmark,19,chinese:SSB0033,1,2,35436,0,-5.00000000,1.44913767
wavmark,19,chinese:SSB0033,1,2,38111,0,-6.00000000,2.09761770
wavmark,19,chinese:SSB0033,1,2,49824,0,-9.00000000,2.12132034
wavmark,19,chinese:SSB0033,1,2,8305,0,-9.00000000,2.32379001
wavmark,20,chinese:SSB0033,2,2,29745,0,-9.00000000,2.42383993
wavmark,20,chinese:SSB0033,2,2,27028,0,-9.00000000,2.42383993
wavmark,20,chinese:SSB0033,2,2,5091,0,-12.00000000,2.73861279
wavmark,20,chinese:SSB0033,2,2,24449,0,-12.00000000,2.82842712
wavmark,20,chinese:SSB0033,2,2,3987,0,-12.00000000,2.97909382
wavmark,20,chinese:SSB0033,2,2,16408,0,-9.00000000,2.12132034
wavmark,20,chinese:SSB0033,2,2,20562,0,-9.00000000,2.42383993
wavmark,20,chinese:SSB0033,2,2,25535,0,-9.00000000,2.42383993
wavmark,20,chinese:SSB0033,2,2,43476,0,-8.00000000,2.62202212
wavmark,20,chinese:SSB0033,2,2,14611,0,-11.00000000,2.91547595
wavmark,21,chinese:SSB0038,0,2,11561,0,-9.00000000,2.27636073
wavmark,21,chinese:SSB0038,0,2,35389,0,-6.00000000,1.88293774
wavmark,21,chinese:SSB0038,0,2,46029,0,-8.00000000,2.27636073
wavmark,21,chinese:SSB0038,0,2,19877,0,-8.00000000,2.39317211
wavmark,21,chinese:SSB0038,0,2,30882,0,-9.00000000,2.04494943
wavmark,21,chinese:SSB0038,0,2,38195,0,-10.00000000,2.15322169
