model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,0,chinese:SSB0005,0,5,36412,0,-8.00000000,2.21695593
wavmark,0,chinese:SSB0005,0,5,38510,0,-9.00000000,2.08630970
wavmark,0,chinese:SSB0005,0,5,53627,0,-6.00000000,1.85292561
wavmark,0,chinese:SSB0005,0,5,7618,0,-8.00000000,2.20721428
wavmark,0,chinese:SSB0005,0,5,14548,0,-5.00000000,1.94217889
wavmark,0,chinese:SSB0005,0,5,50257,0,-5.00000000,1.95706605
wavmark,0,chinese:SSB0005,0,5,28529,0,-7.00000000,2.31823069
wavmark,0,chinese:SSB0005,0,5,47746,0,-6.00000000,1.69463709
wavmark,0,chinese:SSB0005,0,5,60548,0,-10.00000000,2.22159489
wavmark,0,chinese:SSB0005,0,5,38834,0,-5.00000000,2.16819632
wavmark,1,chinese:SSB0005,1,5,43261,0,-6.00000000,1.93113484
wavmark,1,chinese:SSB0005,1,5,39281,0,-4.00000000,1.68932391
wavmark,1,chinese:SSB0005,1,5,24974,0,-5.00000000,1.91711363
wavmark,1,chinese:SSB0005,1,5,34291,0,-5.00000000,1.80253898
wavmark,1,chinese:SSB0005,1,5,28308,0,-6.00000000,1.98245985
wavmark,1,chinese:SSB0005,1,5,53336,0,-6.00000000,1.93988605
wavmark,1,chinese:SSB0005,1,5,52370,0,-6.00000000,1.82418339
wavmark,1,chinese:SSB0005,1,5,24894,0,-4.00000000,1.63017133
wavmark,1,chinese:SSB0005,1,5,18379,0,-6.00000000,1.98716015
wavmark,1,chinese:SSB0005,1,5,8061,0,-5.00000000,1.93944471
wavmark,2,chinese:SSB0005,2,5,48691,0,-4.00000000,1.89043772
wavmark,2,chinese:SSB0005,2,5,64359,0,-9.00000000,2.32098539
wavmark,2,chinese:SSB0005,2,5,36107,0,-5.00000000,1.74662281
wavmark,2,chinese:SSB0005,2,5,28228,0,-8.00000000,2.16379936
wavmark,2,chinese:SSB0005,2,5,24440,0,-7.00000000,2.22895805
wavmark,2,chinese:SSB0005,2,5,27014,0,-5.00000000,2.06781577
wavmark,2,chinese:SSB0005,2,5,52931,0,-4.00000000,1.48323970
wavmark,2,chinese:SSB0005,2,5,14014,0,-5.00000000,1.93061460
wavmark,2,chinese:SSB0005,2,5,38534,0,-7.00000000,1.94272838
wavmark,2,chinese:SSB0005,2,5,51366,0,-5.00000000,1.95148409
wavmark,3,chinese:SSB0009,0,5,31580,0,-5.00000000,1.81129851
wavmark,3,chinese:SSB0009,0,5,54202,0,-5.00000000,1.87301808
wavmark,3,chinese:SSB0009,0,5,62993,0,-7.00000000,2.09036540
wavmark,3,chinese:SSB0009,0,5,33035,0,-6.00000000,1.76979055
wavmark,3,chinese:SSB0009,0,5,22093,0,-7.00000000,2.15980472
wavmark,3,chinese:SSB0009,0,5,19308,0,-5.00000000,1.63366228
wavmark,3,chinese:SSB0009,0,5,22269,0,-6.00000000,2.10441712
wavmark,3,chinese:SSB0009,0,5,27705,0,-5.00000000,1.62050931
wavmark,3,chinese:SSB0009,0,5,33357,0,-5.00000000,2.04137530
wavmark,3,chinese:SSB0009,0,5,20246,0,-6.00000000,1.98940858
wavmark,4,chinese:SSB0009,1,5,15043,0,-8.00000000,2.27547309
wavmark,4,chinese:SSB0009,1,5,4361,0,-10.00000000,2.02301572
wavmark,4,chinese:SSB0009,1,5,14555,0,-8.00000000,2.33333333
wavmark,4,chinese:SSB0009,1,5,52539,0,-6.00000000,2.23207143
wavmark,4,chinese:SSB0009,1,5,54951,0,-5.00000000,1.89862856
wavmark,4,chinese:SSB0009,1,5,60714,0,-6.00000000,2.00000000
wavmark,4,chinese:SSB0009,1,5,17325,0,-5.00000000,1.71990809
wavmark,4,chinese:SSB0009,1,5,56212,0,-7.00000000,2.28411290
wavmark,4,chinese:SSB0009,1,5,56109,0,-8.00000000,2.16880237
wavmark,4,chinese:SSB0009,1,5,53500,0,-6.00000000,1.93190529
wavmark,5,chinese:SSB0009,2,5,5268,0,-5.00000000,1.95926253
wavmark,5,chinese:SSB0009,2,5,50,0,-8.00000000,1.74941120
wavmark,5,chinese:SSB0009,2,5,39107,0,-7.00000000,1.95499526
wavmark,5,chinese:SSB0009,2,5,30291,0,-6.00000000,2.43856555
wavmark,5,chinese:SSB0009,2,5,52413,0,-2.00000000,1.51657509
wavmark,5,chinese:SSB0009,2,5,18913,0,-9.00000000,2.22174936
wavmark,5,chinese:SSB0009,2,5,13993,0,-5.00000000,1.82633071
wavmark,5,chinese:SSB0009,2,5,41853,0,-6.00000000,2.14872550
wavmark,5,chinese:SSB0009,2,5,20740,0,-7.00000000,2.19811629
wavmark,5,chinese:SSB0009,2,5,5864,0,-10.00000000,2.22449704
wavmark,6,chinese:SSB0011,0,5,22778,0,-3.00000000,1.74386230
wavmark,6,chinese:SSB0011,0,5,49274,0,-2.00000000,1.51144218
wavmark,6,chinese:SSB0011,0,5,32765,0,-6.00000000,2.07379206
wavmark,6,chinese:SSB0011,0,5,14215,0,-7.00000000,2.30230613
wavmark,6,chinese:SSB0011,0,5,46192,0,-4.00000000,1.79039702
wavmark,6,chinese:SSB0011,0,5,49176,0,-8.00000000,1.79114800
wavmark,6,chinese:SSB0011,0,5,32750,0,-4.00000000,1.95279039
wavmark,6,chinese:SSB0011,0,5,50232,0,-8.00000000,2.01023773
wavmark,6,chinese:SSB0011,0,5,29304,0,-5.00000000,1.77991325
wavmark,6,chinese:SSB0011,0,5,51449,0,-5.00000000,1.98749758
wavmark,7,chinese:SSB0011,1,5,9239,0,-5.00000000,1.89699540
wavmark,7,chinese:SSB0011,1,5,14499,0,-7.00000000,2.14581448
wavmark,7,chinese:SSB0011,1,5,53912,0,-6.00000000,1.97083251
wavmark,7,chinese:SSB0011,1,5,34122,0,-7.00000000,1.85632593
wavmark,7,chinese:SSB0011,1,5,6654,0,-4.00000000,2.12132034
wavmark,7,chinese:SSB0011,1,5,46414,0,-8.00000000,1.95789002
wavmark,7,chinese:SSB0011,1,5,48007,0,-5.00000000,2.02317086
wavmark,7,chinese:SSB0011,1,5,36403,0,-5.00000000,2.03670031
