model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
voicemark,5,187,english:125,2,dataset/collusion_300/english/125/english_125_02.wav,5,5,uniform,1,12,0.7500,4.1401,0.9683,9.28
voicemark,5,188,english:125,3,dataset/collusion_300/english/125/english_125_03.wav,5,5,uniform,1,10,0.6250,3.8981,0.9813,11.58
voicemark,5,189,english:1263,1,dataset/collusion_300/english/1263/english_1263_01.wav,5,5,uniform,1,11,0.6875,4.2836,0.9831,15.16
voicemark,5,190,english:1263,2,dataset/collusion_300/english/1263/english_1263_02.wav,5,5,uniform,1,12,0.7500,4.0555,0.9748,15.30
voicemark,5,191,english:1263,3,dataset/collusion_300/english/1263/english_1263_03.wav,5,5,uniform,1,12,0.7500,3.8409,0.9806,16.42
voicemark,5,192,english:1334,1,dataset/collusion_300/english/1334/english_1334_01.wav,5,6,uniform,1,10,0.6250,3.6961,0.9770,12.96
voicemark,5,193,english:1334,2,dataset/collusion_300/english/1334/english_1334_02.wav,5,5,uniform,1,11,0.6875,4.2472,0.9865,16.08
voicemark,5,194,english:1334,3,dataset/collusion_300/english/1334/english_1334_03.wav,5,5,uniform,1,11,0.6875,3.9195,0.9750,14.38
voicemark,5,195,english:1355,1,dataset/collusion_300/english/1355/english_1355_01.wav,5,6,uniform,1,12,0.7500,4.1346,0.9735,15.48
voicemark,5,196,english:1355,2,dataset/collusion_300/english/1355/english_1355_02.wav,5,8,uniform,1,10,0.6250,4.0751,0.9802,17.28
voicemark,5,197,english:1355,3,dataset/collusion_300/english/1355/english_1355_03.wav,5,10,uniform,1,12,0.7500,3.8143,0.9789,16.59
voicemark,5,198,english:1363,1,dataset/collusion_300/english/1363/english_1363_01.wav,5,52,uniform,1,11,0.6875,4.3769,0.9694,18.35
voicemark,5,199,english:1363,2,dataset/collusion_300/english/1363/english_1363_02.wav,5,117,uniform,1,9,0.5625,4.0553,0.9774,17.03
voicemark,5,200,english:1363,3,dataset/collusion_300/english/1363/english_1363_03.wav,5,36,uniform,1,11,0.6875,4.1800,0.9769,17.10
voicemark,5,201,english:1447,1,dataset/collusion_300/english/1447/english_1447_01.wav,5,5,uniform,1,13,0.8125,3.7264,0.8997,13.41
voicemark,5,202,english:1447,2,dataset/collusion_300/english/1447/english_1447_02.wav,5,5,uniform,1,12,0.7500,3.6469,0.9509,14.90
voicemark,5,203,english:1447,3,dataset/collusion_300/english/1447/english_1447_03.wav,5,5,uniform,1,9,0.5625,4.0279,0.9650,15.84
voicemark,5,204,english:1455,1,dataset/collusion_300/english/1455/english_1455_01.wav,5,5,uniform,1,12,0.7500,4.2149,0.9802,11.38
voicemark,5,205,english:1455,2,dataset/collusion_300/english/1455/english_1455_02.wav,5,5,uniform,1,14,0.8750,1.2282,0.9677,11.22
voicemark,5,206,english:1455,3,dataset/collusion_300/english/1455/english_1455_03.wav,5,6,uniform,1,11,0.6875,3.7035,0.9675,8.57
voicemark,5,207,english:150,1,dataset/collusion_300/english/150/english_150_01.wav,5,5,uniform,1,12,0.7500,4.4446,0.9870,13.07
voicemark,5,208,english:150,2,dataset/collusion_300/english/150/english_150_02.wav,5,5,uniform,1,10,0.6250,4.0471,0.9812,8.64
voicemark,5,209,english:150,3,dataset/collusion_300/english/150/english_150_03.wav,5,6,uniform,1,11,0.6875,4.1165,0.9676,11.29
voicemark,5,210,english:1502,1,dataset/collusion_300/english/1502/english_1502_01.wav,5,5,uniform,1,9,0.5625,4.2600,0.9726,18.88
voicemark,5,211,english:1502,2,dataset/collusion_300/english/1502/english_1502_02.wav,5,5,uniform,1,13,0.8125,4.4115,0.9827,20.93
voicemark,5,212,english:1502,3,dataset/collusion_300/english/1502/english_1502_03.wav,5,5,uniform,1,13,0.8125,3.9978,0.9664,19.84
voicemark,5,213,english:1553,1,dataset/collusion_300/english/1553/english_1553_01.wav,5,5,uniform,1,11,0.6875,4.2638,0.9881,14.36
voicemark,5,214,english:1553,2,dataset/collusion_300/english/1553/english_1553_02.wav,5,5,uniform,1,10,0.6250,4.1213,0.9803,12.40
voicemark,5,215,english:1553,3,dataset/collusion_300/english/1553/english_1553_03.wav,5,5,uniform,1,12,0.7500,4.2405,0.9869,13.20
voicemark,5,216,english:1578,1,dataset/collusion_300/english/1578/english_1578_01.wav,5,5,uniform,1,12,0.7500,4.2057,0.9851,20.13
voicemark,5,217,english:1578,2,dataset/collusion_300/english/1578/english_1578_02.wav,5,5,uniform,1,9,0.5625,3.7815,0.9740,16.76
voicemark,5,218,english:1578,3,dataset/collusion_300/english/1578/english_1578_03.wav,5,5,uniform,1,13,0.8125,4.2109,0.9742,19.87
voicemark,5,219,english:1594,1,dataset/collusion_300/english/1594/english_1594_01.wav,5,5,uniform,1,13,0.8125,3.9277,0.9826,11.48
voicemark,5,220,english:1594,2,dataset/collusion_300/english/1594/english_1594_02.wav,5,5,uniform,1,9,0.5625,4.2766,0.9870,10.25
voicemark,5,221,english:1594,3,dataset/collusion_300/english/1594/english_1594_03.wav,5,5,uniform,1,14,0.8750,4.3472,0.9860,9.67
voicemark,5,222,english:1624,1,dataset/collusion_300/english/1624/english_1624_01.wav,5,6,uniform,1,9,0.5625,3.9072,0.9782,15.10
voicemark,5,223,english:1624,2,dataset/collusion_300/english/1624/english_1624_02.wav,5,5,uniform,1,10,0.6250,3.9325,0.9801,12.10
voicemark,5,224,english:1624,3,dataset/collusion_300/english/1624/english_1624_03.wav,5,5,uniform,1,12,0.7500,4.0519,0.9689,11.70
voicemark,5,225,english:163,1,dataset/collusion_300/english/163/english_163_01.wav,5,5,uniform,1,10,0.6250,3.7174,0.9675,14.47
voicemark,5,226,english:163,2,dataset/collusion_300/english/163/english_163_02.wav,5,5,uniform,1,14,0.8750,3.9109,0.9355,12.44
voicemark,5,227,english:163,3,dataset/collusion_300/english/163/english_163_03.wav,5,5,uniform,1,13,0.8125,4.0423,0.9658,18.31
voicemark,5,228,english:1723,1,dataset/collusion_300/english/1723/english_1723_01.wav,5,7,uniform,1,11,0.6875,4.3361,0.9841,7.05
voicemark,5,229,english:1723,2,dataset/collusion_300/english/1723/english_1723_02.wav,5,9,uniform,1,12,0.7500,3.7006,0.9785,8.15
voicemark,5,230,english:1723,3,dataset/collusion_300/english/1723/english_1723_03.wav,5,7,uniform,1,10,0.6250,4.1157,0.9896,10.90
voicemark,5,231,english:1737,1,dataset/collusion_300/english/1737/english_1737_01.wav,5,5,uniform,1,12,0.7500,4.1998,0.9720,12.97
voicemark,5,232,english:1737,2,dataset/collusion_300/english/1737/english_1737_02.wav,5,5,uniform,1,10,0.6250,4.3739,0.9834,13.34
voicemark,5,233,english:1737,3,dataset/collusion_300/english/1737/english_1737_03.wav,5,5,uniform,1,9,0.5625,4.1372,0.9818,10.71
voicemark,5,234,english:1743,1,dataset/collusion_300/english/1743/english_1743_01.wav,5,5,uniform,1,12,0.7500,4.3606,0.9874,13.94
voicemark,5,235,english:1743,2,dataset/collusion_300/english/1743/english_1743_02.wav,5,5,uniform,1,11,0.6875,3.9942,0.9820,12.33
voicemark,5,236,english:1743,3,dataset/collusion_300/english/1743/english_1743_03.wav,5,5,uniform,1,9,0.5625,4.0273,0.9741,11.84
