model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
timbrewm,5,218,english:1578,3,dataset/collusion_300/english/1578/english_1578_03.wav,5,5,uniform,0,10,1.0000,4.4504,0.9969,30.10
timbrewm,5,219,english:1594,1,dataset/collusion_300/english/1594/english_1594_01.wav,5,5,uniform,1,9,0.9000,4.5705,0.9984,26.64
timbrewm,5,220,english:1594,2,dataset/collusion_300/english/1594/english_1594_02.wav,5,5,uniform,1,9,0.9000,4.5382,0.9976,25.75
timbrewm,5,221,english:1594,3,dataset/collusion_300/english/1594/english_1594_03.wav,5,5,uniform,1,9,0.9000,4.5994,0.9985,26.10
timbrewm,5,222,english:1624,1,dataset/collusion_300/english/1624/english_1624_01.wav,5,5,uniform,1,8,0.8000,4.5729,0.9986,31.82
timbrewm,5,223,english:1624,2,dataset/collusion_300/english/1624/english_1624_02.wav,5,5,uniform,1,8,0.8000,4.5950,0.9989,30.95
timbrewm,5,224,english:1624,3,dataset/collusion_300/english/1624/english_1624_03.wav,5,5,uniform,1,7,0.7000,4.5681,0.9989,31.52
timbrewm,5,225,english:163,1,dataset/collusion_300/english/163/english_163_01.wav,5,5,uniform,0,10,1.0000,4.6111,0.9964,34.03
timbrewm,5,226,english:163,2,dataset/collusion_300/english/163/english_163_02.wav,5,5,uniform,0,10,1.0000,4.6151,0.9913,35.13
timbrewm,5,227,english:163,3,dataset/collusion_300/english/163/english_163_03.wav,5,5,uniform,1,9,0.9000,4.5943,0.9950,37.06
timbrewm,5,228,english:1723,1,dataset/collusion_300/english/1723/english_1723_01.wav,5,5,uniform,1,8,0.8000,4.5947,0.9972,29.63
timbrewm,5,229,english:1723,2,dataset/collusion_300/english/1723/english_1723_02.wav,5,5,uniform,1,9,0.9000,4.5554,0.9981,28.56
timbrewm,5,230,english:1723,3,dataset/collusion_300/english/1723/english_1723_03.wav,5,5,uniform,1,7,0.7000,4.5856,0.9975,27.85
timbrewm,5,231,english:1737,1,dataset/collusion_300/english/1737/english_1737_01.wav,5,5,uniform,1,8,0.8000,4.5526,0.9974,29.22
timbrewm,5,232,english:1737,2,dataset/collusion_300/english/1737/english_1737_02.wav,5,5,uniform,1,9,0.9000,4.5788,0.9972,30.80
timbrewm,5,233,english:1737,3,dataset/collusion_300/english/1737/english_1737_03.wav,5,5,uniform,1,8,0.8000,4.4975,0.9972,26.67
timbrewm,5,234,english:1743,1,dataset/collusion_300/english/1743/english_1743_01.wav,5,5,uniform,1,9,0.9000,4.6032,0.9992,34.96
timbrewm,5,235,english:1743,2,dataset/collusion_300/english/1743/english_1743_02.wav,5,5,uniform,1,8,0.8000,4.5916,0.9994,33.52
timbrewm,5,236,english:1743,3,dataset/collusion_300/english/1743/english_1743_03.wav,5,5,uniform,1,8,0.8000,4.5606,0.9994,31.25
timbrewm,5,237,english:1841,1,dataset/collusion_300/english/1841/english_1841_01.wav,5,5,uniform,1,8,0.8000,4.5346,0.9988,29.11
timbrewm,5,238,english:1841,2,dataset/collusion_300/english/1841/english_1841_02.wav,5,5,uniform,0,10,1.0000,4.5202,0.9993,28.68
timbrewm,5,239,english:1841,3,dataset/collusion_300/english/1841/english_1841_03.wav,5,5,uniform,1,8,0.8000,4.5544,0.9991,29.61
