model,k,trial_id,speaker,clip_index,source_path,valid_copy_count,payloads_tested,mixing,escaped,closest_member_bits,closest_member_bit_accuracy,pesq,stoi,si_sdr
wmcodec,5,46,chinese:SSB0139,2,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_02.wav,5,5,uniform,1,12,0.7500,4.3969,0.9936,17.14
wmcodec,5,47,chinese:SSB0139,3,dataset/collusion_300/chinese/SSB0139/chinese_SSB0139_03.wav,5,5,uniform,1,12,0.7500,4.4000,0.9922,17.15
wmcodec,5,48,chinese:SSB0145,1,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_01.wav,5,5,uniform,1,13,0.8125,4.3059,0.9853,15.67
wmcodec,5,49,chinese:SSB0145,2,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_02.wav,5,5,uniform,1,12,0.7500,4.3104,0.9872,16.22
wmcodec,5,50,chinese:SSB0145,3,dataset/collusion_300/chinese/SSB0145/chinese_SSB0145_03.wav,5,5,uniform,1,10,0.6250,4.3742,0.9903,15.28
wmcodec,5,51,chinese:SSB0149,1,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_01.wav,5,5,uniform,1,13,0.8125,4.3605,0.9900,12.33
wmcodec,5,52,chinese:SSB0149,2,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_02.wav,5,5,uniform,1,13,0.8125,4.3564,0.9871,13.34
wmcodec,5,53,chinese:SSB0149,3,dataset/collusion_300/chinese/SSB0149/chinese_SSB0149_03.wav,5,5,uniform,1,11,0.6875,4.2525,0.9880,12.68
wmcodec,5,54,chinese:SSB0193,1,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_01.wav,5,5,uniform,1,15,0.9375,4.2721,0.9850,13.71
wmcodec,5,55,chinese:SSB0193,2,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_02.wav,5,5,uniform,1,12,0.7500,4.4094,0.9840,14.34
wmcodec,5,56,chinese:SSB0193,3,dataset/collusion_300/chinese/SSB0193/chinese_SSB0193_03.wav,5,5,uniform,1,13,0.8125,4.3092,0.9867,13.79
wmcodec,5,57,chinese:SSB0197,1,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_01.wav,5,5,uniform,1,12,0.7500,4.3337,0.9837,14.96
wmcodec,5,58,chinese:SSB0197,2,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_02.wav,5,5,uniform,1,10,0.6250,4.2733,0.9806,16.42
wmcodec,5,59,chinese:SSB0197,3,dataset/collusion_300/chinese/SSB0197/chinese_SSB0197_03.wav,5,5,uniform,1,11,0.6875,4.2503,0.9830,14.63
