payload_bits,K,mean,low,high
16,2,0.9790205891927083,0.9743256734212239,0.98348876953125
16,3,0.9951842653319246,0.9943005704817021,0.9959458407064269
16,5,0.9985501276050991,0.9983508912931974,0.9987264725058388
16,8,0.9992267826651546,0.9991706785637066,0.9992792603068572
10,2,0.8914583333333334,0.8776295572916667,0.9045182291666667
10,3,0.9430241550802441,0.9358251028806585,0.9494678967185445
10,5,0.9680667303253333,0.9654960975360002,0.9704165727829334
10,8,0.9742252719650666,0.9726224307725206,0.9756959750565389
