model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
voicemark,5,chinese:SSB0009,1,4,rp,1,0.7986,-12.7190,-12.4223,4.2029,0.9682,11.77,-0.0369,-0.4896,0.3214,0.3214
voicemark,5,chinese:SSB0009,1,4,random_dirichlet,1,0.7198,-33.8104,-33.6930,4.4554,0.9847,15.17,-0.0369,-0.4896,0.3214,0.3214
voicemark,5,chinese:SSB0009,1,4,eep,1,0.7986,-12.7190,-12.4223,4.2029,0.9682,11.77,-0.0369,-0.4896,0.3214,0.3214
voicemark,5,chinese:SSB0009,1,4,fwp,1,0.8093,-10.1148,-10.0615,3.7022,0.9542,9.24,-0.0369,-0.4896,0.3214,0.3214
voicemark,5,chinese:SSB0009,1,4,dm,1,0.7655,-3.2319,-3.0025,4.0611,0.9670,11.70,-0.0369,-0.4896,0.3214,0.3214
voicemark,5,chinese:SSB0009,1,4,tct,0,0.7708,-1.0573,0.3214,4.4631,0.9872,16.30,-0.0369,-0.4896,0.3214,0.3214
voicemark,5,chinese:SSB0009,1,4,payload_farthest,0,0.7766,-0.6183,0.1615,4.0118,0.9732,12.80,-0.0369,-0.4896,0.3214,0.3214
voicemark,5,chinese:SSB0009,2,5,single_copy,0,0.7784,-0.0605,3.9736,4.6439,1.0000,148.07,0.0188,-0.2046,-16.5608,-16.5617
voicemark,5,chinese:SSB0009,2,5,mean,1,0.7998,-15.8762,-15.5431,4.1635,0.9729,14.64,0.0188,-0.2046,-16.5608,-16.5617
voicemark,5,chinese:SSB0009,2,5,rp,1,0.7915,-10.9062,-10.4936,3.5084,0.9548,10.56,0.0188,-0.2046,-16.5608,-16.5617
voicemark,5,chinese:SSB0009,2,5,random_dirichlet,1,0.7978,-13.5920,-12.9935,3.9738,0.9688,13.25,0.0188,-0.2046,-16.5608,-16.5617
voicemark,5,chinese:SSB0009,2,5,eep,0,0.7902,-0.3023,1.8100,4.4165,0.9863,17.68,0.0188,-0.2046,-16.5608,-16.5617
voicemark,5,chinese:SSB0009,2,5,fwp,1,0.8159,-18.6087,-18.1902,3.6632,0.9597,11.36,0.0188,-0.2046,-16.5608,-16.5617
voicemark,5,chinese:SSB0009,2,5,dm,1,0.7987,-13.7112,-13.2595,4.0357,0.9701,13.93,0.0188,-0.2046,-16.5608,-16.5617
